Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Anaheim,HYROX PRO DOUBLES,Men,1,1,"Robin Perségol, Gunther Klaus",,30-34,00:54:31
2024 Anaheim,HYROX PRO DOUBLES,Men,2,1,"Caleb Green, Gabe Piepergerdes",,MU29,00:56:18
2024 Anaheim,HYROX PRO DOUBLES,Men,3,2,"Jesse Biddle, Chandler Smith",,30-34,00:56:59
2024 Anaheim,HYROX PRO DOUBLES,Men,4,1,"Graham Spencer, Ramon Solorzano",,40-44,00:58:12
2024 Anaheim,HYROX PRO DOUBLES,Men,5,3,"Elijah Horton, Donald Pollitt",,30-34,01:00:17
2024 Anaheim,HYROX PRO DOUBLES,Men,6,4,"Martin Cox, Connor Dang",,30-34,01:04:02
2024 Anaheim,HYROX PRO DOUBLES,Men,7,5,"Cody Normyle, Alex Owens",,30-34,01:04:22
2024 Anaheim,HYROX PRO DOUBLES,Men,8,6,"Matt Tralli, Kevin Mejia",,30-34,01:06:53
2024 Anaheim,HYROX PRO DOUBLES,Men,9,1,"Regan Burns, Matt Taylor",,50-54,01:07:25
2024 Anaheim,HYROX PRO DOUBLES,Men,10,2,"Christian Reitsma, Jace Perez",,MU29,01:07:35
2024 Anaheim,HYROX PRO DOUBLES,Men,11,7,"Chandler Schmitt, Brandon Delbianco",,30-34,01:07:53
2024 Anaheim,HYROX PRO DOUBLES,Men,12,8,"Francisco Franco, Chris Herber",,30-34,01:08:27
2024 Anaheim,HYROX PRO DOUBLES,Men,13,9,"Christian Alvizar, Francisco Yepez",,30-34,01:08:46
2024 Anaheim,HYROX PRO DOUBLES,Men,14,3,"Antonio Reyes, Chris Schmidt",,MU29,01:08:54
2024 Anaheim,HYROX PRO DOUBLES,Men,15,2,"David Ledgerwood, John Perez",,40-44,01:09:09
2024 Anaheim,HYROX PRO DOUBLES,Men,16,10,"Robert Borho, Cameron Clark",,30-34,01:09:27
2024 Anaheim,HYROX PRO DOUBLES,Men,17,11,"Christopher Neal, Julian Capriles",,30-34,01:14:09
2024 Anaheim,HYROX PRO DOUBLES,Men,18,12,"Steve Robles, Chris Mckeown",,30-34,01:16:27
2024 Anaheim,HYROX PRO DOUBLES,Men,19,3,"Joseph Dressler, Luis Jimenez",,40-44,01:16:37
2024 Anaheim,HYROX PRO DOUBLES,Men,20,4,"Adrian Morales, Josh Arcio",,MU29,01:19:31
2024 Anaheim,HYROX PRO DOUBLES,Men,21,13,"Jorge Robles, Akbar Zikria",,30-34,01:20:56
2024 Anaheim,HYROX PRO DOUBLES,Men,22,14,"Cory Mark, Keith Pugh",,30-34,01:24:29
2024 Anaheim,HYROX PRO DOUBLES,Men,23,15,"Kian Jun, Dennis Nguyen",,30-34,01:28:49
2024 Anaheim,HYROX PRO DOUBLES,Men,24,16,"Robert Rineer, Morgan Lester",,30-34,01:29:01
2024 Anaheim,HYROX PRO DOUBLES,Men,25,17,"Fernando Garcia, Juan Ramirez",,30-34,01:31:26
2024 Anaheim,HYROX PRO DOUBLES,Men,26,18,"Abraham Marroquin, Alfredo Flores",,30-34,01:32:02
2024 Anaheim,HYROX PRO DOUBLES,Men,27,19,"Hugo Gonzalez, Pedro Gonzalez",,30-34,01:33:29
2024 Anaheim,HYROX PRO DOUBLES,Men,28,4,"Damon Yuzon, Gregory Miller",,40-44,01:36:56
2024 Anaheim,HYROX PRO DOUBLES,Men,29,5,"Timothy Seely, Matthew Conboy",,40-44,01:38:47
2024 Anaheim,HYROX PRO DOUBLES,Men,30,6,"Robert Pastrana, Stanton Roseman",,40-44,01:45:42
2024 Anaheim,HYROX PRO DOUBLES,Women,1,1,"Kara Mobly, Molly Campbell",,30-34,01:04:48
2024 Anaheim,HYROX PRO DOUBLES,Women,2,1,"Emma Holm, Jesse Clarke",,40-44,01:06:23
2024 Anaheim,HYROX PRO DOUBLES,Women,3,2,"Ashley Heller, Sarah Rich",,30-34,01:09:25
2024 Anaheim,HYROX PRO DOUBLES,Women,4,1,"Cassandra Dooley, Juliet Anawalt",,WU29,01:11:15
2024 Anaheim,HYROX PRO DOUBLES,Women,5,3,"Trishala Poulose, Mackenzie Clark",,30-34,01:12:15
2024 Anaheim,HYROX PRO DOUBLES,Women,6,4,"Cece Garcia, Samantha Cvetkovski",,30-34,01:12:16
2024 Anaheim,HYROX PRO DOUBLES,Women,7,2,"Morgan Johnson, Lauren Canchola",,WU29,01:13:59
2024 Anaheim,HYROX PRO DOUBLES,Women,8,5,"Daria Daspin, Brianna Byrd",,30-34,01:14:28
2024 Anaheim,HYROX PRO DOUBLES,Women,9,3,"Emily Hammond, Alie Urquhart",,WU29,01:16:53
2024 Anaheim,HYROX PRO DOUBLES,Women,10,2,"Melissa Robertson, Johanna Lopez",,40-44,01:17:00
2024 Anaheim,HYROX PRO DOUBLES,Women,11,3,"Sara Brown, Jamie Koyama",,40-44,01:17:40
2024 Anaheim,HYROX PRO DOUBLES,Women,12,4,"Jordan Doyle, Lainey Georgia",,WU29,01:18:01
2024 Anaheim,HYROX PRO DOUBLES,Women,13,6,"Dayna Frazier, Karla Ojeda",,30-34,01:18:18
2024 Anaheim,HYROX PRO DOUBLES,Women,14,7,"Cayla Kurthy, Ashley Parker",,30-34,01:19:53
2024 Anaheim,HYROX PRO DOUBLES,Women,15,8,"Claudia Rodriguez, Carolyna Ziske",,30-34,01:20:35
2024 Anaheim,HYROX PRO DOUBLES,Women,16,9,"Katie Grue, Elma Frias",,30-34,01:21:45
2024 Anaheim,HYROX PRO DOUBLES,Women,17,10,"Connie Yan, Jenna Balestra",,30-34,01:22:34
2024 Anaheim,HYROX PRO DOUBLES,Women,18,5,"Nicole Mateus, Lexee Sutton",,WU29,01:24:49
2024 Anaheim,HYROX PRO DOUBLES,Women,19,11,"Kimberly Rodriquez, Allison Baker",,30-34,01:25:06
2024 Anaheim,HYROX PRO DOUBLES,Women,20,6,"Stacey Jones, Jade Sommers",,WU29,01:26:47
2024 Anaheim,HYROX PRO DOUBLES,Women,21,4,"Victoria Jimenez, Miriam Fregoso",,40-44,01:28:22
2024 Anaheim,HYROX PRO DOUBLES,Women,22,12,"Ashley Arroyo, Nuria Hernandez",,30-34,01:28:28
