Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Beijing,HYROX PRO DOUBLES,Men,1,1,"WONJOON JUNG, HYESEONG HWANG",,30-34,00:56:41
2024 Beijing,HYROX PRO DOUBLES,Men,2,1,"正熙 关, Enoch Lam",,40-44,00:58:52
2024 Beijing,HYROX PRO DOUBLES,Men,3,1,"Callum Meehan, Codie Meehan",,MU29,00:59:40
2024 Beijing,HYROX PRO DOUBLES,Men,4,2,"鹏 陆, 海涛 王",,30-34,01:04:51
2024 Beijing,HYROX PRO DOUBLES,Men,5,3,"晓彦 李, 科成 胥",,30-34,01:05:31
2024 Beijing,HYROX PRO DOUBLES,Men,6,2,"George Adkinson, Anson Wong TH",,MU29,01:05:47
2024 Beijing,HYROX PRO DOUBLES,Men,7,2,"Aston Lim, Thomas Chung Hau Wong",,40-44,01:05:49
2024 Beijing,HYROX PRO DOUBLES,Men,8,4,"涤 汤, 睿枫 李",,30-34,01:09:04
2024 Beijing,HYROX PRO DOUBLES,Men,9,5,"嘉豪 赵, 瑞丰 杨",,30-34,01:10:32
2024 Beijing,HYROX PRO DOUBLES,Men,10,6,"叶 张, 敖 陈",,30-34,01:11:28
2024 Beijing,HYROX PRO DOUBLES,Men,11,3,"Nicholas Ho, jiun liang tay",,40-44,01:12:59
2024 Beijing,HYROX PRO DOUBLES,Men,12,7,"雄亚 李, 涛 顾",,30-34,01:13:06
2024 Beijing,HYROX PRO DOUBLES,Men,13,3,"平安 杜, 炜引 胡",,MU29,01:14:48
2024 Beijing,HYROX PRO DOUBLES,Men,14,8,"可 梁, Fernando",,30-34,01:16:13
2024 Beijing,HYROX PRO DOUBLES,Men,15,9,"Alan Kin Han Chan, Ken Adrian Encarnacion",,30-34,01:18:51
2024 Beijing,HYROX PRO DOUBLES,Men,16,10,"宇轩 赵, 振 潘",,30-34,01:19:54
2024 Beijing,HYROX PRO DOUBLES,Men,17,11,"思萌 马, 晓睿 刘",,30-34,01:21:09
2024 Beijing,HYROX PRO DOUBLES,Men,18,12,"旭阳 白, 磊 高",,30-34,01:23:20
2024 Beijing,HYROX PRO DOUBLES,Men,19,4,"嘉圣 郭, 遵涛 张",,MU29,01:24:58
2024 Beijing,HYROX PRO DOUBLES,Men,20,5,"海鹏 王, 明岩 段",,MU29,01:26:47
2024 Beijing,HYROX PRO DOUBLES,Men,21,13,"泽浩 武, 思洋 李",,30-34,01:28:25
2024 Beijing,HYROX PRO DOUBLES,Men,22,14,"乐 孙, 天 夏",,30-34,01:29:05
2024 Beijing,HYROX PRO DOUBLES,Men,23,4,"凌 周, 新宇 谭",,40-44,01:31:58
2024 Beijing,HYROX PRO DOUBLES,Men,24,15,"路恒 陈, 嘉炜 黄",,30-34,01:31:59
2024 Beijing,HYROX PRO DOUBLES,Men,25,5,"Elmz Arcega, Roy Chia",,40-44,01:37:55
2024 Beijing,HYROX PRO DOUBLES,Men,26,16,"岩 尚, 奥 方",,30-34,01:38:33
2024 Beijing,HYROX PRO DOUBLES,Men,27,6,"雨佳 翟, 志函 董",,MU29,01:58:21
2024 Beijing,HYROX PRO DOUBLES,Women,1,1,"Liz Low, Stephanie Shabanov-Leong",,30-34,01:09:54
2024 Beijing,HYROX PRO DOUBLES,Women,2,1,"Hilary Cheung, Christie Ho",,WU29,01:10:39
2024 Beijing,HYROX PRO DOUBLES,Women,3,1,"Intan Kurnia, Jeane Anata Panannangan",,40-44,01:15:25
2024 Beijing,HYROX PRO DOUBLES,Women,4,2,"雨馨 刘, 小丽 钟",,WU29,01:16:12
2024 Beijing,HYROX PRO DOUBLES,Women,5,2,"Glad Chien, Jocelyn Ng",,30-34,01:18:17
2024 Beijing,HYROX PRO DOUBLES,Women,6,3,"Jocelyn Mong, Sam Yau Shan Hui",,WU29,01:18:27
2024 Beijing,HYROX PRO DOUBLES,Women,7,4,"敏琪 李, 惠敏 李",,WU29,01:19:00
2024 Beijing,HYROX PRO DOUBLES,Women,8,3,"乐 李, 倩 胡",,30-34,01:25:11
2024 Beijing,HYROX PRO DOUBLES,Women,9,5,"慧 李, 安然 谢",,WU29,01:32:58
2024 Beijing,HYROX PRO DOUBLES,Women,10,2,"莹 马, 亚娟 戴",,40-44,01:36:40
2024 Beijing,HYROX PRO DOUBLES,Women,11,4,"烨 武, 秋蕊 张",,30-34,01:36:49
2024 Beijing,HYROX PRO DOUBLES,Women,12,3,"Ira Rasyid Reid, Reni Rasyid Fitriano",,40-44,01:37:05
2024 Beijing,HYROX PRO DOUBLES,Women,13,6,"婷婷 冀, 圆梦 赵",,WU29,01:38:45
2024 Beijing,HYROX PRO DOUBLES,Women,14,5,"鑫婷 杨, 小尧 袁",,30-34,01:45:49
2024 Beijing,HYROX PRO DOUBLES,Women,15,6,"巢懿欣 张, 金彤 付",,30-34,01:49:24
