Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Brisbane,HYROX PRO,Men,1,1,"Kelly, James",AUS,30-34,00:55:40
2024 Brisbane,HYROX PRO,Men,2,2,"Rodgers, Tom",AUS,30-34,00:58:18
2024 Brisbane,HYROX PRO,Men,3,3,"Buchanan, Dexter",NZL,30-34,01:00:50
2024 Brisbane,HYROX PRO,Men,4,4,"Slee, Matt",AUS,30-34,01:01:16
2024 Brisbane,HYROX PRO,Men,5,5,"Clancy, Lachlan",AUS,30-34,01:01:39
2024 Brisbane,HYROX PRO,Men,6,1,"Woolley, Chris",AUS,35-39,01:02:56
2024 Brisbane,HYROX PRO,Men,7,2,"Lapthorn, Tom",GBR,35-39,01:03:06
2024 Brisbane,HYROX PRO,Men,8,3,"Lewis, Greg",AUS,35-39,01:03:15
2024 Brisbane,HYROX PRO,Men,9,6,"Day, Peter",AUS,30-34,01:03:47
2024 Brisbane,HYROX PRO,Men,10,1,"Nazari, Abbas",NZL,25-29,01:04:11
2024 Brisbane,HYROX PRO,Men,11,4,"Ferguson, Matthew",AUS,35-39,01:04:27
2024 Brisbane,HYROX PRO,Men,12,2,"Mckellar, Cody",AUS,25-29,01:04:27
2024 Brisbane,HYROX PRO,Men,13,1,"Ashley, Matthew",AUS,40-44,01:05:01
2024 Brisbane,HYROX PRO,Men,14,3,"Ridgley, Daniel",AUS,25-29,01:05:20
2024 Brisbane,HYROX PRO,Men,15,1,"Tucek, Bay",AUS,16-24,01:05:29
2024 Brisbane,HYROX PRO,Men,16,7,"Wooster, Tyler",AUS,30-34,01:06:13
2024 Brisbane,HYROX PRO,Men,17,2,"Sovljanski, Nikola",NZL,16-24,01:06:21
2024 Brisbane,HYROX PRO,Men,18,8,"Sumner, Hayden",AUS,30-34,01:06:24
2024 Brisbane,HYROX PRO,Men,19,4,"Luksich, Cameron",AUS,25-29,01:06:29
2024 Brisbane,HYROX PRO,Men,20,5,"Okeeffe, Daniel",AUS,25-29,01:06:32
2024 Brisbane,HYROX PRO,Men,21,5,"Hunt, Brendan",AUS,35-39,01:06:44
2024 Brisbane,HYROX PRO,Men,22,6,"Durham, Kale",AUS,25-29,01:07:21
2024 Brisbane,HYROX PRO,Men,23,9,"Willis, Connor",GBR,30-34,01:07:25
2024 Brisbane,HYROX PRO,Men,24,10,"Redden, Casey",AUS,30-34,01:07:40
2024 Brisbane,HYROX PRO,Men,25,11,"Werner, Matty",AUS,30-34,01:08:18
2024 Brisbane,HYROX PRO,Men,26,12,"El Zakhem, Abraham",AUS,30-34,01:08:36
2024 Brisbane,HYROX PRO,Men,27,6,"Evans, Daniel",GBR,35-39,01:08:46
2024 Brisbane,HYROX PRO,Men,28,7,"Barton, Kaleb",NZL,25-29,01:09:00
2024 Brisbane,HYROX PRO,Men,29,8,"Hart, Tom",NZL,25-29,01:09:03
2024 Brisbane,HYROX PRO,Men,30,9,"Barratt, Dan",GBR,25-29,01:09:04
2024 Brisbane,HYROX PRO,Men,31,13,"Janovsky, Alex",AUS,30-34,01:09:08
2024 Brisbane,HYROX PRO,Men,32,10,"Boyle, Matthew",IRL,25-29,01:09:25
2024 Brisbane,HYROX PRO,Men,33,11,"Lovelock, Mitch",AUS,25-29,01:09:35
2024 Brisbane,HYROX PRO,Men,34,1,"Artup, Ben",AUS,45-49,01:09:40
2024 Brisbane,HYROX PRO,Men,35,14,"Donohoe, Diarmaid",IRL,30-34,01:09:43
2024 Brisbane,HYROX PRO,Men,36,15,"Edwards, Darcy",AUS,30-34,01:10:50
2024 Brisbane,HYROX PRO,Men,37,16,"Hatfield, Conor",AUS,30-34,01:11:06
2024 Brisbane,HYROX PRO,Men,38,17,"Harrison, Neil",IRL,30-34,01:11:31
2024 Brisbane,HYROX PRO,Men,39,18,"Mckay, Jesse",AUS,30-34,01:11:43
2024 Brisbane,HYROX PRO,Men,40,12,"Turuva, Isaiah",AUS,25-29,01:11:47
2024 Brisbane,HYROX PRO,Men,41,19,"Smith, Kael",AUS,30-34,01:12:03
2024 Brisbane,HYROX PRO,Men,42,7,"Marks, Jason",AUS,35-39,01:12:32
2024 Brisbane,HYROX PRO,Men,43,13,"Garft, Jaden",AUS,25-29,01:12:50
2024 Brisbane,HYROX PRO,Men,44,20,"MCBRIDGE, ALEX",AUS,30-34,01:12:59
2024 Brisbane,HYROX PRO,Men,45,14,"Mackay, Nick",GBR,25-29,01:13:20
2024 Brisbane,HYROX PRO,Men,46,2,"More, Tony",NZL,45-49,01:13:38
2024 Brisbane,HYROX PRO,Men,47,21,"Zeniou, Anthony",AUS,30-34,01:13:50
2024 Brisbane,HYROX PRO,Men,48,3,"Moger, Levi",AUS,16-24,01:14:04
2024 Brisbane,HYROX PRO,Men,49,22,"Harris, Aaron",AUS,30-34,01:14:19
2024 Brisbane,HYROX PRO,Men,50,4,"Maharaj, Ollie",AUS,16-24,01:15:49
2024 Brisbane,HYROX PRO,Men,51,15,"Maher, Jake",AUS,25-29,01:15:55
2024 Brisbane,HYROX PRO,Men,52,23,"Drinkwater, Michael",AUS,30-34,01:16:02
2024 Brisbane,HYROX PRO,Men,53,8,"Harvey, Stu",AUS,35-39,01:16:14
2024 Brisbane,HYROX PRO,Men,54,24,"Coulstock, Nick",AUS,30-34,01:16:19
2024 Brisbane,HYROX PRO,Men,55,9,"Bansemer, Andrew",AUS,35-39,01:16:30
2024 Brisbane,HYROX PRO,Men,56,16,"Granger, Hamish",AUS,25-29,01:16:34
2024 Brisbane,HYROX PRO,Men,57,10,"Gasparroni, Michael",AUS,35-39,01:17:27
2024 Brisbane,HYROX PRO,Men,58,17,"Tross, Tristan",BRA,25-29,01:17:59
2024 Brisbane,HYROX PRO,Men,59,25,"Isaac, Ryan",AUS,30-34,01:18:08
2024 Brisbane,HYROX PRO,Men,60,18,"Dowd, Shaden",NZL,25-29,01:18:13
2024 Brisbane,HYROX PRO,Men,61,2,"Halonen, Craig",NZL,40-44,01:18:50
2024 Brisbane,HYROX PRO,Men,62,11,"Warner, Timothy",AUS,35-39,01:19:18
2024 Brisbane,HYROX PRO,Men,63,5,"Farrugia, Jake",AUS,16-24,01:19:18
2024 Brisbane,HYROX PRO,Men,64,3,"Mellors, Arthur",AUS,40-44,01:19:30
2024 Brisbane,HYROX PRO,Men,65,19,"Singer, Alex",USA,25-29,01:19:35
2024 Brisbane,HYROX PRO,Men,66,12,"Yokoyama, Victor",AUS,35-39,01:19:41
2024 Brisbane,HYROX PRO,Men,67,1,"Mihos, Jimmy Demetri",NZL,50-54,01:19:47
2024 Brisbane,HYROX PRO,Men,68,26,"Ostini, Jake",AUS,30-34,01:19:48
2024 Brisbane,HYROX PRO,Men,69,13,"Clarke, Austin",GBR,35-39,01:20:01
2024 Brisbane,HYROX PRO,Men,70,27,"Finnigan, Ashley",AUS,30-34,01:20:01
2024 Brisbane,HYROX PRO,Men,71,28,"Ormerod, Jordan",AUS,30-34,01:20:02
2024 Brisbane,HYROX PRO,Men,72,4,"Zocchi, Luke",AUS,40-44,01:20:13
2024 Brisbane,HYROX PRO,Men,73,14,"Azzopardi, Peter",AUS,35-39,01:20:44
2024 Brisbane,HYROX PRO,Men,74,5,"Eggins, David",AUS,40-44,01:20:51
2024 Brisbane,HYROX PRO,Men,75,29,"Blackweir, Shane",IRL,30-34,01:21:22
2024 Brisbane,HYROX PRO,Men,76,20,"Whittle, Ryan",AUS,25-29,01:21:35
2024 Brisbane,HYROX PRO,Men,77,21,"Larsen, Matt",AUS,25-29,01:21:35
2024 Brisbane,HYROX PRO,Men,78,15,"Pipe, James",NZL,35-39,01:21:41
2024 Brisbane,HYROX PRO,Men,79,16,"Itaya, Tomohiro",JPN,35-39,01:21:49
2024 Brisbane,HYROX PRO,Men,80,30,"Harris, Daniel",AUS,30-34,01:22:01
2024 Brisbane,HYROX PRO,Men,81,17,"Couper, Nathan",AUS,35-39,01:22:23
2024 Brisbane,HYROX PRO,Men,82,31,"Holman, Jonathan",USA,30-34,01:22:51
2024 Brisbane,HYROX PRO,Men,83,32,"Marin, Kristyan",UKR,30-34,01:23:53
2024 Brisbane,HYROX PRO,Men,84,33,"Nancarrow, Mitch",AUS,30-34,01:24:02
2024 Brisbane,HYROX PRO,Men,85,34,"Nikora-Baker, Jordan",NZL,30-34,01:24:03
