Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,1,1,"Miguel Ángel Sánchez Ponton Arroyo, Alexis Trujillo Ortega",,30-34,00:59:08
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,2,2,"Carlos Zatarain Casillas, German Flores Bulnes",,30-34,01:00:09
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,3,3,"Gustavo Mendez, Esteban Mondragón",,30-34,01:04:45
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,4,1,"Rodrigo Pérez Reyes, Diego Pérez Reyes",,MU29,01:05:04
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,5,4,"José Luis Gonzalez Duran, Eduardo Cano Ramos",,30-34,01:07:07
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,6,2,"Gabriel Antonio Vázquez Rosas, Christian Jesus Jiménez Núñez",,MU29,01:07:12
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,7,5,"Gibran Rodriguez, Jose Burguete",,30-34,01:07:21
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,8,6,"Jose Garcia, Juan Urquiza",,30-34,01:08:00
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,9,7,"Gilberto Parra, Gaston Hanssens",,30-34,01:08:49
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,10,1,"Joshua Carney, Brian Epps",,40-44,01:09:05
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,11,2,"Edgar Alan Garcia Jasso, Sergio López Trejo",,40-44,01:09:39
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,12,3,"Cesar Guevara Jimenez, Pedro Alberto Padilla Chavez",,40-44,01:09:53
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,13,4,"Oscar Medina Garcia, Aaron Muñoz Gonzalez",,40-44,01:10:18
2024 Ciudad de Mexico,HYROX PRO DOUBLES,Men,14,8,"Héctor Moreno, Iván Rodriguez",,30-34,01:10:47
