Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Dallas,HYROX PRO DOUBLES,Men,1,1,"Jesse Biddle, Maceo Munoz",,MU29,00:57:41
2024 Dallas,HYROX PRO DOUBLES,Men,2,2,"Sean Greenspan, Matt Choi",,MU29,00:58:40
2024 Dallas,HYROX PRO DOUBLES,Men,3,1,"Adam De Jong, Mike Fecik",,30-34,00:59:02
2024 Dallas,HYROX PRO DOUBLES,Men,4,2,"Braydon Alley, Kyle Corcoran",,30-34,00:59:02
2024 Dallas,HYROX PRO DOUBLES,Men,5,3,"Gustavo Hernandez, Carter Williams",,30-34,01:00:20
2024 Dallas,HYROX PRO DOUBLES,Men,6,4,"Clay Bell, David Henry",,30-34,01:00:35
2024 Dallas,HYROX PRO DOUBLES,Men,7,5,"Larry Potvin, Matthew Boyan",,30-34,01:01:38
2024 Dallas,HYROX PRO DOUBLES,Men,8,3,"Nicholas Colvin, Connor White",,MU29,01:02:03
2024 Dallas,HYROX PRO DOUBLES,Men,9,4,"Kenny Schroeder, Connor Lindsey",,MU29,01:02:24
2024 Dallas,HYROX PRO DOUBLES,Men,10,6,"Mike Thomson, Kyle Gillett",,30-34,01:02:30
2024 Dallas,HYROX PRO DOUBLES,Men,11,5,"Boris Balin San Martin, Ced Vincent",,MU29,01:03:02
2024 Dallas,HYROX PRO DOUBLES,Men,12,7,"Brandon Bonine, Johnny Mares",,30-34,01:03:05
2024 Dallas,HYROX PRO DOUBLES,Men,13,8,"Connor Revord, Jacob Carter",,30-34,01:03:20
2024 Dallas,HYROX PRO DOUBLES,Men,14,9,"Greg Ashcroft, Daren Endsley",,30-34,01:03:27
2024 Dallas,HYROX PRO DOUBLES,Men,15,6,"Denis Becirevic, Roderick Quaye",,MU29,01:04:13
2024 Dallas,HYROX PRO DOUBLES,Men,16,7,"Jordan Baugh, Beau Bennett",,MU29,01:05:45
2024 Dallas,HYROX PRO DOUBLES,Men,17,8,"Regan Murry, Will Bennett",,MU29,01:05:45
2024 Dallas,HYROX PRO DOUBLES,Men,18,9,"Carlos Armas, Ross Duhon",,MU29,01:06:06
2024 Dallas,HYROX PRO DOUBLES,Men,19,10,"William Bernitt, Brandon Caldwell",,MU29,01:06:14
2024 Dallas,HYROX PRO DOUBLES,Men,20,10,"Josh James, Levi Fox",,30-34,01:06:27
2024 Dallas,HYROX PRO DOUBLES,Men,21,11,"Mike Peevler, Devon Cetti",,MU29,01:06:39
2024 Dallas,HYROX PRO DOUBLES,Men,22,11,"Gabriel Yanez, Jason Khalipa",,30-34,01:07:13
2024 Dallas,HYROX PRO DOUBLES,Men,23,12,"Kevin Rauch, Samuel Schildgen",,30-34,01:08:39
2024 Dallas,HYROX PRO DOUBLES,Men,24,1,"Joshua Carney, Brian Epps",,40-44,01:09:10
2024 Dallas,HYROX PRO DOUBLES,Men,25,12,"Joseph McCalley, Logan Burton",,MU29,01:09:22
2024 Dallas,HYROX PRO DOUBLES,Men,26,13,"Anthony Sommer, Earl Galindo",,MU29,01:09:35
2024 Dallas,HYROX PRO DOUBLES,Men,27,14,"Trevor Batson, Josh Bridwell",,MU29,01:10:02
2024 Dallas,HYROX PRO DOUBLES,Men,28,15,"Parker Fyfe, Joseph Morley",,MU29,01:10:04
2024 Dallas,HYROX PRO DOUBLES,Men,29,13,"Jake Didlake, Terrance Banner",,30-34,01:10:28
2024 Dallas,HYROX PRO DOUBLES,Men,30,14,"Paul Kaup, Benett Kaup",,30-34,01:10:49
2024 Dallas,HYROX PRO DOUBLES,Men,31,16,"James Patrick Ford, Luke Ketchum",,MU29,01:11:19
2024 Dallas,HYROX PRO DOUBLES,Men,32,15,"Desmond Jasper, Jeffrey Clark",,30-34,01:11:33
2024 Dallas,HYROX PRO DOUBLES,Men,33,16,"Caleb Powell, CHARLES KACKERT",,30-34,01:11:53
2024 Dallas,HYROX PRO DOUBLES,Men,34,17,"Kyle Becraft, Adam England",,MU29,01:12:05
2024 Dallas,HYROX PRO DOUBLES,Men,35,18,"Nicholas Seidel, Aaron Shapiro",,MU29,01:12:11
2024 Dallas,HYROX PRO DOUBLES,Men,36,17,"Reggie Wilson, Joshua Adcox",,30-34,01:12:34
2024 Dallas,HYROX PRO DOUBLES,Men,37,18,"Omar Salgado, Emiliano Martinez",,30-34,01:13:06
2024 Dallas,HYROX PRO DOUBLES,Men,38,19,"John Brennan, Finn Jent",,MU29,01:13:07
2024 Dallas,HYROX PRO DOUBLES,Men,39,19,"Ryan Hopkins, Paul Smith",,30-34,01:13:27
2024 Dallas,HYROX PRO DOUBLES,Men,40,20,"George Macy, Corey Hiben",,30-34,01:13:47
2024 Dallas,HYROX PRO DOUBLES,Men,41,–,"Joseph Kelley, Josh Owen",,–,01:13:49
2024 Dallas,HYROX PRO DOUBLES,Men,42,2,"Juan Berdejo, Hugo Gomez",,40-44,01:14:08
