Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Dublin,HYROX PRO - Overall,Men,1,1,"Noble, Sean",IRL,25-29,00:55:30
2024 Dublin,HYROX PRO - Overall,Men,2,2,"Travers, Aaron",IRL,25-29,00:59:03
2024 Dublin,HYROX PRO - Overall,Men,3,1,"Mc Gowan, Shane",IRL,35-39,00:59:53
2024 Dublin,HYROX PRO - Overall,Men,4,2,"Woodman, Aaron",GBR,35-39,01:00:37
2024 Dublin,HYROX PRO - Overall,Men,5,3,"Docherty, Aaron",GBR,25-29,01:01:48
2024 Dublin,HYROX PRO - Overall,Men,6,3,"O'Brien, Paul",IRL,35-39,01:02:34
2024 Dublin,HYROX PRO - Overall,Men,7,4,"Beattie, Paul",IRL,35-39,01:03:20
2024 Dublin,HYROX PRO - Overall,Men,8,1,"Owen, Chris",GBR,16-24,01:03:33
2024 Dublin,HYROX PRO - Overall,Men,9,1,"Bourke, Damien",IRL,30-34,01:03:37
2024 Dublin,HYROX PRO - Overall,Men,10,5,"Mc Laughlin, Sean",IRL,35-39,01:03:37
2024 Dublin,HYROX PRO - Overall,Men,11,6,"Grobien, Fritz",IRL,35-39,01:03:51
2024 Dublin,HYROX PRO - Overall,Men,12,7,"Watkins, Barry",IRL,35-39,01:04:01
2024 Dublin,HYROX PRO - Overall,Men,13,8,"Ryan, Paul",IRL,35-39,01:04:52
2024 Dublin,HYROX PRO - Overall,Men,14,2,"Carroll, Tadgh",IRL,30-34,01:05:00
2024 Dublin,HYROX PRO - Overall,Men,15,2,"Mcginley, Reece",IRL,16-24,01:05:02
2024 Dublin,HYROX PRO - Overall,Men,16,4,"Crawford, Daniel",GBR,25-29,01:05:11
2024 Dublin,HYROX PRO - Overall,Men,17,1,"Derby, Simon",IRL,40-44,01:05:15
2024 Dublin,HYROX PRO - Overall,Men,18,3,"Smith, Michael",IRL,30-34,01:05:28
2024 Dublin,HYROX PRO - Overall,Men,19,4,"Serrano, Roger",ESP,30-34,01:05:37
2024 Dublin,HYROX PRO - Overall,Men,20,9,"White, Paul",IRL,35-39,01:05:45
2024 Dublin,HYROX PRO - Overall,Men,21,5,"Coulter, John",IRL,30-34,01:05:46
2024 Dublin,HYROX PRO - Overall,Men,22,3,"Walker, Ross",GBR,16-24,01:05:51
2024 Dublin,HYROX PRO - Overall,Men,23,6,"White, Jordan",GBR,30-34,01:06:33
2024 Dublin,HYROX PRO - Overall,Men,24,7,"Nockolds, Ben",GBR,30-34,01:07:10
2024 Dublin,HYROX PRO - Overall,Men,25,5,"Flynn, Mike",IRL,25-29,01:07:17
2024 Dublin,HYROX PRO - Overall,Men,26,4,"Wisdom, Brady",USA,16-24,01:08:03
2024 Dublin,HYROX PRO - Overall,Men,27,2,"Marson, Kev",GBR,40-44,01:08:17
2024 Dublin,HYROX PRO - Overall,Men,28,8,"Murphy, Conor",IRL,30-34,01:08:25
2024 Dublin,HYROX PRO - Overall,Men,29,6,"Stewart, Sam",IRL,25-29,01:08:26
2024 Dublin,HYROX PRO - Overall,Men,30,10,"Tierney, Noel",IRL,35-39,01:08:38
2024 Dublin,HYROX PRO - Overall,Men,31,7,"Mcfall, Robert",GBR,25-29,01:08:53
2024 Dublin,HYROX PRO - Overall,Men,32,8,"Dominie, Bailey",CAN,25-29,01:09:02
2024 Dublin,HYROX PRO - Overall,Men,33,9,"Keaney, Fergal",IRL,30-34,01:09:06
2024 Dublin,HYROX PRO - Overall,Men,34,3,"Heron, Chris",GBR,40-44,01:09:19
