Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Frankfurt,HYROX PRO,Men,1,1,"Wills, Beau",NZL,30-34,00:56:32
2024 Frankfurt,HYROX PRO,Men,2,1,"Wynn, Jonathon",AUS,35-39,00:56:52
2024 Frankfurt,HYROX PRO,Men,3,1,"Ifversen, Sebastian",DEN,25-29,00:57:39
2024 Frankfurt,HYROX PRO,Men,4,2,"Noble, Sean",IRL,25-29,00:57:46
2024 Frankfurt,HYROX PRO,Men,5,2,"Tvrdik, Tomas",CZE,35-39,00:58:41
2024 Frankfurt,HYROX PRO,Men,6,3,"Schoen, Samir",GER,25-29,00:59:07
2024 Frankfurt,HYROX PRO,Men,7,2,"Osselaer, Louis",BEL,30-34,00:59:17
2024 Frankfurt,HYROX PRO,Men,8,4,"Wamser, Philipp",GER,25-29,00:59:21
2024 Frankfurt,HYROX PRO,Men,9,5,"Enthoven, Maarten",NED,25-29,00:59:28
2024 Frankfurt,HYROX PRO,Men,10,3,"Lautwein, Tobias",GER,35-39,00:59:39
2024 Frankfurt,HYROX PRO,Men,11,3,"Azar, Austin",CAN,30-34,00:59:55
2024 Frankfurt,HYROX PRO,Men,12,4,"Elfitouri, Sadiq",ENG,30-34,00:59:59
2024 Frankfurt,HYROX PRO,Men,13,5,"Hupkes, Elte",NED,30-34,01:00:15
2024 Frankfurt,HYROX PRO,Men,14,6,"Weindl, Paul",GER,25-29,01:00:28
2024 Frankfurt,HYROX PRO,Men,15,1,"Pimentel, Samuel",ESP,40-44,01:00:37
2024 Frankfurt,HYROX PRO,Men,16,4,"Brenner, Christof",GER,35-39,01:00:54
2024 Frankfurt,HYROX PRO,Men,17,7,"Viciedo Gimeno, Roberto",ESP,25-29,01:00:56
2024 Frankfurt,HYROX PRO,Men,18,6,"Karsch, Marvin",GER,30-34,01:01:32
2024 Frankfurt,HYROX PRO,Men,19,8,"Kreutzer, Julian",AUT,25-29,01:01:53
2024 Frankfurt,HYROX PRO,Men,20,5,"Löschke, Franz",GER,35-39,01:01:55
2024 Frankfurt,HYROX PRO,Men,21,6,"Oldach, Maik",GER,35-39,01:02:00
2024 Frankfurt,HYROX PRO,Men,22,2,"Moumen, Jaafar",MAR,40-44,01:02:04
2024 Frankfurt,HYROX PRO,Men,23,7,"Baez Ayala, Benito",GER,35-39,01:02:10
2024 Frankfurt,HYROX PRO,Men,24,7,"Janssen, Jop",NED,30-34,01:02:12
2024 Frankfurt,HYROX PRO,Men,25,8,"Pranjic, Ivan",CRO,35-39,01:02:18
2024 Frankfurt,HYROX PRO,Men,26,9,"O'brien, Paul",IRL,35-39,01:02:21
2024 Frankfurt,HYROX PRO,Men,27,10,"Bianchi, Eugenio",ITA,35-39,01:02:30
2024 Frankfurt,HYROX PRO,Men,28,3,"Bergsman, Pär",SWE,40-44,01:02:31
2024 Frankfurt,HYROX PRO,Men,29,11,"Estrangeiro, José",POR,35-39,01:02:33
2024 Frankfurt,HYROX PRO,Men,30,12,"Mc laughlin, Sean",IRL,35-39,01:02:48
2024 Frankfurt,HYROX PRO,Men,31,1,"Hoffmann, Janik",GER,16-24,01:03:04
2024 Frankfurt,HYROX PRO,Men,32,8,"Legatzki, Frederic",GER,30-34,01:03:24
2024 Frankfurt,HYROX PRO,Men,33,9,"Salama, Jose",ESP,30-34,01:03:54
2024 Frankfurt,HYROX PRO,Men,34,13,"MENDEZ DE LA MAZA, JERONIMO",ESP,35-39,01:04:14
2024 Frankfurt,HYROX PRO,Men,35,10,"Avenel, Maxime",FRA,30-34,01:04:24
2024 Frankfurt,HYROX PRO,Men,36,11,"alici, turker",DEN,30-34,01:04:24
2024 Frankfurt,HYROX PRO,Men,37,12,"Lichtenstein, Gabriel",GER,30-34,01:04:52
2024 Frankfurt,HYROX PRO,Men,38,9,"Eschment, Magnus",GER,25-29,01:04:58
2024 Frankfurt,HYROX PRO,Men,39,13,"Vladyka, Jan",CZE,30-34,01:05:11
2024 Frankfurt,HYROX PRO,Men,40,10,"White, Kieron",IRL,25-29,01:05:40
2024 Frankfurt,HYROX PRO,Men,41,11,"van Overdam, Luc",NED,25-29,01:05:43
2024 Frankfurt,HYROX PRO,Men,42,14,"Gast, Fabian",GER,30-34,01:05:49
2024 Frankfurt,HYROX PRO,Men,43,12,"Herwig, Maurice",GER,25-29,01:05:55
2024 Frankfurt,HYROX PRO,Men,44,13,"Stahl, Lukas",GER,25-29,01:05:58
2024 Frankfurt,HYROX PRO,Men,45,14,"Cristiano Ruggier, Matti",MLT,25-29,01:06:02
2024 Frankfurt,HYROX PRO,Men,46,14,"Biedermann, René",AUT,35-39,01:06:04
2024 Frankfurt,HYROX PRO,Men,47,15,"Towler, Anthony",GBR,35-39,01:06:09
2024 Frankfurt,HYROX PRO,Men,48,15,"Van der Meer, Timo",GER,30-34,01:06:26
2024 Frankfurt,HYROX PRO,Men,49,16,"Sölle, Dennis",GER,35-39,01:06:37
2024 Frankfurt,HYROX PRO,Men,50,1,"Binder, Jochen",GER,45-49,01:06:40
2024 Frankfurt,HYROX PRO,Men,51,4,"Hertig, Savo",SUI,40-44,01:06:59
