Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Frankfurt,HYROX PRO DOUBLES,Men,1,1,"Thierry Willigenburg, Hidde Weersma",,MU29,00:52:30
2024 Frankfurt,HYROX PRO DOUBLES,Men,2,1,"Hendrik Themann, Tiago LOUSA",,30-34,00:53:23
2024 Frankfurt,HYROX PRO DOUBLES,Men,3,2,"Thomas Hogan, Peter Schiller",,30-34,00:53:35
2024 Frankfurt,HYROX PRO DOUBLES,Men,4,2,"Jannik Czapla, Florian Staudt",,MU29,00:54:50
2024 Frankfurt,HYROX PRO DOUBLES,Men,5,3,"Mario Kuhnt, Jonathan Heuer",,MU29,00:57:40
2024 Frankfurt,HYROX PRO DOUBLES,Men,6,4,"Tobias Kiefer, Daniel Gundall",,MU29,00:57:47
2024 Frankfurt,HYROX PRO DOUBLES,Men,7,5,"Johannes Klos, Nils Knuth",,MU29,00:57:48
2024 Frankfurt,HYROX PRO DOUBLES,Men,8,1,"Simon Passmore, Daniel Sevilla",,50-54,00:58:02
2024 Frankfurt,HYROX PRO DOUBLES,Men,9,6,"Tim Wacker, Lukas Petereit",,MU29,00:58:05
2024 Frankfurt,HYROX PRO DOUBLES,Men,10,7,"Julian Krüger, Tobias Hessling",,MU29,00:58:36
2024 Frankfurt,HYROX PRO DOUBLES,Men,11,8,"Tobias Bernar, Joar Staab",,MU29,00:58:50
2024 Frankfurt,HYROX PRO DOUBLES,Men,12,9,"Marco Senfleben, Dominik Schmitt",,MU29,00:59:39
2024 Frankfurt,HYROX PRO DOUBLES,Men,13,10,"Noel-Etienne Prietzel, Dennis Musche",,MU29,00:59:45
2024 Frankfurt,HYROX PRO DOUBLES,Men,14,3,"Christoph Wieloch, Dirk Berresheim",,30-34,00:59:55
2024 Frankfurt,HYROX PRO DOUBLES,Men,15,4,"Anders Næstholdt, Patrick Hansen",,30-34,01:00:10
2024 Frankfurt,HYROX PRO DOUBLES,Men,16,1,"Marius Toborek, David Fischer",,40-44,01:00:18
2024 Frankfurt,HYROX PRO DOUBLES,Men,17,11,"Dylan Thomson, Russell Christie",,MU29,01:00:23
2024 Frankfurt,HYROX PRO DOUBLES,Men,18,5,"Frederik Westhoff, Eike Kuipers",,30-34,01:00:26
2024 Frankfurt,HYROX PRO DOUBLES,Men,19,6,"Nico Müller, Alexander Lizenberger",,30-34,01:00:42
2024 Frankfurt,HYROX PRO DOUBLES,Men,20,12,"Christopher Tebbe, Jan Teuber",,MU29,01:01:01
2024 Frankfurt,HYROX PRO DOUBLES,Men,21,7,"Benjamin Burkhardt, Marcel Winkler",,30-34,01:01:18
2024 Frankfurt,HYROX PRO DOUBLES,Men,22,8,"Dane Farmer, Robin Noller",,30-34,01:01:47
