Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Hamburg,HYROX PRO DOUBLES,Men,1,1,"Clemens Scherbel, Marcus Funken",,30-34,00:53:38
2024 Hamburg,HYROX PRO DOUBLES,Men,2,1,"Pascal Hatz, Janik Hoffmann",,MU29,00:53:58
2024 Hamburg,HYROX PRO DOUBLES,Men,3,1,"Marius Toborek, Jaafar Moumen",,40-44,00:54:53
2024 Hamburg,HYROX PRO DOUBLES,Men,4,2,"Florian Staudt, Marcel Maier",,MU29,00:54:54
2024 Hamburg,HYROX PRO DOUBLES,Men,5,3,"Ralf Bittig, Daniel Szadorf",,MU29,00:56:01
2024 Hamburg,HYROX PRO DOUBLES,Men,6,2,"Jannik Jensen, Bo Jorma Höck",,30-34,00:56:31
2024 Hamburg,HYROX PRO DOUBLES,Men,7,4,"Edward Dier, Matt Lundberg",,MU29,00:56:44
2024 Hamburg,HYROX PRO DOUBLES,Men,8,3,"Dennis Geckert, Niklas Budde",,30-34,00:56:56
2024 Hamburg,HYROX PRO DOUBLES,Men,9,4,"Elte Hupkes, Teun Coumou",,30-34,00:58:03
2024 Hamburg,HYROX PRO DOUBLES,Men,10,5,"Sven Schenk, Albrecht Höhn",,30-34,00:58:12
2024 Hamburg,HYROX PRO DOUBLES,Men,11,5,"Dragesa Lazarevic, Sandro Lombardi",,MU29,00:58:37
2024 Hamburg,HYROX PRO DOUBLES,Men,12,6,"Steffen Dachtler, Florian Kowalczyk",,30-34,00:59:02
2024 Hamburg,HYROX PRO DOUBLES,Men,13,7,"Matthias Wesemann, Daniel Benz",,30-34,00:59:07
2024 Hamburg,HYROX PRO DOUBLES,Men,14,8,"Tom Jansen, Thorsten Hansen",,30-34,00:59:52
2024 Hamburg,HYROX PRO DOUBLES,Men,15,9,"Philipp Langer, Rene Schüttler",,30-34,01:00:07
2024 Hamburg,HYROX PRO DOUBLES,Men,16,6,"Sebastian Jonczyk, Johannes Klingseis",,MU29,01:00:55
2024 Hamburg,HYROX PRO DOUBLES,Men,17,10,"Ogul Can Ilgar, Adrian Majewski",,30-34,01:01:04
2024 Hamburg,HYROX PRO DOUBLES,Men,18,7,"Victor Stenz, Lucas Georg Horz",,MU29,01:01:11
2024 Hamburg,HYROX PRO DOUBLES,Men,19,11,"Robert Bowles, Thomas Shiel",,30-34,01:01:31
2024 Hamburg,HYROX PRO DOUBLES,Men,20,12,"Sebastian Mörig, Raik Selbmann",,30-34,01:01:39
2024 Hamburg,HYROX PRO DOUBLES,Men,21,8,"Nick Wobbe, Simon Haak",,MU29,01:01:45
2024 Hamburg,HYROX PRO DOUBLES,Men,22,9,"Marco Bents, Benedikt Kindler",,MU29,01:02:01
2024 Hamburg,HYROX PRO DOUBLES,Men,23,13,"Kieron Judge, Jordon West",,30-34,01:02:17
2024 Hamburg,HYROX PRO DOUBLES,Men,24,14,"Kay Jaster, Marcel Winkler",,30-34,01:02:21
2024 Hamburg,HYROX PRO DOUBLES,Men,25,15,"Johannes Weißenfeld, Torben Johannesen",,30-34,01:02:41
2024 Hamburg,HYROX PRO DOUBLES,Men,26,16,"Lukas Storath, Oliver Stauf",,30-34,01:03:02
2024 Hamburg,HYROX PRO DOUBLES,Men,27,17,"Wolfgang Schilling, Christian Voigt",,30-34,01:03:09
2024 Hamburg,HYROX PRO DOUBLES,Men,28,18,"Christoph Hopp, Wieland Faßmann",,30-34,01:03:40
2024 Hamburg,HYROX PRO DOUBLES,Men,29,19,"Onur Ünal, Jonas Bünger",,30-34,01:04:05
2024 Hamburg,HYROX PRO DOUBLES,Men,30,20,"Moritz Fiebig, John Christian Singleton",,30-34,01:04:07
2024 Hamburg,HYROX PRO DOUBLES,Men,31,10,"Gramos Halilaj, Toni Knüppel",,MU29,01:04:08
2024 Hamburg,HYROX PRO DOUBLES,Men,32,2,"Christian Lichtenauer, David Mielisch",,40-44,01:04:14
2024 Hamburg,HYROX PRO DOUBLES,Men,33,3,"Jan Hendrik Henrico, Philip Brohlburg",,40-44,01:04:15
2024 Hamburg,HYROX PRO DOUBLES,Men,34,21,"Josip Pfadt, Thomas Thiel",,30-34,01:04:19
2024 Hamburg,HYROX PRO DOUBLES,Men,35,11,"Niklas Deutscher, Silas Gertischke",,MU29,01:04:23
2024 Hamburg,HYROX PRO DOUBLES,Men,36,12,"Lorenz Handwerk, Justus Dietrich",,MU29,01:04:42
2024 Hamburg,HYROX PRO DOUBLES,Men,37,13,"Erik Mescheder, Yunus Acik",,MU29,01:05:19
2024 Hamburg,HYROX PRO DOUBLES,Men,38,22,"Patrick Neumann, Kevin Schulz",,30-34,01:05:33
2024 Hamburg,HYROX PRO DOUBLES,Men,39,23,"Robin Pieper, Dennis Pieper",,30-34,01:06:23
2024 Hamburg,HYROX PRO DOUBLES,Men,40,4,"Tobias Beine, Bastian Baeumer",,40-44,01:06:37
2024 Hamburg,HYROX PRO DOUBLES,Men,41,5,"Jesper Schouboe, Niklas Madsen",,40-44,01:06:46
2024 Hamburg,HYROX PRO DOUBLES,Men,42,6,"Rasmus Nielsen, Morten Fryland",,40-44,01:06:57
2024 Hamburg,HYROX PRO DOUBLES,Men,43,7,"Andreas Levers, Bertus Cestrone",,40-44,01:07:07
2024 Hamburg,HYROX PRO DOUBLES,Men,44,14,"Frederik Tølle, Marco Pedersen",,MU29,01:07:44
2024 Hamburg,HYROX PRO DOUBLES,Men,45,24,"Julius Ise, Oliver Nink",,30-34,01:07:51
2024 Hamburg,HYROX PRO DOUBLES,Men,46,25,"Florian De Weryha, Robert Dopke",,30-34,01:07:56
2024 Hamburg,HYROX PRO DOUBLES,Men,47,26,"Florian Birkenkamp, Jonas Wilken",,30-34,01:07:56
