Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 London,HYROX PRO - Overall,Men,1,1,"Thompson, Harry",ENG,30-34,00:58:04
2024 London,HYROX PRO - Overall,Men,2,1,"Bianchi, Eugenio",ITA,35-39,00:58:28
2024 London,HYROX PRO - Overall,Men,3,1,"Noble, Sean",IRL,25-29,00:58:51
2024 London,HYROX PRO - Overall,Men,4,2,"Rae, Danny",GBR,25-29,00:59:47
2024 London,HYROX PRO - Overall,Men,5,2,"Hogan, Ryan",GBR,35-39,01:00:41
2024 London,HYROX PRO - Overall,Men,6,2,"Lawson, Tom",GBR,30-34,01:01:24
2024 London,HYROX PRO - Overall,Men,7,3,"Smith, Trent",RSA,25-29,01:01:26
2024 London,HYROX PRO - Overall,Men,8,4,"Means, William",GBR,25-29,01:01:40
2024 London,HYROX PRO - Overall,Men,9,5,"Sutherland, Ben",GBR,25-29,01:01:53
2024 London,HYROX PRO - Overall,Men,10,3,"Sloan, Andrew",GBR,35-39,01:01:57
2024 London,HYROX PRO - Overall,Men,11,3,"Gast, Florian",GER,30-34,01:02:09
2024 London,HYROX PRO - Overall,Men,12,6,"Phillips, Sean",GBR,25-29,01:02:22
2024 London,HYROX PRO - Overall,Men,13,4,"Harold, Stephen",IRL,35-39,01:02:42
2024 London,HYROX PRO - Overall,Men,14,4,"Lindsay, Ronan",IRL,30-34,01:02:47
2024 London,HYROX PRO - Overall,Men,15,7,"Mccroary, Liam",GBR,25-29,01:02:50
2024 London,HYROX PRO - Overall,Men,16,8,"Bird, Harry",GBR,25-29,01:03:16
2024 London,HYROX PRO - Overall,Men,17,5,"Bucci, Michele",ITA,35-39,01:04:07
2024 London,HYROX PRO - Overall,Men,18,6,"Leader, Joseph",GBR,35-39,01:04:10
2024 London,HYROX PRO - Overall,Men,19,7,"Ritchie, Darren",GBR,35-39,01:04:45
2024 London,HYROX PRO - Overall,Men,20,5,"Tew, Cameron",AUS,30-34,01:04:49
2024 London,HYROX PRO - Overall,Men,21,6,"Di Tavi, Gaetano",ITA,30-34,01:04:52
2024 London,HYROX PRO - Overall,Men,22,9,"Ives, James",GBR,25-29,01:05:01
2024 London,HYROX PRO - Overall,Men,23,1,"Reid, Stephen",GBR,40-44,01:05:02
2024 London,HYROX PRO - Overall,Men,24,10,"Vercouter, Félix",BEL,25-29,01:05:09
2024 London,HYROX PRO - Overall,Men,25,2,"Molloy, Michael",IRL,40-44,01:05:25
2024 London,HYROX PRO - Overall,Men,26,1,"O’Donnell, Michael",GBR,16-24,01:05:25
2024 London,HYROX PRO - Overall,Men,27,11,"Pearson, Brendan",GBR,25-29,01:05:41
2024 London,HYROX PRO - Overall,Men,28,12,"Brame, Jordan",GBR,25-29,01:06:03
2024 London,HYROX PRO - Overall,Men,29,7,"Serrano Rodríguez, Alberto",ESP,30-34,01:06:18
2024 London,HYROX PRO - Overall,Men,30,8,"Biles, Marcus",GBR,30-34,01:06:21
2024 London,HYROX PRO - Overall,Men,31,3,"Broadway, Tom",GBR,40-44,01:06:30
2024 London,HYROX PRO - Overall,Men,32,8,"Sinden, Warren",GBR,35-39,01:06:31
2024 London,HYROX PRO - Overall,Men,33,13,"Noble, Oscar",GBR,25-29,01:06:31
2024 London,HYROX PRO - Overall,Men,34,9,"Bloor, Matthew",GBR,30-34,01:06:34
2024 London,HYROX PRO - Overall,Men,35,4,"Washington, Joe",GBR,40-44,01:06:35
2024 London,HYROX PRO - Overall,Men,36,14,"Clare, Lewis",GBR,25-29,01:06:42
2024 London,HYROX PRO - Overall,Men,37,15,"Rowlands, Callum",GBR,25-29,01:06:58
2024 London,HYROX PRO - Overall,Men,38,2,"Oxley, Kai",GBR,16-24,01:07:11
2024 London,HYROX PRO - Overall,Men,39,5,"Hyde, Jamie",SHN,40-44,01:07:27
2024 London,HYROX PRO - Overall,Men,40,16,"Uscroft Mould, Danny",GBR,25-29,01:07:30
2024 London,HYROX PRO - Overall,Men,41,10,"Barghchi, Cyrus",GBR,30-34,01:07:32
2024 London,HYROX PRO - Overall,Men,42,11,"Penman, Nathan",GBR,30-34,01:07:32
2024 London,HYROX PRO - Overall,Men,43,12,"Rounds, Fraser",GBR,30-34,01:07:39
2024 London,HYROX PRO - Overall,Men,44,13,"Perrins, Thomas",GBR,30-34,01:07:43
2024 London,HYROX PRO - Overall,Men,45,14,"Matuzevics, Ricards",LAT,30-34,01:07:48
2024 London,HYROX PRO - Overall,Men,46,6,"Barreto, Nuno",POR,40-44,01:07:52
2024 London,HYROX PRO - Overall,Men,47,15,"James, Bradley",GBR,30-34,01:07:55
2024 London,HYROX PRO - Overall,Men,48,16,"Dunsmore, Gregg",GBR,30-34,01:07:55
2024 London,HYROX PRO - Overall,Men,49,7,"Barker, Dan",GBR,40-44,01:08:02
2024 London,HYROX PRO - Overall,Men,50,17,"Macvicar, Will",GBR,30-34,01:08:03
2024 London,HYROX PRO - Overall,Men,51,3,"Miller, Liam",GBR,16-24,01:08:04
2024 London,HYROX PRO - Overall,Men,52,17,"Gilboy, James",GBR,25-29,01:08:10
2024 London,HYROX PRO - Overall,Men,53,18,"Verden, Jamie",GBR,30-34,01:08:13
2024 London,HYROX PRO - Overall,Men,54,4,"Pateman, Oliver",AUS,16-24,01:08:19
2024 London,HYROX PRO - Overall,Men,55,19,"Strevett, Ethan",GBR,30-34,01:08:36
2024 London,HYROX PRO - Overall,Men,56,8,"Ailam, Farid",FRA,40-44,01:08:45
2024 London,HYROX PRO - Overall,Men,57,9,"Boland, John",GBR,35-39,01:08:48
2024 London,HYROX PRO - Overall,Men,58,20,"Westpfel, George",GBR,30-34,01:08:59
2024 London,HYROX PRO - Overall,Men,59,18,"Rouse, Laurence",GBR,25-29,01:09:05
2024 London,HYROX PRO - Overall,Men,60,19,"De Pretto, Meryll",FRA,25-29,01:09:07
2024 London,HYROX PRO - Overall,Men,61,9,"Thomason, Sam",GBR,40-44,01:09:17
2024 London,HYROX PRO - Overall,Men,62,20,"Hall, Ethan",GBR,25-29,01:09:17
2024 London,HYROX PRO - Overall,Men,63,10,"Bieling, Gordon",GER,35-39,01:09:18
2024 London,HYROX PRO - Overall,Men,64,10,"Dalglish, Lucas",GBR,40-44,01:09:19
2024 London,HYROX PRO - Overall,Men,65,21,"Brown, Harry",GBR,25-29,01:09:37
2024 London,HYROX PRO - Overall,Men,66,22,"Casap, Vladimir",MDA,25-29,01:09:46
2024 London,HYROX PRO - Overall,Men,67,21,"Hudson, Grant",GBR,30-34,01:09:51
2024 London,HYROX PRO - Overall,Men,68,23,"Li, Callum",GBR,25-29,01:09:52
2024 London,HYROX PRO - Overall,Men,69,24,"Francis, Imani",GBR,25-29,01:09:53
2024 London,HYROX PRO - Overall,Men,70,22,"Parkinson, Joe",JEY,30-34,01:09:54
2024 London,HYROX PRO - Overall,Men,71,23,"Cook, Josh",GBR,30-34,01:10:03
2024 London,HYROX PRO - Overall,Men,72,1,"Price, Steven",GBR,50-54,01:10:05
2024 London,HYROX PRO - Overall,Men,73,25,"Upton, Calum",GBR,25-29,01:10:12
2024 London,HYROX PRO - Overall,Men,74,11,"Clementson, Edward",GBR,35-39,01:10:12
2024 London,HYROX PRO - Overall,Men,75,12,"Holmes, Aaron",GBR,35-39,01:10:17
2024 London,HYROX PRO - Overall,Men,76,26,"Wilson, Bailey",GBR,25-29,01:10:34
2024 London,HYROX PRO - Overall,Men,77,11,"Van Heerden, Carl",RSA,40-44,01:10:37
2024 London,HYROX PRO - Overall,Men,78,27,"Stevens, Harrison",GBR,25-29,01:10:38
2024 London,HYROX PRO - Overall,Men,79,24,"Haworth, Samuel",GBR,30-34,01:10:43
2024 London,HYROX PRO - Overall,Men,80,25,"Smith, Bradley",GBR,30-34,01:10:43
2024 London,HYROX PRO - Overall,Men,81,13,"Garside, Mike",GBR,35-39,01:10:48
2024 London,HYROX PRO - Overall,Men,82,5,"Eustance, Isaac",GBR,16-24,01:10:54
2024 London,HYROX PRO - Overall,Men,83,14,"Bryett, Aaron",GBR,35-39,01:10:56
2024 London,HYROX PRO - Overall,Men,84,6,"Simmutch, George",GBR,16-24,01:10:59
2024 London,HYROX PRO - Overall,Men,85,12,"Eastham, Tom",GBR,40-44,01:11:17
2024 London,HYROX PRO - Overall,Men,86,13,"Downing, James",GBR,40-44,01:11:18
2024 London,HYROX PRO - Overall,Men,87,28,"Sablinskas, Erlandas",LTU,25-29,01:11:45
2024 London,HYROX PRO - Overall,Men,88,26,"Mansour, Omar",GBR,30-34,01:11:47
2024 London,HYROX PRO - Overall,Men,89,27,"Mitchell, George",GBR,30-34,01:11:54
2024 London,HYROX PRO - Overall,Men,90,28,"May, Patrick",GBR,30-34,01:12:19
2024 London,HYROX PRO - Overall,Men,91,29,"Oates, James",GBR,30-34,01:12:22
2024 London,HYROX PRO - Overall,Men,92,15,"Mariottini, Pierre",FRA,35-39,01:12:41
2024 London,HYROX PRO - Overall,Men,93,16,"Plumb, Iain",GBR,35-39,01:12:46
2024 London,HYROX PRO - Overall,Men,94,29,"Ficau, Lucian",GBR,25-29,01:12:52
2024 London,HYROX PRO - Overall,Men,95,30,"Dollah, James",ENG,30-34,01:13:15
2024 London,HYROX PRO - Overall,Men,96,30,"Crawley, Ben",GBR,25-29,01:13:21
2024 London,HYROX PRO - Overall,Men,97,17,"West, Jordon",GBR,35-39,01:13:22
2024 London,HYROX PRO - Overall,Men,98,31,"Foyle, Tom",GBR,25-29,01:13:22
2024 London,HYROX PRO - Overall,Men,99,31,"Burnett, Andy",GBR,30-34,01:13:23
2024 London,HYROX PRO - Overall,Men,100,32,"James, Danny",GBR,30-34,01:13:25
2024 London,HYROX PRO - Overall,Men,101,18,"Swanepoel, Kevin",RSA,35-39,01:13:28
2024 London,HYROX PRO - Overall,Men,102,2,"Bailey, Jason",GBR,50-54,01:13:29
2024 London,HYROX PRO - Overall,Men,103,33,"Suazo Javien, Dean",ESP,30-34,01:13:31
2024 London,HYROX PRO - Overall,Men,104,34,"Pooley, Ben",GBR,30-34,01:13:32
2024 London,HYROX PRO - Overall,Men,105,32,"Crease, Jonny",GBR,25-29,01:13:32
2024 London,HYROX PRO - Overall,Men,106,35,"Mcgarry, Scott",GBR,30-34,01:13:34
2024 London,HYROX PRO - Overall,Men,107,33,"Digby, Thomas",GBR,25-29,01:13:40
2024 London,HYROX PRO - Overall,Men,108,34,"Omolokun, Kesi",GBR,25-29,01:13:54
2024 London,HYROX PRO - Overall,Men,109,3,"Scott, Alex",GBR,50-54,01:14:06
2024 London,HYROX PRO - Overall,Men,110,19,"Merchant, Sean",GBR,35-39,01:14:06
2024 London,HYROX PRO - Overall,Men,111,36,"Dabell, James",GBR,30-34,01:14:22
2024 London,HYROX PRO - Overall,Men,112,37,"Ellis, Harry",GBR,30-34,01:14:31
2024 London,HYROX PRO - Overall,Men,113,14,"Lewis, Daniel",GBR,40-44,01:14:34
2024 London,HYROX PRO - Overall,Men,114,20,"De Vita, Donato",GBR,35-39,01:14:38
2024 London,HYROX PRO - Overall,Men,115,1,"Oliver, Neale",GBR,45-49,01:14:40
2024 London,HYROX PRO - Overall,Men,116,38,"Watson, Jake",GBR,30-34,01:14:42
2024 London,HYROX PRO - Overall,Men,117,7,"Regan, Eoin",IRL,16-24,01:14:47
2024 London,HYROX PRO - Overall,Men,118,35,"Elliott, Mason",GBR,25-29,01:15:09
2024 London,HYROX PRO - Overall,Men,119,21,"Williams, Thomas",GBR,35-39,01:15:15
2024 London,HYROX PRO - Overall,Men,120,39,"Chapman, Michael",GBR,30-34,01:15:18
2024 London,HYROX PRO - Overall,Men,121,15,"Garside, Rob",GBR,40-44,01:15:18
2024 London,HYROX PRO - Overall,Men,122,36,"Conway, Brandon",GBR,25-29,01:15:26
2024 London,HYROX PRO - Overall,Men,123,16,"Harris, Robert",GBR,40-44,01:15:43
2024 London,HYROX PRO - Overall,Men,124,40,"Fitzer, Oliver",GBR,30-34,01:15:46
2024 London,HYROX PRO - Overall,Men,125,41,"Briault, Dan",GBR,30-34,01:15:49
2024 London,HYROX PRO - Overall,Men,126,42,"Brasington, Louis",GBR,30-34,01:15:57
2024 London,HYROX PRO - Overall,Men,127,22,"Langfield, Louis",GBR,35-39,01:16:03
2024 London,HYROX PRO - Overall,Men,128,17,"Cox, Adam",GGY,40-44,01:16:04
2024 London,HYROX PRO - Overall,Men,129,43,"Craine, Thomas",GBR,30-34,01:16:14
2024 London,HYROX PRO - Overall,Men,130,18,"Anderson, Jason",GBR,40-44,01:16:22
2024 London,HYROX PRO - Overall,Men,131,44,"Patel, Kunal",GBR,30-34,01:16:25
2024 London,HYROX PRO - Overall,Men,132,23,"Driver, Arron",GBR,35-39,01:16:45
2024 London,HYROX PRO - Overall,Men,133,2,"Tessarin, Andrea Riccardo",ITA,45-49,01:16:45
2024 London,HYROX PRO - Overall,Men,134,37,"Klieber, Rick",ITA,25-29,01:17:17
2024 London,HYROX PRO - Overall,Men,135,38,"Graham, Will",GBR,25-29,01:17:19
2024 London,HYROX PRO - Overall,Men,136,45,"Wheddon, Lewis",GBR,30-34,01:17:26
2024 London,HYROX PRO - Overall,Men,137,8,"Gilbert, Ethan",GBR,16-24,01:17:30
2024 London,HYROX PRO - Overall,Men,138,46,"Evans, Joe",GBR,30-34,01:17:31
2024 London,HYROX PRO - Overall,Men,139,19,"Bernhardt, Nils",GBR,40-44,01:17:35
2024 London,HYROX PRO - Overall,Men,140,39,"Archer, Harry",GBR,25-29,01:17:51
2024 London,HYROX PRO - Overall,Men,141,40,"Davies, Luke",GBR,25-29,01:17:54
2024 London,HYROX PRO - Overall,Men,142,24,"Neocleous, Demos",GBR,35-39,01:18:16
2024 London,HYROX PRO - Overall,Men,143,3,"Moorhead, Ross",IRL,45-49,01:18:22
2024 London,HYROX PRO - Overall,Men,144,41,"Wiseman, Matt",RSA,25-29,01:18:24
2024 London,HYROX PRO - Overall,Men,145,20,"Laird, Jamie",GBR,40-44,01:18:31
2024 London,HYROX PRO - Overall,Men,146,47,"Gemmell, Mark",GBR,30-34,01:18:57
2024 London,HYROX PRO - Overall,Men,147,48,"Scarfield, Ben",GBR,30-34,01:19:01
2024 London,HYROX PRO - Overall,Men,148,9,"Owen, Sam",GBR,16-24,01:19:02
2024 London,HYROX PRO - Overall,Men,149,4,"Larkin, Corydon",GBR,45-49,01:19:07
2024 London,HYROX PRO - Overall,Men,150,25,"Sines, Jake",GBR,35-39,01:19:11
2024 London,HYROX PRO - Overall,Men,151,1,"Fricker, Mark",GBR,55-59,01:19:23
2024 London,HYROX PRO - Overall,Men,152,10,"Sodje, Alexander",GBR,16-24,01:19:24
2024 London,HYROX PRO - Overall,Men,153,21,"Bateman, Marcus",BER,40-44,01:19:26
2024 London,HYROX PRO - Overall,Men,154,4,"Blowes, Ben",GBR,50-54,01:19:26
2024 London,HYROX PRO - Overall,Men,155,5,"Flynn, Tim",GBR,45-49,01:19:45
2024 London,HYROX PRO - Overall,Men,156,5,"Cook, Henry",GBR,50-54,01:20:00
2024 London,HYROX PRO - Overall,Men,157,49,"Theisinger, Jacob",GBR,30-34,01:20:21
2024 London,HYROX PRO - Overall,Men,158,42,"Richardson, Dean",GBR,25-29,01:20:22
2024 London,HYROX PRO - Overall,Men,159,50,"Jowett, Chris",GBR,30-34,01:20:24
2024 London,HYROX PRO - Overall,Men,160,43,"Pettit, Matthew",GBR,25-29,01:20:25
2024 London,HYROX PRO - Overall,Men,161,26,"Dick, Jason",GBR,35-39,01:20:29
2024 London,HYROX PRO - Overall,Men,162,51,"Ennis, Declan",GBR,30-34,01:20:32
