Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 London,HYROX PRO DOUBLES - Overall,Men,1,1,"Sam Craig, Jake Williamson",,MU29,00:52:26
2024 London,HYROX PRO DOUBLES - Overall,Men,2,2,"Luke Ennis, Graham Halliday",,MU29,00:53:26
2024 London,HYROX PRO DOUBLES - Overall,Men,3,1,"Michael Murray, Joshua Rose",,30-34,00:54:39
2024 London,HYROX PRO DOUBLES - Overall,Men,4,2,"Dan Jackson, Max Pointon",,30-34,00:54:41
2024 London,HYROX PRO DOUBLES - Overall,Men,5,3,"Lewis Tanner, Aaron Docherty",,30-34,00:54:47
2024 London,HYROX PRO DOUBLES - Overall,Men,6,4,"Christopher De Souza, Matthew Green",,30-34,00:54:58
2024 London,HYROX PRO DOUBLES - Overall,Men,7,5,"Jordan Bryant, Ben Walker",,30-34,00:55:23
2024 London,HYROX PRO DOUBLES - Overall,Men,8,3,"George Kimberley, Jordan Bulpitt",,MU29,00:55:54
2024 London,HYROX PRO DOUBLES - Overall,Men,9,4,"Harry Sutherland, Oskar Kolk",,MU29,00:56:12
2024 London,HYROX PRO DOUBLES - Overall,Men,10,6,"Charlie Hendrie, Lawrence Brown",,30-34,00:56:34
2024 London,HYROX PRO DOUBLES - Overall,Men,11,5,"Jamie George, Duncan Russell",,MU29,00:56:50
2024 London,HYROX PRO DOUBLES - Overall,Men,12,1,"Paul Prothero, Tristam Murdoch",,40-44,00:57:05
2024 London,HYROX PRO DOUBLES - Overall,Men,13,7,"Xavier Schurtz, James Taylor-Medhurst",,30-34,00:57:07
2024 London,HYROX PRO DOUBLES - Overall,Men,14,8,"Ben Nockolds, Jake Pye",,30-34,00:57:13
2024 London,HYROX PRO DOUBLES - Overall,Men,15,6,"Jonathan Reaney, Fenton Hancock",,MU29,00:57:21
2024 London,HYROX PRO DOUBLES - Overall,Men,16,7,"Jake Seymour, Joseph Davies",,MU29,00:57:36
2024 London,HYROX PRO DOUBLES - Overall,Men,17,9,"Stephane Margot, Ryan Hogan",,30-34,00:57:43
2024 London,HYROX PRO DOUBLES - Overall,Men,18,10,"Morgan Penfold, Michael Channing-Phillips",,30-34,00:57:48
2024 London,HYROX PRO DOUBLES - Overall,Men,19,11,"Michael Saunders, Matt Bateson",,30-34,00:58:09
2024 London,HYROX PRO DOUBLES - Overall,Men,20,12,"Ezra Warren, Callum Stoddart",,30-34,00:58:55
2024 London,HYROX PRO DOUBLES - Overall,Men,21,8,"Conran Reynolds, Lewis Clare",,MU29,00:59:10
2024 London,HYROX PRO DOUBLES - Overall,Men,22,13,"Mark Ingham, Max Ansell-Wood",,30-34,00:59:48
2024 London,HYROX PRO DOUBLES - Overall,Men,23,14,"Martin Conlon, Paul Beattie",,30-34,00:59:54
2024 London,HYROX PRO DOUBLES - Overall,Men,24,15,"Carl Harrold, Craig Mcintosh",,30-34,01:00:12
2024 London,HYROX PRO DOUBLES - Overall,Men,25,16,"Sam Osborne, Bill Osborne",,30-34,01:00:33
2024 London,HYROX PRO DOUBLES - Overall,Men,26,17,"Lee Mclaughlin, Karan Davatwal",,30-34,01:00:36
2024 London,HYROX PRO DOUBLES - Overall,Men,27,9,"Sam Smith, Sam Wright",,MU29,01:00:45
2024 London,HYROX PRO DOUBLES - Overall,Men,28,18,"Charlie Bell, Robert Woods",,30-34,01:00:47
2024 London,HYROX PRO DOUBLES - Overall,Men,29,19,"Adam Darbyshire, Jordan Gee",,30-34,01:00:48
2024 London,HYROX PRO DOUBLES - Overall,Men,30,20,"Jack Cripps, Patrick James",,30-34,01:00:50
2024 London,HYROX PRO DOUBLES - Overall,Men,31,21,"Brandon Mcguinness, Alan Strachan",,30-34,01:00:52
2024 London,HYROX PRO DOUBLES - Overall,Men,32,22,"Kirk Grewar, Andrew Crawford",,30-34,01:00:58
2024 London,HYROX PRO DOUBLES - Overall,Men,33,23,"Mark Todd, Mikey Tranent",,30-34,01:01:06
2024 London,HYROX PRO DOUBLES - Overall,Men,34,2,"David Sloan, Gary Ackerley",,40-44,01:01:06
