Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Manchester,HYROX PRO,Men,1,1,"Bianchi, Eugenio",ITA,35-39,00:59:21
2024 Manchester,HYROX PRO,Men,2,1,"Carlisle, John",SCO,25-29,00:59:58
2024 Manchester,HYROX PRO,Men,3,1,"Pratt, Jamie",ENG,30-34,01:01:07
2024 Manchester,HYROX PRO,Men,4,2,"alici, turker",DEN,30-34,01:01:47
2024 Manchester,HYROX PRO,Men,5,3,"Dean, Marc",GBR,30-34,01:01:48
2024 Manchester,HYROX PRO,Men,6,4,"Mcmeeken, Niall",GBR,30-34,01:01:55
2024 Manchester,HYROX PRO,Men,7,1,"Reynolds, Jude",GBR,16-24,01:02:48
2024 Manchester,HYROX PRO,Men,8,2,"Sutherland, Harry",GBR,25-29,01:03:22
2024 Manchester,HYROX PRO,Men,9,2,"Hogan, Ryan",GBR,35-39,01:03:32
2024 Manchester,HYROX PRO,Men,10,3,"Spilman, Ben",GBR,35-39,01:03:58
2024 Manchester,HYROX PRO,Men,11,5,"Smith, Beau",GBR,30-34,01:03:59
2024 Manchester,HYROX PRO,Men,12,3,"Smith, Trent",RSA,25-29,01:04:10
2024 Manchester,HYROX PRO,Men,13,1,"Hendrie, Charlie",GBR,40-44,01:04:16
2024 Manchester,HYROX PRO,Men,14,4,"Mcguire, Mark",GBR,25-29,01:05:20
2024 Manchester,HYROX PRO,Men,15,6,"Matuzevics, Ricards",LAT,30-34,01:06:18
2024 Manchester,HYROX PRO,Men,16,5,"Pascutoi, Stefan",ROU,25-29,01:06:37
2024 Manchester,HYROX PRO,Men,17,7,"Mccarthy, Luke",GBR,30-34,01:06:38
2024 Manchester,HYROX PRO,Men,18,2,"Washington, Joe",GBR,40-44,01:06:57
2024 Manchester,HYROX PRO,Men,19,8,"Rogers, Aaron",GBR,30-34,01:07:20
2024 Manchester,HYROX PRO,Men,20,3,"Hyde, Jamie",GBR,40-44,01:07:49
2024 Manchester,HYROX PRO,Men,21,9,"Parkinson, Joe",JEY,30-34,01:07:58
2024 Manchester,HYROX PRO,Men,22,4,"Mcinally, Steven",GBR,35-39,01:08:16
2024 Manchester,HYROX PRO,Men,23,10,"Hudson, Grant",GBR,30-34,01:08:50
2024 Manchester,HYROX PRO,Men,24,4,"Barreto, Nuno",POR,40-44,01:09:08
2024 Manchester,HYROX PRO,Men,25,6,"Scott, Liam",GBR,25-29,01:09:15
2024 Manchester,HYROX PRO,Men,26,2,"Jarvis, Chris",GBR,16-24,01:09:36
2024 Manchester,HYROX PRO,Men,27,11,"Merkt, Raphael",GER,30-34,01:09:39
2024 Manchester,HYROX PRO,Men,28,12,"Rawlings, Josh",GBR,30-34,01:09:40
2024 Manchester,HYROX PRO,Men,29,1,"Towler, Simon",GBR,45-49,01:10:20
2024 Manchester,HYROX PRO,Men,30,13,"Lowe, Ryan",GBR,30-34,01:10:22
2024 Manchester,HYROX PRO,Men,31,2,"Campbell, Ian",GBR,45-49,01:10:24
2024 Manchester,HYROX PRO,Men,32,7,"Sebastiano, Daniel",GBR,25-29,01:10:25
2024 Manchester,HYROX PRO,Men,33,5,"Thomason, Sam",GBR,40-44,01:10:27
2024 Manchester,HYROX PRO,Men,34,14,"Moorhouse, William",GBR,30-34,01:10:42
2024 Manchester,HYROX PRO,Men,35,15,"Quinn, Ciaran",IRL,30-34,01:10:44
2024 Manchester,HYROX PRO,Men,36,6,"Heron, Chris",GBR,40-44,01:10:45
2024 Manchester,HYROX PRO,Men,37,16,"Pierce, Kane",AUS,30-34,01:10:55
2024 Manchester,HYROX PRO,Men,38,3,"Smith, Thomas",GBR,16-24,01:10:57
2024 Manchester,HYROX PRO,Men,39,5,"Pope, Matthew",GBR,35-39,01:11:20
2024 Manchester,HYROX PRO,Men,40,8,"Keeling, Jack",GBR,25-29,01:11:29
2024 Manchester,HYROX PRO,Men,41,9,"Johnstone, Jack",GBR,25-29,01:11:51
2024 Manchester,HYROX PRO,Men,42,17,"Allon-Smith, Ben",GBR,30-34,01:11:53
2024 Manchester,HYROX PRO,Men,43,10,"Aryeetey, David",GBR,25-29,01:12:04
2024 Manchester,HYROX PRO,Men,44,11,"King, Lukos",GBR,25-29,01:12:14
2024 Manchester,HYROX PRO,Men,45,18,"Thompson, Jordan",GBR,30-34,01:12:27
2024 Manchester,HYROX PRO,Men,46,19,"Stell, Thomas",GBR,30-34,01:12:28
2024 Manchester,HYROX PRO,Men,47,6,"Mann, Chris",GBR,35-39,01:12:30
2024 Manchester,HYROX PRO,Men,48,20,"Stanhope, James",GBR,30-34,01:12:33
2024 Manchester,HYROX PRO,Men,49,12,"Atkinson, Will",GBR,25-29,01:12:35
2024 Manchester,HYROX PRO,Men,50,13,"Harper, Sam",GBR,25-29,01:12:37
2024 Manchester,HYROX PRO,Men,51,21,"Greswold, Charlie",GBR,30-34,01:12:42
