Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Marseille,HYROX PRO,Men,1,1,"Ploj, Alen",SLO,30-34,00:58:24
2024 Marseille,HYROX PRO,Men,2,1,"Voisin, Joffrey",FRA,40-44,00:59:38
2024 Marseille,HYROX PRO,Men,3,2,"Salama, Jose",ESP,30-34,01:00:51
2024 Marseille,HYROX PRO,Men,4,1,"Parisy, Aurélien",FRA,35-39,01:01:13
2024 Marseille,HYROX PRO,Men,5,1,"Pacewicz, Jocelyn",FRA,16-24,01:01:17
2024 Marseille,HYROX PRO,Men,6,2,"Arnaud, Jerome",FRA,35-39,01:02:10
2024 Marseille,HYROX PRO,Men,7,3,"Stephens, Michael",GBR,30-34,01:02:26
2024 Marseille,HYROX PRO,Men,8,3,"Khampasath, Cédric",FRA,35-39,01:02:33
2024 Marseille,HYROX PRO,Men,9,4,"Maizzou, Achraf",FRA,35-39,01:03:03
2024 Marseille,HYROX PRO,Men,10,5,"Spreafico, Giuseppe",ITA,35-39,01:03:25
2024 Marseille,HYROX PRO,Men,11,6,"Pinau, Steve",FRA,35-39,01:03:55
2024 Marseille,HYROX PRO,Men,12,7,"Pavis, Louis",FRA,35-39,01:04:18
2024 Marseille,HYROX PRO,Men,13,8,"Gigord, Yohann",FRA,35-39,01:05:07
2024 Marseille,HYROX PRO,Men,14,1,"Regis, Corentin",FRA,25-29,01:05:10
2024 Marseille,HYROX PRO,Men,15,2,"Garel, Quentin",FRA,25-29,01:05:18
2024 Marseille,HYROX PRO,Men,16,4,"Pires Canto, Michaël",FRA,30-34,01:05:41
2024 Marseille,HYROX PRO,Men,17,2,"Morel, Baptiste",FRA,16-24,01:05:57
2024 Marseille,HYROX PRO,Men,18,3,"Casano, Anthony",FRA,25-29,01:06:06
2024 Marseille,HYROX PRO,Men,19,5,"Darmanin, Kyle",MLT,30-34,01:06:16
2024 Marseille,HYROX PRO,Men,20,6,"Mayoute, Nicolas",FRA,30-34,01:06:27
2024 Marseille,HYROX PRO,Men,21,7,"Delattre, Thomas",FRA,30-34,01:06:58
2024 Marseille,HYROX PRO,Men,22,9,"Pocquet, Arnaud",FRA,35-39,01:07:16
2024 Marseille,HYROX PRO,Men,23,8,"Marion, Clovis",FRA,30-34,01:07:46
2024 Marseille,HYROX PRO,Men,24,4,"Terre, Zachary",FRA,25-29,01:07:59
2024 Marseille,HYROX PRO,Men,25,5,"Santer, Willy",FRA,25-29,01:07:59
2024 Marseille,HYROX PRO,Men,26,9,"Abdoun, Aniss",FRA,30-34,01:08:00
2024 Marseille,HYROX PRO,Men,27,10,"Taleb, Fateh Nabil",FRA,35-39,01:08:04
2024 Marseille,HYROX PRO,Men,28,1,"Barreaud, Sébastien",FRA,45-49,01:08:11
2024 Marseille,HYROX PRO,Men,29,11,"Salaün, Mathieu",FRA,35-39,01:08:17
2024 Marseille,HYROX PRO,Men,30,10,"Roberto, Lucas",FRA,30-34,01:08:22
2024 Marseille,HYROX PRO,Men,31,3,"Millau, Elouan",FRA,16-24,01:08:43
2024 Marseille,HYROX PRO,Men,32,11,"Ruiz, Pierre",FRA,30-34,01:08:47
2024 Marseille,HYROX PRO,Men,33,6,"Veyrat, Julien",FRA,25-29,01:08:49
2024 Marseille,HYROX PRO,Men,34,12,"Walker, Scott",GBR,35-39,01:08:52
2024 Marseille,HYROX PRO,Men,35,12,"Vessot, Thibaut",FRA,30-34,01:08:53
2024 Marseille,HYROX PRO,Men,36,2,"Macherey, Nicolas",FRA,40-44,01:08:54
2024 Marseille,HYROX PRO,Men,37,4,"Owles, Travis",GBR,16-24,01:08:56
2024 Marseille,HYROX PRO,Men,38,13,"Bruneau, Jean-Christophe",FRA,30-34,01:09:08
2024 Marseille,HYROX PRO,Men,39,13,"Dalban Moreynas, Clovis",FRA,35-39,01:09:35
2024 Marseille,HYROX PRO,Men,40,14,"Challancin, Tristan",FRA,30-34,01:09:35
2024 Marseille,HYROX PRO,Men,41,7,"Martin, Ignacio",ESP,25-29,01:09:41
2024 Marseille,HYROX PRO,Men,42,15,"Carle, Baptiste",FRA,30-34,01:09:51
2024 Marseille,HYROX PRO,Men,43,14,"Chappaz, Gaëtan",FRA,35-39,01:09:51
2024 Marseille,HYROX PRO,Men,44,5,"Wisdom, Brady",USA,16-24,01:10:15
2024 Marseille,HYROX PRO,Men,45,16,"Fenoll, Adrien",FRA,30-34,01:10:16
2024 Marseille,HYROX PRO,Men,46,8,"Rocco, Gianluca",ITA,25-29,01:10:28
2024 Marseille,HYROX PRO,Men,47,6,"Cannarozzo, Alex",FRA,16-24,01:10:33
2024 Marseille,HYROX PRO,Men,48,17,"Roth, Anthony",FRA,30-34,01:10:56
2024 Marseille,HYROX PRO,Men,49,9,"Charlotteaux, Alexis",FRA,25-29,01:11:00
2024 Marseille,HYROX PRO,Men,50,18,"Roux, Pierre",FRA,30-34,01:11:21
2024 Marseille,HYROX PRO,Men,51,19,"Baillard, Jeremy",FRA,30-34,01:11:35
2024 Marseille,HYROX PRO,Men,52,20,"Defontaine, Alexandre",FRA,30-34,01:11:46
2024 Marseille,HYROX PRO,Men,53,2,"Kubiak, Ludovic",FRA,45-49,01:11:46
2024 Marseille,HYROX PRO,Men,54,10,"Gruson, Dylan",FRA,25-29,01:12:11
2024 Marseille,HYROX PRO,Men,55,11,"Gagelin, Amaury",FRA,25-29,01:12:24
2024 Marseille,HYROX PRO,Men,56,21,"De Carvalhaès, Kévin",FRA,30-34,01:12:24
2024 Marseille,HYROX PRO,Men,57,3,"Giordani, Mirko",ITA,45-49,01:12:25
2024 Marseille,HYROX PRO,Men,58,15,"Mulot, Damien",FRA,35-39,01:12:29
2024 Marseille,HYROX PRO,Men,59,12,"Ayzac, Théophil",FRA,25-29,01:12:31
2024 Marseille,HYROX PRO,Men,60,4,"Pierluigi, Benjamin",FRA,45-49,01:12:53
2024 Marseille,HYROX PRO,Men,61,22,"Tibor, François Xavier",FRA,30-34,01:13:13
2024 Marseille,HYROX PRO,Men,62,3,"Renaire, Nicolas",FRA,40-44,01:13:14
2024 Marseille,HYROX PRO,Men,63,16,"Buclin, Vincent",SUI,35-39,01:13:22
2024 Marseille,HYROX PRO,Men,64,5,"Delhaye, Jp",FRA,45-49,01:13:30
2024 Marseille,HYROX PRO,Men,65,13,"Baranger, Johan",FRA,25-29,01:13:35
2024 Marseille,HYROX PRO,Men,66,17,"Guyard, Clement",FRA,35-39,01:13:46
2024 Marseille,HYROX PRO,Men,67,23,"De Mallevoue, Guillaume",FRA,30-34,01:13:53
2024 Marseille,HYROX PRO,Men,68,18,"Vasut, Guillaume",FRA,35-39,01:14:07
2024 Marseille,HYROX PRO,Men,69,24,"Colmant, Martin",BEL,30-34,01:14:14
2024 Marseille,HYROX PRO,Men,70,19,"Moreau, Henry",FRA,35-39,01:14:22
2024 Marseille,HYROX PRO,Men,71,25,"Rey, Jean-François",FRA,30-34,01:14:22
2024 Marseille,HYROX PRO,Men,72,14,"Viyer, Clement",FRA,25-29,01:14:35
2024 Marseille,HYROX PRO,Men,73,20,"Lemaire, Amaury",FRA,35-39,01:14:37
2024 Marseille,HYROX PRO,Men,74,21,"Laviron, Thomas",FRA,35-39,01:14:42
2024 Marseille,HYROX PRO,Men,75,4,"Paluch, Eddy",FRA,40-44,01:14:45
2024 Marseille,HYROX PRO,Men,76,15,"Tallent, Valentin",FRA,25-29,01:14:53
2024 Marseille,HYROX PRO,Men,77,26,"Jean-Marie-Marie-Magdeleine, Slohan",FRA,30-34,01:15:18
2024 Marseille,HYROX PRO,Men,78,22,"Benchia, Chrif",FRA,35-39,01:15:19
2024 Marseille,HYROX PRO,Men,79,27,"Yoan, Perez",FRA,30-34,01:15:28
2024 Marseille,HYROX PRO,Men,80,6,"Crnković, Sanjin",CRO,45-49,01:15:33
2024 Marseille,HYROX PRO,Men,81,16,"Bastie, Nicolas",FRA,25-29,01:15:37
2024 Marseille,HYROX PRO,Men,82,28,"Morel, Tristan",FRA,30-34,01:15:48
2024 Marseille,HYROX PRO,Men,83,7,"Toulousan, Baptiste",FRA,16-24,01:15:49
2024 Marseille,HYROX PRO,Men,84,29,"Grincourt, Romain",FRA,30-34,01:15:50
2024 Marseille,HYROX PRO,Men,85,5,"Soares, Alexis",FRA,40-44,01:16:07
2024 Marseille,HYROX PRO,Men,86,23,"Marty, Damien",FRA,35-39,01:16:12
2024 Marseille,HYROX PRO,Men,87,17,"Steyer, Matthieu",FRA,25-29,01:16:18
2024 Marseille,HYROX PRO,Men,88,1,"Tielie, David",FRA,50-54,01:16:23
2024 Marseille,HYROX PRO,Men,89,30,"Degrolard, Maxance",SUI,30-34,01:16:37
2024 Marseille,HYROX PRO,Men,90,31,"Le Moing, Tristan",FRA,30-34,01:16:39
2024 Marseille,HYROX PRO,Men,91,24,"Bianchi, Kevin",FRA,35-39,01:16:50
2024 Marseille,HYROX PRO,Men,92,18,"Croibier-Muscat, Damien",FRA,25-29,01:16:59
2024 Marseille,HYROX PRO,Men,93,6,"Lescure, Yoann",FRA,40-44,01:17:14
2024 Marseille,HYROX PRO,Men,94,1,"Rojo, Christophe",FRA,55-59,01:17:23
2024 Marseille,HYROX PRO,Men,95,19,"Renaud, Valentin",FRA,25-29,01:17:23
2024 Marseille,HYROX PRO,Men,96,32,"Laidi, Walid",ALG,30-34,01:17:27
2024 Marseille,HYROX PRO,Men,97,33,"Desjours, Julien",FRA,30-34,01:17:29
2024 Marseille,HYROX PRO,Men,98,34,"Foissard, Jonathan",FRA,30-34,01:17:37
2024 Marseille,HYROX PRO,Men,99,20,"Kormos, Luis",FRA,25-29,01:17:42
2024 Marseille,HYROX PRO,Men,100,35,"Fleuriet, Baptiste",FRA,30-34,01:17:46
2024 Marseille,HYROX PRO,Men,101,21,"Zappa, Fabien",FRA,25-29,01:17:58
