Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Melbourne,HYROX PRO,Men,1,1,"Buchanan, Dexter",NZL,30-34,00:58:53
2024 Melbourne,HYROX PRO,Men,2,2,"Day, Peter",AUS,30-34,01:01:17
2024 Melbourne,HYROX PRO,Men,3,1,"Shepherd, Sam",AUS,25-29,01:01:18
2024 Melbourne,HYROX PRO,Men,4,3,"Cummins, Scott",AUS,30-34,01:01:45
2024 Melbourne,HYROX PRO,Men,5,1,"Lewis, Greg",AUS,35-39,01:02:37
2024 Melbourne,HYROX PRO,Men,6,4,"Brotherton, Luke",AUS,30-34,01:02:47
2024 Melbourne,HYROX PRO,Men,7,2,"Di Paolo, Anth",AUS,25-29,01:03:05
2024 Melbourne,HYROX PRO,Men,8,3,"Lovelock, Mitch",AUS,25-29,01:03:26
2024 Melbourne,HYROX PRO,Men,9,1,"Tucek, Bay",AUS,16-24,01:03:29
2024 Melbourne,HYROX PRO,Men,10,5,"Corrin, Dan",NZL,30-34,01:03:44
2024 Melbourne,HYROX PRO,Men,11,2,"Venail, Bertrand",FRA,35-39,01:03:58
2024 Melbourne,HYROX PRO,Men,12,2,"Turner, Kieran",AUS,16-24,01:04:36
2024 Melbourne,HYROX PRO,Men,13,4,"Moore, Ollie",GBR,25-29,01:04:44
2024 Melbourne,HYROX PRO,Men,14,6,"Harrison, Neil",IRL,30-34,01:04:52
2024 Melbourne,HYROX PRO,Men,15,7,"Jenkins, Ryan",AUS,30-34,01:04:57
2024 Melbourne,HYROX PRO,Men,16,3,"Yewers, Kyle",AUS,16-24,01:05:13
2024 Melbourne,HYROX PRO,Men,17,5,"Casey, Corey",AUS,25-29,01:05:16
2024 Melbourne,HYROX PRO,Men,18,4,"Svikulis, Kyle",AUS,16-24,01:05:39
2024 Melbourne,HYROX PRO,Men,19,3,"Baigent, Kane",NZL,35-39,01:06:08
2024 Melbourne,HYROX PRO,Men,20,8,"Church, Jamie",AUS,30-34,01:06:14
2024 Melbourne,HYROX PRO,Men,21,6,"Nazari, Abbas",NZL,25-29,01:06:14
2024 Melbourne,HYROX PRO,Men,22,7,"Barratt, Dan",GBR,25-29,01:07:05
2024 Melbourne,HYROX PRO,Men,23,5,"Schneebeli, Ryan",NZL,16-24,01:07:15
2024 Melbourne,HYROX PRO,Men,24,9,"Schilling, Billy",AUS,30-34,01:07:18
