Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Milan,HYROX PRO DOUBLES,Men,1,1,"Florian Reynet, Nicolas Reynet",,30-34,00:57:25
2024 Milan,HYROX PRO DOUBLES,Men,2,2,"Nicolas Paquay, Julien Boistaud",,30-34,00:58:46
2024 Milan,HYROX PRO DOUBLES,Men,3,3,"Loris Schina, Simone Barbiere",,30-34,00:59:08
2024 Milan,HYROX PRO DOUBLES,Men,4,4,"Terry Ryan, Jahrone Mcintosh",,30-34,00:59:24
2024 Milan,HYROX PRO DOUBLES,Men,5,1,"Gasper Valant, Dominik Fecher",,40-44,00:59:42
2024 Milan,HYROX PRO DOUBLES,Men,6,5,"Alessandro Iacobucci, Luca Giuseppe Cavicchiolo",,30-34,01:01:01
2024 Milan,HYROX PRO DOUBLES,Men,7,6,"Martin England, Kieran Ramsey",,30-34,01:01:32
2024 Milan,HYROX PRO DOUBLES,Men,8,2,"Corydon Larkin, Nicholas Cowling",,40-44,01:01:34
2024 Milan,HYROX PRO DOUBLES,Men,9,3,"Nico Lojowski, Sebastien Barreaud",,40-44,01:01:36
2024 Milan,HYROX PRO DOUBLES,Men,10,7,"Daniel Sebastiano, Daniele Asietti",,30-34,01:02:02
2024 Milan,HYROX PRO DOUBLES,Men,11,1,"Gareth Maguire, Dean Wilson",,MU29,01:02:37
2024 Milan,HYROX PRO DOUBLES,Men,12,8,"Cristiano Rizzi, Matteo Calzavara",,30-34,01:03:19
2024 Milan,HYROX PRO DOUBLES,Men,13,9,"Alberto Medea, Michele Zanirato",,30-34,01:04:50
2024 Milan,HYROX PRO DOUBLES,Men,14,10,"Alessandro Rossi, Iacopo Baraccani",,30-34,01:05:03
2024 Milan,HYROX PRO DOUBLES,Men,15,2,"Matteo Caracciolo, Matteo Terramocci",,MU29,01:06:04
2024 Milan,HYROX PRO DOUBLES,Men,16,11,"Alessandro Rodella, Andrea Ercoli",,30-34,01:06:22
2024 Milan,HYROX PRO DOUBLES,Men,17,4,"Daniel Mills, Kev Marson",,40-44,01:06:54
2024 Milan,HYROX PRO DOUBLES,Men,18,5,"Giovanni Guidetti, Federico Canuti",,40-44,01:07:26
2024 Milan,HYROX PRO DOUBLES,Men,19,12,"Gaetano Fidanzati, Giacomo Chinea",,30-34,01:07:39
2024 Milan,HYROX PRO DOUBLES,Men,20,13,"Simone Tagliabue, Flavio Floridi",,30-34,01:07:48
2024 Milan,HYROX PRO DOUBLES,Men,21,14,"Simone Cavallieri, Matteo Saba",,30-34,01:07:49
2024 Milan,HYROX PRO DOUBLES,Men,22,15,"Alberto Pilli, Corey Squarzoni",,30-34,01:07:50
2024 Milan,HYROX PRO DOUBLES,Men,23,16,"Francis Kershaw, Wayne Lawrence",,30-34,01:08:02
2024 Milan,HYROX PRO DOUBLES,Men,24,17,"Giuseppe Casertano, Francesco Russo",,30-34,01:08:29
2024 Milan,HYROX PRO DOUBLES,Men,25,3,"Mario Sainz Pérez, Eros Alvarez Dacosta",,MU29,01:08:38
2024 Milan,HYROX PRO DOUBLES,Men,26,18,"Enrico Casula, Andrea Cimichella",,30-34,01:08:40
2024 Milan,HYROX PRO DOUBLES,Men,27,19,"Benjamin Spence, Ste Duffy",,30-34,01:08:42
2024 Milan,HYROX PRO DOUBLES,Men,28,4,"Niccolò Arecco, Andre Savino",,MU29,01:08:53
2024 Milan,HYROX PRO DOUBLES,Men,29,20,"Andrea Oggioni, Sandro Abu Ne' Meh",,30-34,01:08:55
2024 Milan,HYROX PRO DOUBLES,Men,30,5,"Gianluca Zambelli, Ruy Gonzalez",,MU29,01:08:58
2024 Milan,HYROX PRO DOUBLES,Men,31,6,"Damiano Ducoli, Sabino Mastrorilli",,40-44,01:09:06
2024 Milan,HYROX PRO DOUBLES,Men,32,21,"Emanuele Moretti, Paolo Riccardi",,30-34,01:09:38
2024 Milan,HYROX PRO DOUBLES,Men,33,6,"Dylan Caruso, Matteo Dell’Amico",,MU29,01:09:56
2024 Milan,HYROX PRO DOUBLES,Men,34,7,"Federico Scola, Alberto Bianco",,MU29,01:10:12
2024 Milan,HYROX PRO DOUBLES,Men,35,22,"Wajahat Ali, Thomas Stell",,30-34,01:10:13
2024 Milan,HYROX PRO DOUBLES,Men,36,8,"Cristiano Toso, Matteo Pippione",,MU29,01:10:14
2024 Milan,HYROX PRO DOUBLES,Men,37,9,"Matteo Vallicelli, Djibril Dieng",,MU29,01:10:22
