Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Nice,HYROX PRO DOUBLES,Men,1,1,"Alexandre Clement, Maxime Denjean",,MU29,01:01:46
2024 Nice,HYROX PRO DOUBLES,Men,2,1,"Florian Groshaeny, Fabien Funfschilling",,30-34,01:01:57
2024 Nice,HYROX PRO DOUBLES,Men,3,2,"Hubert Dumez, Jordan Lavocat",,30-34,01:02:11
2024 Nice,HYROX PRO DOUBLES,Men,4,3,"Florian Puchly, Omar Vazquez",,30-34,01:02:45
2024 Nice,HYROX PRO DOUBLES,Men,5,2,"Etienne Sabatie, Sonny Decoufle",,MU29,01:03:08
2024 Nice,HYROX PRO DOUBLES,Men,6,4,"Enriqué Dubut, Louis Thomas",,30-34,01:03:50
2024 Nice,HYROX PRO DOUBLES,Men,7,5,"Aurélien Blanchet, Thomas Fouchet",,30-34,01:04:57
2024 Nice,HYROX PRO DOUBLES,Men,8,3,"Léo Lesueur, Sébastien Aldeguer",,MU29,01:06:07
2024 Nice,HYROX PRO DOUBLES,Men,9,6,"Albert Hoeger, Tom Negre",,30-34,01:06:53
2024 Nice,HYROX PRO DOUBLES,Men,10,4,"Baptiste Fleuriet, Gabriel Caillol De Poncy",,MU29,01:07:14
2024 Nice,HYROX PRO DOUBLES,Men,11,7,"Guillaume Govaert, Baptiste Saint-Pé",,30-34,01:07:26
2024 Nice,HYROX PRO DOUBLES,Men,12,8,"Anthony Courault, Quentin Mousset",,30-34,01:07:35
2024 Nice,HYROX PRO DOUBLES,Men,13,9,"Nacim El Haouari, Jeremy Hugues",,30-34,01:08:29
2024 Nice,HYROX PRO DOUBLES,Men,14,5,"Cameron Mcnab, Blair Innes",,MU29,01:08:47
2024 Nice,HYROX PRO DOUBLES,Men,15,10,"Rami Ibrahim, Florian Luger",,30-34,01:08:57
2024 Nice,HYROX PRO DOUBLES,Men,16,1,"Renaud Martin, Julien Hernandez",,40-44,01:09:23
2024 Nice,HYROX PRO DOUBLES,Men,17,11,"Rikki Artus, Connor Little",,30-34,01:09:24
2024 Nice,HYROX PRO DOUBLES,Men,18,12,"Alex Cowan, James Drake",,30-34,01:10:54
2024 Nice,HYROX PRO DOUBLES,Men,19,13,"Rémy Perrot, Nicolas Péan",,30-34,01:11:20
2024 Nice,HYROX PRO DOUBLES,Men,20,2,"Yves Despierres, Olivier Banos",,40-44,01:11:21
2024 Nice,HYROX PRO DOUBLES,Men,21,3,"Olivier Meucci, Raphaël Meucci",,40-44,01:11:35
2024 Nice,HYROX PRO DOUBLES,Men,22,–,"Alexis Moro, Alix Lachaux",,–,01:11:50
2024 Nice,HYROX PRO DOUBLES,Men,23,14,"Jérémy Fleuret, Stephane Lopez",,30-34,01:12:01
2024 Nice,HYROX PRO DOUBLES,Men,24,15,"William Gilson, Rudy Allegrini",,30-34,01:12:05
2024 Nice,HYROX PRO DOUBLES,Men,25,16,"Alexandre Prade, Alexis Durand",,30-34,01:13:03
2024 Nice,HYROX PRO DOUBLES,Men,26,17,"Anthony Millon, Benjamin Mérigard",,30-34,01:13:04
2024 Nice,HYROX PRO DOUBLES,Men,27,6,"Benjamin Raymond, Kali Court",,MU29,01:13:20
2024 Nice,HYROX PRO DOUBLES,Men,28,18,"Adrien Gomez, Alan Peres",,30-34,01:13:28
2024 Nice,HYROX PRO DOUBLES,Men,29,7,"Sébastien Semperboni, Louis Reynaud",,MU29,01:13:43
2024 Nice,HYROX PRO DOUBLES,Men,30,19,"Geoffrey Odru, Aldric Fayolle",,30-34,01:13:48
2024 Nice,HYROX PRO DOUBLES,Men,31,20,"Jérémy Faichaud, Thomas Dupont",,30-34,01:14:49
2024 Nice,HYROX PRO DOUBLES,Men,32,4,"Jaime Riffo, Thomas Fernandez",,40-44,01:15:08
2024 Nice,HYROX PRO DOUBLES,Men,33,21,"Frédéric Dheret, Cyril Ligneau",,30-34,01:15:18
2024 Nice,HYROX PRO DOUBLES,Men,34,8,"Tristan Martin, Elouan Trottin",,MU29,01:15:40
2024 Nice,HYROX PRO DOUBLES,Men,35,9,"Tanguy Eniona, Lionel Oulaï",,MU29,01:16:04
2024 Nice,HYROX PRO DOUBLES,Men,36,22,"Quentin Thomas, Simon Cornuault",,30-34,01:16:07
2024 Nice,HYROX PRO DOUBLES,Men,37,10,"Paul Moran, Eoin Byrne",,MU29,01:16:09
