Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Paris,HYROX PRO DOUBLES,Men,1,1,"Thomas Fry, Alan Cao",,30-34,00:54:32
2024 Paris,HYROX PRO DOUBLES,Men,2,2,"Arthur Barbey, Maxime Krantz",,30-34,00:56:08
2024 Paris,HYROX PRO DOUBLES,Men,3,3,"Nicolas Mayoute, Achraf Maizzou",,30-34,00:56:45
2024 Paris,HYROX PRO DOUBLES,Men,4,4,"Clemens Scherbel, Lee Tuck",,30-34,00:57:10
2024 Paris,HYROX PRO DOUBLES,Men,5,1,"Ethan Ray, Hugo Martinez",,MU29,00:57:20
2024 Paris,HYROX PRO DOUBLES,Men,6,5,"Yannick Jankovits, Florian Reynet",,30-34,00:57:28
2024 Paris,HYROX PRO DOUBLES,Men,7,6,"Rachid Nadi, Billy Elam",,30-34,00:57:52
2024 Paris,HYROX PRO DOUBLES,Men,8,7,"Jérémy Baillard, Jonathan Raux",,30-34,00:57:55
2024 Paris,HYROX PRO DOUBLES,Men,9,8,"Daniel Pountney, Ethan Gilbert",,30-34,00:57:59
2024 Paris,HYROX PRO DOUBLES,Men,10,2,"Clément Puaud Canard, Nicolas Maffeo",,MU29,00:58:58
2024 Paris,HYROX PRO DOUBLES,Men,11,3,"Timothee Detant, Simon Guiborat",,MU29,00:58:58
2024 Paris,HYROX PRO DOUBLES,Men,12,9,"Matt Molyvdis, Fateh Nabil Taleb",,30-34,00:59:21
2024 Paris,HYROX PRO DOUBLES,Men,13,10,"Frédéric Dorez, Nicolas Mimault",,30-34,01:00:28
2024 Paris,HYROX PRO DOUBLES,Men,14,11,"Julien Miniou, Jean-Baptiste Giorgi",,30-34,01:01:11
2024 Paris,HYROX PRO DOUBLES,Men,15,12,"Louis Pavis-Flutre, Jérémy Lethuillier",,30-34,01:01:25
2024 Paris,HYROX PRO DOUBLES,Men,16,4,"Kevin Bouffort, Thomas Mouflard",,MU29,01:01:25
2024 Paris,HYROX PRO DOUBLES,Men,17,13,"Alexandre Abbas, Nhick Dampouya",,30-34,01:01:57
2024 Paris,HYROX PRO DOUBLES,Men,18,1,"João Costeira, Morten Kröger",,40-44,01:02:08
2024 Paris,HYROX PRO DOUBLES,Men,19,5,"Philippe Pérot, Louison Poirier",,MU29,01:02:24
2024 Paris,HYROX PRO DOUBLES,Men,20,14,"Manuel Casado, Rémy Bourget",,30-34,01:02:25
2024 Paris,HYROX PRO DOUBLES,Men,21,15,"Sylvain Caumontat, Stéphane Fernandez",,30-34,01:02:34
2024 Paris,HYROX PRO DOUBLES,Men,22,16,"Slohan Jean Marie Marie Magdeleine, Hervy Edouard",,30-34,01:02:35
2024 Paris,HYROX PRO DOUBLES,Men,23,17,"Kherry Oumeddour, Hitch Belaïdi",,30-34,01:02:36
2024 Paris,HYROX PRO DOUBLES,Men,24,6,"Franck Cobo, Tom Vidal",,MU29,01:02:36
2024 Paris,HYROX PRO DOUBLES,Men,25,18,"Anthony Blain, Romain Leclerc",,30-34,01:03:30
2024 Paris,HYROX PRO DOUBLES,Men,26,7,"Adrien Raffault, Merlijn Dorez",,MU29,01:03:37
2024 Paris,HYROX PRO DOUBLES,Men,27,19,"Laurent Degoutte, Pierre-Antoine Grammont",,30-34,01:03:48
2024 Paris,HYROX PRO DOUBLES,Men,28,20,"Michel-Angelo Patino Ponce, Dylan Legay",,30-34,01:03:58
2024 Paris,HYROX PRO DOUBLES,Men,29,21,"Jordan Senecaille, Jimmy Esdras",,30-34,01:04:06
2024 Paris,HYROX PRO DOUBLES,Men,30,2,"Cédric Le Badezet, Julien Bruneau",,40-44,01:04:18
2024 Paris,HYROX PRO DOUBLES,Men,31,3,"Youenn Mallet, Frédéric Guillot",,40-44,01:04:51
2024 Paris,HYROX PRO DOUBLES,Men,32,22,"Lee Ryan, Jordan Sheerin",,30-34,01:04:52
2024 Paris,HYROX PRO DOUBLES,Men,33,23,"Elian Guinic, Erwan Priol",,30-34,01:05:18
