Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Singapore,HYROX PRO,Men,1,1,"Heck, Gabe",USA,30-34,00:59:01
2024 Singapore,HYROX PRO,Men,2,1,"Di Paolo, Anth",AUS,25-29,01:03:50
2024 Singapore,HYROX PRO,Men,3,1,"Snowden, Phil",GBR,40-44,01:07:57
2024 Singapore,HYROX PRO,Men,4,1,"Hammond, Daniel",GBR,35-39,01:08:28
2024 Singapore,HYROX PRO,Men,5,2,"Geyindiren, Dogan Karako",TUR,35-39,01:08:44
2024 Singapore,HYROX PRO,Men,6,3,"Tieu, Johnny",USA,35-39,01:10:05
2024 Singapore,HYROX PRO,Men,7,4,"Maselli, Luca",ITA,35-39,01:10:38
2024 Singapore,HYROX PRO,Men,8,2,"Peters, Bastian",GER,30-34,01:10:39
2024 Singapore,HYROX PRO,Men,8,2,"Peters, Bastian",GER,30-34,01:10:39
2024 Singapore,HYROX PRO,Men,9,3,"Li, Adrian",HKG,30-34,01:11:25
2024 Singapore,HYROX PRO,Men,10,4,"Saidani, Tanguy",FRA,30-34,01:12:02
2024 Singapore,HYROX PRO,Men,11,5,"Pittli, Saddam",MAS,30-34,01:12:17
2024 Singapore,HYROX PRO,Men,12,2,"Cheng, Daryl",SIN,25-29,01:12:22
2024 Singapore,HYROX PRO,Men,13,3,"Lee, Sean",SIN,25-29,01:12:35
2024 Singapore,HYROX PRO,Men,14,4,"Langfeldt, Nicolai",NOR,25-29,01:13:02
2024 Singapore,HYROX PRO,Men,15,2,"Barham, Nick",GBR,40-44,01:13:08
2024 Singapore,HYROX PRO,Men,16,5,"Sun, Joseph",USA,35-39,01:13:47
2024 Singapore,HYROX PRO,Men,17,5,"Hengardi, Bryan",SIN,25-29,01:14:20
2024 Singapore,HYROX PRO,Men,18,3,"Lorenz, Martin",DEN,40-44,01:14:35
2024 Singapore,HYROX PRO,Men,19,6,"Stoeppler, Philipp",GER,35-39,01:14:42
2024 Singapore,HYROX PRO,Men,20,4,"Kwan, Laurence",HKG,40-44,01:15:04
2024 Singapore,HYROX PRO,Men,21,6,"Phillips, Richard",GBR,30-34,01:15:16
2024 Singapore,HYROX PRO,Men,22,7,"Smith, Michael",GBR,30-34,01:15:49
