Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,1,1,"Lucas Ng, Sean Lee",,30-34,01:06:31
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,2,1,"Jose Miguel Gutierrez Martin, Alberto Ramirez Doblado",,40-44,01:07:05
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,3,2,"Mike Fitzgibbon, Sek Po Ng",,40-44,01:07:49
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,4,3,"Ben Hall, Martin Lorenz",,40-44,01:08:36
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,5,2,"Alvin Chen, Antoine Moog",,30-34,01:08:54
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,6,3,"Leonard Tay, Sam Brennan",,30-34,01:08:57
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,7,4,"Stephane Istel, Hakim Naji",,40-44,01:09:10
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,8,1,"Ian Wee, Emmanuel Teo",,MU29,01:09:43
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,9,2,"Malcolm Lee, Keith Koh",,MU29,01:09:53
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,10,4,"Luca Maselli, Filippo Galuppini",,30-34,01:09:55
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,11,5,"Oliver Pearson, David Barker",,30-34,01:10:06
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,12,6,"Fathur Rahman, Farreez Rosman",,30-34,01:10:42
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,13,7,"Carl Emil Johansen, Christian Bohman",,30-34,01:11:02
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,14,5,"Sandro Lang, Cian Meyler",,40-44,01:11:02
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,15,8,"Jonathan Lew, Gordon Gn",,30-34,01:11:47
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,16,9,"Muhammad Zayyani, Muhammad Irfan Razali",,30-34,01:11:55
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,17,3,"Sherman Lim, Justin Chang",,MU29,01:12:16
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,18,6,"Edwin Koh, James Rodney",,40-44,01:12:57
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,19,7,"Stuart Bauld, Daniel De Sanctis",,40-44,01:13:52
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,20,10,"Marc Le, Yusoff Rawther",,30-34,01:14:34
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,21,11,"Huzaifa Bin Mustaffa, Iryan Bin Iraimi",,30-34,01:14:40
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,22,12,"Joel Yang, Darren Quah",,30-34,01:15:15
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,23,4,"Neilan Wong, Donovan Wong",,MU29,01:15:34
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,24,5,"Syahmi Asyrani, Chung Wei Nah",,MU29,01:15:55
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,25,6,"Alwin Lim, Reece Low",,MU29,01:16:11
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,26,7,"Shaun Ang, Glenn Ang",,MU29,01:16:49
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,27,13,"Crofton Teo, Dion Ng",,30-34,01:17:08
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,28,8,"Tan Yin Gin Sean, Xu Jie Toh",,MU29,01:18:14
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,29,14,"Henry Liu, Andy Wee",,30-34,01:18:48
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,30,15,"Kiran Easwaran, Saidolim Kodirov",,30-34,01:20:17
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,31,16,"Timothy Syn, Stanley Soon",,30-34,01:21:09
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,32,9,"Collin Shieu, Maverick Tan",,MU29,01:21:42
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,33,10,"Jiun Long Ho, Elden Ng",,MU29,01:21:49
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,34,17,"Edwin Tan, Terence Ong",,30-34,01:22:27
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,35,8,"Tobias Davis, Richard Wetzki",,40-44,01:22:31
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,36,18,"Shannon Stephen, Keith Qi Yuan Ng",,30-34,01:22:46
2024 Singapore National Stadium,HYROX PRO DOUBLES,Men,37,19,"Benjamin Bingquan Liu, Johnathan Lee",,30-34,01:23:04
