Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2024 Stockholm,HYROX PRO - Overall,Men,1,1,"Roncevic, Alexander",AUT,30-34,00:55:42
2024 Stockholm,HYROX PRO - Overall,Men,2,2,"Thompson, Harry",GBR,30-34,00:57:21
2024 Stockholm,HYROX PRO - Overall,Men,3,1,"Wynn, Jonathon",AUS,35-39,00:57:25
2024 Stockholm,HYROX PRO - Overall,Men,4,1,"Rosa De Almeida, Joao",POR,25-29,00:57:58
2024 Stockholm,HYROX PRO - Overall,Men,5,2,"Carlisle, John",SCO,25-29,00:58:25
2024 Stockholm,HYROX PRO - Overall,Men,6,3,"Rae, Danny",GBR,25-29,00:58:49
2024 Stockholm,HYROX PRO - Overall,Men,7,3,"Pratt, Jamie",ENG,30-34,00:59:02
2024 Stockholm,HYROX PRO - Overall,Men,8,4,"Ifversen, Sebastian",DEN,25-29,00:59:17
2024 Stockholm,HYROX PRO - Overall,Men,9,2,"Woodman, Aaron",GBR,35-39,00:59:21
2024 Stockholm,HYROX PRO - Overall,Men,10,4,"Woodward, Erik",NOR,30-34,01:00:25
2024 Stockholm,HYROX PRO - Overall,Men,11,5,"Sutherland, Harry",GBR,25-29,01:00:29
2024 Stockholm,HYROX PRO - Overall,Men,12,6,"Steger, Kenny",SWE,25-29,01:00:33
2024 Stockholm,HYROX PRO - Overall,Men,13,1,"Corlett, Adam",GBR,40-44,01:00:50
2024 Stockholm,HYROX PRO - Overall,Men,14,7,"Hugo, Huge",SWE,25-29,01:01:29
2024 Stockholm,HYROX PRO - Overall,Men,15,5,"Logue, Michael",UAE,30-34,01:01:31
2024 Stockholm,HYROX PRO - Overall,Men,16,8,"Sutherland, Ben",GBR,25-29,01:01:53
2024 Stockholm,HYROX PRO - Overall,Men,17,3,"Caballero, Diego",ESP,35-39,01:02:40
2024 Stockholm,HYROX PRO - Overall,Men,18,1,"Williams, Harvey",GBR,16-24,01:02:41
2024 Stockholm,HYROX PRO - Overall,Men,19,2,"Melheim, Oscar",NOR,16-24,01:03:05
2024 Stockholm,HYROX PRO - Overall,Men,20,6,"Alici, Turker",DEN,30-34,01:04:14
2024 Stockholm,HYROX PRO - Overall,Men,21,2,"Bergsman, Pär",SWE,40-44,01:04:25
2024 Stockholm,HYROX PRO - Overall,Men,22,4,"Parkin, David",GBR,35-39,01:04:34
2024 Stockholm,HYROX PRO - Overall,Men,23,9,"Vidovic, Andreas",SWE,25-29,01:04:39
2024 Stockholm,HYROX PRO - Overall,Men,24,10,"Ramberg, Mathias",SWE,25-29,01:05:16
2024 Stockholm,HYROX PRO - Overall,Men,25,1,"Portlock, Guy",GBR,50-54,01:05:30
2024 Stockholm,HYROX PRO - Overall,Men,26,3,"Bejer, Daniel",DEN,16-24,01:05:55
