Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Belgium,HYROX PRO DOUBLES,Men,1,1,"Tom Franssens, Pieter Maes",,30-34,00:52:53
2025 Belgium,HYROX PRO DOUBLES,Men,2,1,"Darragh Corcoran, Aaron Travers",,MU29,00:54:21
2025 Belgium,HYROX PRO DOUBLES,Men,3,2,"Twan Nieboer, Jochem Hoekstra",,MU29,00:57:20
2025 Belgium,HYROX PRO DOUBLES,Men,4,2,"Noel Higgins, Donnacha Higgins",,30-34,00:58:01
2025 Belgium,HYROX PRO DOUBLES,Men,5,3,"Jimmy Egberts, Kevin Splinter",,30-34,00:58:37
2025 Belgium,HYROX PRO DOUBLES,Men,6,3,"Eliott Duckworth, Ben Pickford",,MU29,00:59:03
2025 Belgium,HYROX PRO DOUBLES,Men,7,4,"Jeroen Visser, Arno van Doorn",,30-34,00:59:33
2025 Belgium,HYROX PRO DOUBLES,Men,8,1,"Ramy Peuker, Stephan Wallacher",,40-44,00:59:34
2025 Belgium,HYROX PRO DOUBLES,Men,9,4,"Stein Van wingerden, Sil Wiersma",,MU29,00:59:41
2025 Belgium,HYROX PRO DOUBLES,Men,10,5,"Tom de Bruijn, Albert van den Berge",,30-34,00:59:49
2025 Belgium,HYROX PRO DOUBLES,Men,11,6,"Theodericus Petrus Orij, Kevin Soetendal",,30-34,01:00:59
2025 Belgium,HYROX PRO DOUBLES,Men,12,7,"Ludovic Chevalier, Alain Etienne",,30-34,01:02:29
2025 Belgium,HYROX PRO DOUBLES,Men,13,8,"Wout Moreels, Zeger Van de Wiele",,30-34,01:02:39
2025 Belgium,HYROX PRO DOUBLES,Men,14,2,"Olivier FERNANDEZ, Amine BENMAMAS",,40-44,01:02:46
2025 Belgium,HYROX PRO DOUBLES,Men,15,3,"Niels Mulder, Martijn Schohaus",,40-44,01:02:49
2025 Belgium,HYROX PRO DOUBLES,Men,16,9,"Sam Van Tieghem, Sam De Cooman",,30-34,01:03:52
