Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Berlin,HYROX PRO - Friday,Men,1,1,"Hynek, Richard",CZE,25-29,00:55:37
2025 Berlin,HYROX PRO - Friday,Men,2,1,"Ploj, Alen",SLO,30-34,00:55:42
2025 Berlin,HYROX PRO - Friday,Men,3,1,"Tvrdik, Tomas",CZE,35-39,00:56:12
2025 Berlin,HYROX PRO - Friday,Men,4,2,"Dean, Marc",ENG,30-34,00:56:35
2025 Berlin,HYROX PRO - Friday,Men,5,3,"Valverde Reyes, Pablo",ESP,30-34,00:56:35
2025 Berlin,HYROX PRO - Friday,Men,6,2,"Weindl, Paul",GER,25-29,00:57:01
2025 Berlin,HYROX PRO - Friday,Men,7,4,"Fricker, Oli",ENG,30-34,00:57:01
2025 Berlin,HYROX PRO - Friday,Men,8,5,"Lindsay, Ronan",IRL,30-34,00:57:12
2025 Berlin,HYROX PRO - Friday,Men,9,1,"Ennis, Luke",GBR,16-24,00:57:21
2025 Berlin,HYROX PRO - Friday,Men,10,6,"Gast, Florian",GER,30-34,00:57:23
2025 Berlin,HYROX PRO - Friday,Men,11,3,"Czapla, Jannik",GER,25-29,00:57:30
2025 Berlin,HYROX PRO - Friday,Men,12,7,"Eisenlauer, Fabian",GER,30-34,00:57:34
2025 Berlin,HYROX PRO - Friday,Men,13,4,"Noble, Sean",IRL,25-29,00:57:39
2025 Berlin,HYROX PRO - Friday,Men,14,8,"Woodward, Erik",NOR,30-34,00:57:40
2025 Berlin,HYROX PRO - Friday,Men,15,2,"Mc Laughlin, Sean",IRL,35-39,00:58:31
2025 Berlin,HYROX PRO - Friday,Men,16,9,"Hupkes, Elte",NED,30-34,00:58:32
2025 Berlin,HYROX PRO - Friday,Men,17,3,"Parkin, David",GBR,35-39,00:58:54
2025 Berlin,HYROX PRO - Friday,Men,18,10,"Funken, Marcus",GER,30-34,00:59:26
2025 Berlin,HYROX PRO - Friday,Men,19,11,"Alici, Turker",TUR,30-34,00:59:29
2025 Berlin,HYROX PRO - Friday,Men,20,12,"Schiller, Peter",GER,30-34,00:59:37
2025 Berlin,HYROX PRO - Friday,Men,21,5,"Lozano Márquez, Aldo",MEX,25-29,00:59:57
2025 Berlin,HYROX PRO - Friday,Men,22,13,"Elfitouri, Sadiq",ENG,30-34,01:00:02
2025 Berlin,HYROX PRO - Friday,Men,23,14,"Wichtrup, Joshua",GER,30-34,01:00:40
2025 Berlin,HYROX PRO - Friday,Men,24,4,"Oldach, Maik",GER,35-39,01:00:54
2025 Berlin,HYROX PRO - Friday,Men,25,15,"Mulholland, Lloyd",GBR,30-34,01:00:57
2025 Berlin,HYROX PRO - Friday,Men,26,1,"Magill, Connor",IRL,40-44,01:01:00
2025 Berlin,HYROX PRO - Friday,Men,27,2,"Pruchnewski, Maxim",RUS,16-24,01:01:02
