Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Brisbane,HYROX PRO DOUBLES,Men,1,1,"William Martin, Nikola Sovljanski",,MU29,00:52:39
2025 Brisbane,HYROX PRO DOUBLES,Men,2,1,"Daniel Payne, Tanguy Cruz",,30-34,00:53:35
2025 Brisbane,HYROX PRO DOUBLES,Men,3,2,"Kieran Oleary, Liam Oleary",,30-34,00:56:39
2025 Brisbane,HYROX PRO DOUBLES,Men,4,3,"Marc Thomas, Dene Flude",,30-34,00:56:40
2025 Brisbane,HYROX PRO DOUBLES,Men,5,1,"Shane Fiore-Murarenko, Matthew Ashley",,40-44,00:56:51
2025 Brisbane,HYROX PRO DOUBLES,Men,6,2,"Aaron Price, Liam Reynolds",,MU29,00:57:33
2025 Brisbane,HYROX PRO DOUBLES,Men,7,4,"Tim Johnston, Dylan O’Kelly",,30-34,00:58:34
2025 Brisbane,HYROX PRO DOUBLES,Men,8,3,"Haydn Thomas, Glen Harvey",,MU29,00:58:36
2025 Brisbane,HYROX PRO DOUBLES,Men,9,4,"Lochey Oppenheimer, Liam Gilbert",,MU29,00:58:39
2025 Brisbane,HYROX PRO DOUBLES,Men,10,5,"Brody Strachan, Billy Spreckley",,MU29,00:58:40
2025 Brisbane,HYROX PRO DOUBLES,Men,11,6,"James Bewley, Isaac Harriss",,MU29,00:59:06
2025 Brisbane,HYROX PRO DOUBLES,Men,12,7,"Steve Duke, Mikey Duke",,MU29,00:59:09
2025 Brisbane,HYROX PRO DOUBLES,Men,13,2,"Scott Eastgate, Jonathan Lynch",,40-44,00:59:16
2025 Brisbane,HYROX PRO DOUBLES,Men,14,8,"Chris Griffin, Tom Baulch",,MU29,00:59:26
2025 Brisbane,HYROX PRO DOUBLES,Men,15,3,"Jonathan Cook, Nathan James",,40-44,00:59:28
2025 Brisbane,HYROX PRO DOUBLES,Men,16,5,"David Guest, Giorgio Russo",,30-34,00:59:49
2025 Brisbane,HYROX PRO DOUBLES,Men,17,6,"Harry Carlon, Henry Yuill",,30-34,01:00:04
2025 Brisbane,HYROX PRO DOUBLES,Men,18,9,"Cristian Cordova, Joshua Xiberras",,MU29,01:00:34
2025 Brisbane,HYROX PRO DOUBLES,Men,19,10,"Beau Berg, Jayden Pue",,MU29,01:00:35
2025 Brisbane,HYROX PRO DOUBLES,Men,20,7,"Alexandre Cavanna, Pierre Guyot",,30-34,01:00:38
2025 Brisbane,HYROX PRO DOUBLES,Men,21,8,"Nathan Spinks, Nathan Davey",,30-34,01:01:00
2025 Brisbane,HYROX PRO DOUBLES,Men,22,11,"Teuira Berryman, Julian Caillon",,MU29,01:01:10
2025 Brisbane,HYROX PRO DOUBLES,Men,23,12,"Alex Forbes, Zaine Hilcke",,MU29,01:01:37
2025 Brisbane,HYROX PRO DOUBLES,Men,24,13,"Simon Callanan, Conor Doheny",,MU29,01:01:57
2025 Brisbane,HYROX PRO DOUBLES,Men,25,14,"Jack Morris, Shannon Gardiner",,MU29,01:02:02
2025 Brisbane,HYROX PRO DOUBLES,Men,26,9,"Khan Porter, Sean Young",,30-34,01:02:14
2025 Brisbane,HYROX PRO DOUBLES,Men,27,10,"Byron Hawley, Tyson Gordon",,30-34,01:02:17
2025 Brisbane,HYROX PRO DOUBLES,Men,28,15,"Regan Fox, Bailee Gerathy",,MU29,01:02:18
2025 Brisbane,HYROX PRO DOUBLES,Men,29,16,"Josh Loose, Ben Robert",,MU29,01:02:25
2025 Brisbane,HYROX PRO DOUBLES,Men,30,17,"Conrad Quick, Freddy Dorrough",,MU29,01:02:26
2025 Brisbane,HYROX PRO DOUBLES,Men,31,11,"Fabian Kovacs, Alexander Mcbride",,30-34,01:02:35
2025 Brisbane,HYROX PRO DOUBLES,Men,32,12,"Luke O'Riordan, Blake Wright",,30-34,01:02:41
2025 Brisbane,HYROX PRO DOUBLES,Men,33,13,"Peter Demamiel, Luke Pattrick",,30-34,01:02:47
2025 Brisbane,HYROX PRO DOUBLES,Men,34,18,"Barry Lee, Bill Staunton",,MU29,01:03:13
2025 Brisbane,HYROX PRO DOUBLES,Men,35,14,"Aaron Osborne, Zac Collett",,30-34,01:03:14
2025 Brisbane,HYROX PRO DOUBLES,Men,36,15,"Jason Marks, Aaron Harris",,30-34,01:03:18
2025 Brisbane,HYROX PRO DOUBLES,Men,37,19,"Jack Dean, Sam Coplan",,MU29,01:03:30
2025 Brisbane,HYROX PRO DOUBLES,Men,38,16,"Matt Ruthenberg, Coire Ferguson",,30-34,01:03:31
2025 Brisbane,HYROX PRO DOUBLES,Men,39,20,"Micheal O’Connor, Matthew Fraser",,MU29,01:03:38
2025 Brisbane,HYROX PRO DOUBLES,Men,40,17,"Benjamin Vengoa, Brendan Vengoa",,30-34,01:03:42
2025 Brisbane,HYROX PRO DOUBLES,Men,41,18,"Kuda Matika, Shaun Banzon",,30-34,01:03:58
2025 Brisbane,HYROX PRO DOUBLES,Men,42,19,"Daniel Goonan, Timothy Quabba",,30-34,01:04:24
2025 Brisbane,HYROX PRO DOUBLES,Men,43,4,"Daniel Strickland, Ashley Graham",,40-44,01:04:25
2025 Brisbane,HYROX PRO DOUBLES,Men,44,20,"Lefty Ioannou, Tom Henderson",,30-34,01:05:01
2025 Brisbane,HYROX PRO DOUBLES,Men,45,21,"Jack Prendergast, Shaun Van Heteren",,MU29,01:05:29
2025 Brisbane,HYROX PRO DOUBLES,Men,46,21,"Dillon Eastick, Marty Perkins",,30-34,01:05:36
2025 Brisbane,HYROX PRO DOUBLES,Men,47,22,"Jayden Helmstedt, Mitchell Roberts",,MU29,01:05:39
2025 Brisbane,HYROX PRO DOUBLES,Men,48,22,"Jesse Field, Justin Smith",,30-34,01:05:42
2025 Brisbane,HYROX PRO DOUBLES,Men,49,23,"Lee Renshaw, Matt Smith",,MU29,01:05:47
2025 Brisbane,HYROX PRO DOUBLES,Men,50,23,"1609 Coaching, Aidan King",,30-34,01:05:53
2025 Brisbane,HYROX PRO DOUBLES,Men,51,24,"James Toole, Carlos Kohu-Martin",,30-34,01:06:14
2025 Brisbane,HYROX PRO DOUBLES,Men,52,25,"Joel Brilliant, Chris Rowell",,30-34,01:06:39
2025 Brisbane,HYROX PRO DOUBLES,Men,53,24,"Tyler Davey, Jun Grant",,MU29,01:06:44
2025 Brisbane,HYROX PRO DOUBLES,Men,54,25,"Zac Horsey, Chris O’Connor",,MU29,01:06:53
2025 Brisbane,HYROX PRO DOUBLES,Men,55,26,"Matthew Jackson, James Northcott",,MU29,01:07:14
2025 Brisbane,HYROX PRO DOUBLES,Men,56,5,"Michael Schembri, Andrew Reece",,40-44,01:07:17
2025 Brisbane,HYROX PRO DOUBLES,Men,57,26,"Nathan James, Matt Barwick",,30-34,01:07:29
2025 Brisbane,HYROX PRO DOUBLES,Men,58,27,"Gilles Smith, Simon Manzano",,MU29,01:07:59
2025 Brisbane,HYROX PRO DOUBLES,Men,59,6,"Pele Peletelese, Zeb Taia",,40-44,01:08:33
2025 Brisbane,HYROX PRO DOUBLES,Men,60,7,"Gary El-Helou, Simon Alame",,40-44,01:08:34
2025 Brisbane,HYROX PRO DOUBLES,Men,61,27,"Matthew Carr, Izaac Dwyer",,30-34,01:09:01
2025 Brisbane,HYROX PRO DOUBLES,Men,62,28,"Junior Coutts, Kyle Foran",,MU29,01:09:10
2025 Brisbane,HYROX PRO DOUBLES,Men,63,28,"Scott Coxon, Ugljesa Zoric",,30-34,01:09:52
2025 Brisbane,HYROX PRO DOUBLES,Men,64,29,"Solomon Adams, Zachary Forster",,MU29,01:10:11
2025 Brisbane,HYROX PRO DOUBLES,Men,65,29,"Carlos Barange Deu, Mitch Harley",,30-34,01:10:11
