Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Cardiff,HYROX PRO - Overall,Men,1,1,"Rae, Danny",GBR,25-29,00:57:16
2025 Cardiff,HYROX PRO - Overall,Men,2,1,"Dean, Marc",GBR,30-34,00:57:42
2025 Cardiff,HYROX PRO - Overall,Men,3,1,"Humphries, Afan",GBR,35-39,00:58:19
2025 Cardiff,HYROX PRO - Overall,Men,4,2,"Tynan, Lee",GBR,35-39,00:58:36
2025 Cardiff,HYROX PRO - Overall,Men,5,3,"Rees, Bodger",GBR,35-39,00:58:44
2025 Cardiff,HYROX PRO - Overall,Men,6,2,"Jackson, Dan",GBR,30-34,00:59:11
2025 Cardiff,HYROX PRO - Overall,Men,7,3,"Craig, Sam",GBR,30-34,00:59:17
2025 Cardiff,HYROX PRO - Overall,Men,8,4,"Revell, Tony",GBR,35-39,01:00:44
2025 Cardiff,HYROX PRO - Overall,Men,9,4,"Smith, Beau",GBR,30-34,01:00:49
2025 Cardiff,HYROX PRO - Overall,Men,10,5,"Phillips, James",GBR,30-34,01:01:55
2025 Cardiff,HYROX PRO - Overall,Men,11,2,"Iriondo, Jon",ESP,25-29,01:02:00
2025 Cardiff,HYROX PRO - Overall,Men,12,3,"Wright, Ben",GBR,25-29,01:02:18
2025 Cardiff,HYROX PRO - Overall,Men,13,5,"Weaver, Carl",GBR,35-39,01:02:27
2025 Cardiff,HYROX PRO - Overall,Men,14,1,"Sloan, Andy",GBR,40-44,01:02:28
2025 Cardiff,HYROX PRO - Overall,Men,15,4,"Burton, George",GBR,25-29,01:02:29
2025 Cardiff,HYROX PRO - Overall,Men,16,6,"Bloor, Matthew",GBR,35-39,01:02:31
2025 Cardiff,HYROX PRO - Overall,Men,17,5,"Tobin, Will",GBR,25-29,01:02:35
2025 Cardiff,HYROX PRO - Overall,Men,18,1,"Wood, James",GBR,16-24,01:02:36
2025 Cardiff,HYROX PRO - Overall,Men,19,6,"Jenkins, Fergus",GBR,25-29,01:02:55
2025 Cardiff,HYROX PRO - Overall,Men,20,6,"Macvicar, Will",GBR,30-34,01:03:00
2025 Cardiff,HYROX PRO - Overall,Men,21,7,"Roura, Joel",GBR,25-29,01:03:29
2025 Cardiff,HYROX PRO - Overall,Men,22,7,"Verden, Jamie",GBR,30-34,01:03:38
2025 Cardiff,HYROX PRO - Overall,Men,23,2,"O'Brien, Paul",IRL,40-44,01:03:41
2025 Cardiff,HYROX PRO - Overall,Men,24,7,"Kane, Will",GBR,35-39,01:03:45
2025 Cardiff,HYROX PRO - Overall,Men,25,8,"Kenealy O, Myles",GBR,25-29,01:03:51
2025 Cardiff,HYROX PRO - Overall,Men,26,8,"Blower, Billy",GBR,35-39,01:04:07
2025 Cardiff,HYROX PRO - Overall,Men,27,9,"Smith, Jac",GBR,25-29,01:04:19
2025 Cardiff,HYROX PRO - Overall,Men,28,3,"Hendrie, Charles",GBR,40-44,01:04:31
2025 Cardiff,HYROX PRO - Overall,Men,29,10,"Walsh, Sean",IRL,25-29,01:04:51
2025 Cardiff,HYROX PRO - Overall,Men,30,8,"Henry, Josh",GBR,30-34,01:05:11
2025 Cardiff,HYROX PRO - Overall,Men,31,11,"M Brame, Jordan",GBR,25-29,01:05:13
2025 Cardiff,HYROX PRO - Overall,Men,32,12,"Mcmenemy, Jack",GBR,25-29,01:05:15
2025 Cardiff,HYROX PRO - Overall,Men,33,9,"Flynn, Michael",IRL,35-39,01:05:28
2025 Cardiff,HYROX PRO - Overall,Men,34,9,"Holland, Connor",GBR,30-34,01:05:30
2025 Cardiff,HYROX PRO - Overall,Men,35,13,"Uscroft-Mould, Danny",GBR,25-29,01:05:33
2025 Cardiff,HYROX PRO - Overall,Men,36,14,"Gilboy, James",GBR,25-29,01:05:34
2025 Cardiff,HYROX PRO - Overall,Men,37,10,"Hanson, Jordan",GBR,35-39,01:05:37
2025 Cardiff,HYROX PRO - Overall,Men,38,15,"Redaoui, Mohamed",MAR,25-29,01:05:43
2025 Cardiff,HYROX PRO - Overall,Men,39,16,"Bulpitt, Jordan",GBR,25-29,01:06:00
2025 Cardiff,HYROX PRO - Overall,Men,40,10,"Solley, Hubie",GBR,30-34,01:06:09
2025 Cardiff,HYROX PRO - Overall,Men,41,11,"Fahrenheim, Robert",GBR,35-39,01:06:13
2025 Cardiff,HYROX PRO - Overall,Men,42,17,"Mcguire, Mark",GBR,25-29,01:06:14
2025 Cardiff,HYROX PRO - Overall,Men,43,12,"Ryan, Terry",GBR,35-39,01:06:19
2025 Cardiff,HYROX PRO - Overall,Men,44,11,"Warren, Ezra",WLS,30-34,01:06:20
2025 Cardiff,HYROX PRO - Overall,Men,45,18,"Cook, Angus",GBR,25-29,01:06:25
2025 Cardiff,HYROX PRO - Overall,Men,46,19,"Hancock, Fenton",GBR,25-29,01:06:25
2025 Cardiff,HYROX PRO - Overall,Men,47,12,"Penn, Tom",GBR,30-34,01:06:30
2025 Cardiff,HYROX PRO - Overall,Men,48,13,"Mcclymont, Jack",GBR,30-34,01:06:31
2025 Cardiff,HYROX PRO - Overall,Men,49,20,"Hill, Jorell",GBR,25-29,01:06:32
2025 Cardiff,HYROX PRO - Overall,Men,50,13,"Blackledge, Zac",GBR,35-39,01:06:50
2025 Cardiff,HYROX PRO - Overall,Men,51,21,"Morrison, Dalmar",GBR,25-29,01:07:01
2025 Cardiff,HYROX PRO - Overall,Men,52,22,"Rice, Mitchell",GBR,25-29,01:07:02
2025 Cardiff,HYROX PRO - Overall,Men,53,4,"Washington, Joe",GBR,40-44,01:07:08
2025 Cardiff,HYROX PRO - Overall,Men,54,2,"Hayward, Jake",GBR,16-24,01:07:17
2025 Cardiff,HYROX PRO - Overall,Men,55,14,"Higgins, Noel",IRL,30-34,01:07:24
2025 Cardiff,HYROX PRO - Overall,Men,56,23,"Mcintosh, Alex",GBR,25-29,01:07:32
2025 Cardiff,HYROX PRO - Overall,Men,57,14,"Hale, Adam",GBR,35-39,01:07:33
2025 Cardiff,HYROX PRO - Overall,Men,58,24,"Neumann, Moritz",GBR,25-29,01:07:42
2025 Cardiff,HYROX PRO - Overall,Men,59,15,"Morgan, Alex",GBR,35-39,01:07:49
2025 Cardiff,HYROX PRO - Overall,Men,60,15,"O’Neill, Michael",GBR,30-34,01:07:56
2025 Cardiff,HYROX PRO - Overall,Men,61,16,"Campbell, Alex",GBR,35-39,01:08:09
2025 Cardiff,HYROX PRO - Overall,Men,62,16,"Eloff, Ryan",RSA,30-34,01:08:10
2025 Cardiff,HYROX PRO - Overall,Men,63,25,"Rutten, Tyler",GBR,25-29,01:08:10
2025 Cardiff,HYROX PRO - Overall,Men,64,26,"Jarvis, Chris",GBR,25-29,01:08:23
2025 Cardiff,HYROX PRO - Overall,Men,65,17,"Fountain, Carl",GBR,30-34,01:08:31
2025 Cardiff,HYROX PRO - Overall,Men,66,17,"Murphy, Aaron",GBR,35-39,01:08:35
2025 Cardiff,HYROX PRO - Overall,Men,67,18,"Beattie, Paul",IRL,35-39,01:08:35
2025 Cardiff,HYROX PRO - Overall,Men,68,18,"Woolley, Matthew",GBR,30-34,01:08:42
2025 Cardiff,HYROX PRO - Overall,Men,69,19,"Nangle, Joe",IRL,35-39,01:08:46
2025 Cardiff,HYROX PRO - Overall,Men,70,5,"Moore, Daniel",GBR,40-44,01:08:55
2025 Cardiff,HYROX PRO - Overall,Men,71,19,"Fleming, Jessie-Callen",RSA,30-34,01:08:58
2025 Cardiff,HYROX PRO - Overall,Men,72,20,"Fagan, Patrick",IRL,30-34,01:09:00
2025 Cardiff,HYROX PRO - Overall,Men,73,21,"Bridge, Timothy",AUS,30-34,01:09:11
2025 Cardiff,HYROX PRO - Overall,Men,74,27,"White, Kieron",IRL,25-29,01:09:26
2025 Cardiff,HYROX PRO - Overall,Men,75,1,"Jenkinson, Mark",GBR,50-54,01:09:27
2025 Cardiff,HYROX PRO - Overall,Men,76,20,"Bradley, James",GBR,35-39,01:09:28
