Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,1,1,"Lucas Parker, Charlie Boterill",,MU29,00:51:16
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,2,1,"Johnathan Pewtner, Afan Humphries",,30-34,00:52:48
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,3,2,"Jess Price-Owen, Dave O’Toole",,30-34,00:53:18
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,4,2,"Joey Allott, Charlie Botterill",,MU29,00:53:47
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,5,3,"Fin Dearsly, William Means",,MU29,00:54:38
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,6,3,"Jamie Nicholas, Morgan Rees",,30-34,00:54:50
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,7,4,"Alfie Burton, Craig Tebbutt",,30-34,00:55:02
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,8,4,"Toby Wilson, Joe Vatcher",,MU29,00:55:12
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,9,5,"Brucey Ronaldson, Sam Bandeen",,30-34,00:55:26
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,10,5,"Liam Mcgregor, Dan Nota",,MU29,00:55:42
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,11,1,"David Sloan, Martin Garnett",,40-44,00:55:53
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,12,6,"Marcus Mollison, Dan Super",,30-34,00:56:00
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,13,6,"Ryan Pike, Jack Kelbrick",,MU29,00:56:04
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,14,7,"Callum Li, Grant Bain",,30-34,00:56:15
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,15,7,"Jordan White, Jake White",,MU29,00:56:28
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,16,8,"Travis Brown, James Mackrell",,30-34,00:56:52
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,17,9,"Andrew Crawford, Joshua Braznell",,30-34,00:56:58
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,18,8,"Will Gore, Stuart Aitken",,MU29,00:57:27
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,19,10,"Sam West, Jack Mayhew",,30-34,00:57:28
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,20,9,"Charlie Wevill, Carl Aldridge",,MU29,00:57:33
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,21,11,"Joe Walker, Byron Cipa",,30-34,00:57:41
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,22,12,"Chris Cummins, Cameron Macro",,30-34,00:58:11
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,23,13,"David Fisher, Martyn Paterson",,30-34,00:58:13
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,24,14,"Adam Hannaway, Craig Downey",,30-34,00:58:14
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,25,15,"Carlton Mccabe, Owen Coverdale",,30-34,00:58:26
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,26,10,"Chase Taylor, Joseph Tyson",,MU29,00:58:44
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,27,11,"Joshua Dickson, Michael Taylor",,MU29,00:58:54
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,28,12,"Al Taki, Sam Girling",,MU29,00:58:59
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,29,16,"Joe Langbridge, Michele Zanirato",,30-34,00:59:07
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,30,17,"Edward Nicholas, Jacob Biddle",,30-34,00:59:07
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,31,13,"Tom Oxley, Luke Davidson",,MU29,00:59:14
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,32,14,"Archie Dunne, Reece Giles",,MU29,00:59:20
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,33,15,"Jack Meredith, Ollie Groombridge",,MU29,00:59:23
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,34,16,"Troy Pannett, Chris Clinch",,MU29,00:59:41
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,35,18,"Mathew Vowles, Nathan Watkins",,30-34,00:59:57
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,36,17,"Ryan Cross, Ryan Crisp",,MU29,01:00:03
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,37,19,"Mark Davies, Jamie Matthews",,30-34,01:00:08
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,38,2,"Connor Magill, Conor Morgan",,40-44,01:00:19
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,39,3,"Rhys Williams, Laurence Humphreys",,40-44,01:00:21
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,40,20,"James Grimes, Simon Pincock",,30-34,01:00:24
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,41,18,"Tom Wood, William Perkins",,MU29,01:00:50
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,42,4,"Todd Fierro, Lee Forrester",,40-44,01:00:53
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,43,21,"Will Tobin, Tom Little",,30-34,01:00:57
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,44,22,"Faisal Abdalla, Gustavo Vax Tostes",,30-34,01:00:57
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,45,23,"Isaac Longden, Michael Chadwick",,30-34,01:01:07
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,46,24,"Chris Hearn, Jordan West",,30-34,01:01:09
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,47,25,"Erik Edsas, Calum Mclatchie",,30-34,01:01:52
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,48,26,"Glyn Fletcher, Ash Phillips",,30-34,01:01:55
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,49,27,"Jack Cross, Chris Evans",,30-34,01:02:00
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,50,28,"Joe Kelly, Michael Jones",,30-34,01:02:04
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,51,29,"James Yarnell, Drew Jarvis",,30-34,01:02:20
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,52,5,"Gary Hateley, Dave Williams",,40-44,01:02:30
2025 Cardiff,HYROX PRO DOUBLES - Overall,Men,53,30,"Sam Watkins, Ben Howie",,30-34,01:02:33
