Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Cologne,HYROX PRO - Overall,Men,1,1,"Roncevic, Alexander",AUT,30-34,00:54:43
2025 Cologne,HYROX PRO - Overall,Men,2,1,"Weindl, Paul",GER,25-29,00:57:14
2025 Cologne,HYROX PRO - Overall,Men,3,2,"Thompson, Harry",GBR,30-34,00:57:41
2025 Cologne,HYROX PRO - Overall,Men,4,2,"Rosa De Almeida, Joao",POR,25-29,00:57:44
2025 Cologne,HYROX PRO - Overall,Men,5,3,"Cao, Alan",FRA,30-34,00:57:45
2025 Cologne,HYROX PRO - Overall,Men,6,1,"Löschke, Franz",GER,35-39,00:58:44
2025 Cologne,HYROX PRO - Overall,Men,7,4,"Karsch, Marvin",GER,30-34,00:59:48
2025 Cologne,HYROX PRO - Overall,Men,8,3,"Hugemarq, Hugo",SWE,25-29,01:00:12
2025 Cologne,HYROX PRO - Overall,Men,9,5,"Azar, Austin",CAN,30-34,01:00:33
2025 Cologne,HYROX PRO - Overall,Men,10,4,"Pearce, David",GER,25-29,01:00:40
2025 Cologne,HYROX PRO - Overall,Men,11,1,"Parker, Lucas",GBR,16-24,01:00:41
2025 Cologne,HYROX PRO - Overall,Men,12,1,"Moumen, Jaafar",MAR,40-44,01:01:30
2025 Cologne,HYROX PRO - Overall,Men,13,2,"Kinget, Niels",BEL,16-24,01:02:46
2025 Cologne,HYROX PRO - Overall,Men,14,2,"Michelius, Martin",GER,35-39,01:02:49
2025 Cologne,HYROX PRO - Overall,Men,15,5,"Nota, Dan",GBR,25-29,01:03:14
2025 Cologne,HYROX PRO - Overall,Men,16,6,"Bulpitt, Jordan",GBR,25-29,01:03:37
2025 Cologne,HYROX PRO - Overall,Men,17,3,"Wacker, Tim",GER,16-24,01:03:39
2025 Cologne,HYROX PRO - Overall,Men,18,7,"Gödde, Dennis",GER,25-29,01:03:52
2025 Cologne,HYROX PRO - Overall,Men,19,8,"Brügmann, Jendrik",GER,25-29,01:04:06
2025 Cologne,HYROX PRO - Overall,Men,20,6,"Paquay, Nicolas",FRA,30-34,01:04:22
2025 Cologne,HYROX PRO - Overall,Men,21,3,"Pavis, Louis",FRA,35-39,01:04:29
2025 Cologne,HYROX PRO - Overall,Men,22,7,"Hahnsch, Felix",GER,30-34,01:04:30
2025 Cologne,HYROX PRO - Overall,Men,23,8,"Haas, Christian",GER,30-34,01:04:52
2025 Cologne,HYROX PRO - Overall,Men,24,4,"Ferry, Niko",FRA,16-24,01:04:55
2025 Cologne,HYROX PRO - Overall,Men,25,4,"Park-Said, Malek",GER,35-39,01:05:09
2025 Cologne,HYROX PRO - Overall,Men,26,9,"Wrobel, Lukas",DEN,25-29,01:05:24
2025 Cologne,HYROX PRO - Overall,Men,27,9,"Tekolf, Timo",GER,30-34,01:05:30
2025 Cologne,HYROX PRO - Overall,Men,28,2,"Ailam, Farid",FRA,40-44,01:06:13
2025 Cologne,HYROX PRO - Overall,Men,29,5,"Gärtner, Ralf",GER,35-39,01:06:20
2025 Cologne,HYROX PRO - Overall,Men,30,6,"Brekalo, Marijan",CRO,35-39,01:06:24
2025 Cologne,HYROX PRO - Overall,Men,31,10,"Munck Larsson, Viktor",SWE,25-29,01:06:47
2025 Cologne,HYROX PRO - Overall,Men,32,3,"Ailam, Farid",FRA,40-44,01:06:58
2025 Cologne,HYROX PRO - Overall,Men,33,7,"James, Robert",GBR,35-39,01:07:07
2025 Cologne,HYROX PRO - Overall,Men,34,8,"Dallmann, Rune",GER,35-39,01:07:11
2025 Cologne,HYROX PRO - Overall,Men,35,10,"Peters, Bastian",GER,30-34,01:07:14
2025 Cologne,HYROX PRO - Overall,Men,36,11,"Schilling, Henrik",GER,25-29,01:07:21
2025 Cologne,HYROX PRO - Overall,Men,37,9,"Saxon, Jeremy",GBR,35-39,01:07:24
2025 Cologne,HYROX PRO - Overall,Men,38,4,"Müller, Philipp",GER,40-44,01:07:33
2025 Cologne,HYROX PRO - Overall,Men,39,11,"Merlino, Giuseppe",ITA,30-34,01:07:48
2025 Cologne,HYROX PRO - Overall,Men,40,5,"Ailam, Farid",FRA,40-44,01:08:08
2025 Cologne,HYROX PRO - Overall,Men,41,12,"Fichtel, Andreas",GER,30-34,01:08:16
2025 Cologne,HYROX PRO - Overall,Men,42,10,"Maschitzke, Toni",GER,35-39,01:08:29
2025 Cologne,HYROX PRO - Overall,Men,43,6,"Lescure, Yoann",FRA,40-44,01:08:38
2025 Cologne,HYROX PRO - Overall,Men,44,1,"Lancaster, Paul",GBR,50-54,01:08:44
2025 Cologne,HYROX PRO - Overall,Men,45,12,"Perlemoine, Robin",FRA,25-29,01:08:54
2025 Cologne,HYROX PRO - Overall,Men,46,11,"Mickael, Mickaël",FRA,35-39,01:09:13
2025 Cologne,HYROX PRO - Overall,Men,47,13,"Wendling, Alexander",GER,25-29,01:09:14
2025 Cologne,HYROX PRO - Overall,Men,48,14,"Bos, Bobby",NED,25-29,01:09:22
2025 Cologne,HYROX PRO - Overall,Men,49,7,"Dürr, Thorsten",GER,40-44,01:09:24
2025 Cologne,HYROX PRO - Overall,Men,50,13,"Merkt, Raphael",GER,30-34,01:09:28
2025 Cologne,HYROX PRO - Overall,Men,51,15,"Camehl, Calvin",GER,25-29,01:09:31
2025 Cologne,HYROX PRO - Overall,Men,52,8,"Kienle, Sebastian",GER,40-44,01:09:33
2025 Cologne,HYROX PRO - Overall,Men,53,2,"Schmalkoke, Thilo",GER,50-54,01:09:33
2025 Cologne,HYROX PRO - Overall,Men,54,14,"Pfahl, David",GER,30-34,01:09:59
2025 Cologne,HYROX PRO - Overall,Men,55,9,"Winkler, Alexander",GER,40-44,01:10:01
2025 Cologne,HYROX PRO - Overall,Men,56,12,"Benecke, Patrick",GER,35-39,01:10:05
2025 Cologne,HYROX PRO - Overall,Men,57,15,"Merkt, Raphael",GER,30-34,01:10:22
2025 Cologne,HYROX PRO - Overall,Men,58,16,"Zlatkov, Aleksandar",AUT,30-34,01:10:34
2025 Cologne,HYROX PRO - Overall,Men,59,17,"Daupeley, Victor",FRA,30-34,01:10:51
2025 Cologne,HYROX PRO - Overall,Men,60,18,"Thewes, Kevin",GER,30-34,01:11:05
2025 Cologne,HYROX PRO - Overall,Men,61,16,"Mehanovic, Harun",LUX,25-29,01:11:05
2025 Cologne,HYROX PRO - Overall,Men,62,13,"Wolf, Florian",GER,35-39,01:11:11
2025 Cologne,HYROX PRO - Overall,Men,63,5,"Jakobsen, Berthel",DEN,16-24,01:11:22
