Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,1,1,"Tobias Lautwein, Tobias Lautwein, Christof Brenner, Christof Brenner",,30-34,00:52:07
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,1,1,"Tobias Lautwein, Tobias Lautwein, Christof Brenner, Christof Brenner",,30-34,00:52:07
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,2,1,"Kieron White, Kieron White, Kevin Woods, Kevin Woods",,MU29,00:53:47
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,2,1,"Kieron White, Kieron White, Kevin Woods, Kevin Woods",,MU29,00:53:47
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,3,2,"Alex Kukla, Alex Kukla, Sebastian Kienle, Sebastian Kienle",,30-34,00:54:53
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,3,2,"Alex Kukla, Alex Kukla, Sebastian Kienle, Sebastian Kienle",,30-34,00:54:53
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,4,2,"Florian Staudt, Florian Staudt, Sebastian Günther, Sebastian Günther",,MU29,00:54:57
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,4,2,"Florian Staudt, Florian Staudt, Sebastian Günther, Sebastian Günther",,MU29,00:54:57
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,5,3,"Lucas Niehoff, Lucas Niehoff, Johann Frank, Johann Frank",,30-34,00:55:34
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,5,3,"Lucas Niehoff, Lucas Niehoff, Johann Frank, Johann Frank",,30-34,00:55:34
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,6,3,"Stefan Höcht, Stefan Höcht, Julian Kreutzer, Julian Kreutzer",,MU29,00:55:37
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,6,3,"Stefan Höcht, Stefan Höcht, Julian Kreutzer, Julian Kreutzer",,MU29,00:55:37
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,7,4,"Yannik Wasmuth, Yannik Wasmuth, Julian Krüger, Julian Krüger",,30-34,00:55:47
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,7,4,"Yannik Wasmuth, Yannik Wasmuth, Julian Krüger, Julian Krüger",,30-34,00:55:47
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,8,4,"Jan-Ole Martin, Jan-Ole Martin, Ole Diringer, Ole Diringer",,MU29,00:55:54
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,8,4,"Jan-Ole Martin, Jan-Ole Martin, Ole Diringer, Ole Diringer",,MU29,00:55:54
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,9,5,"Daniel Gundall, Daniel Gundall, Tobias Kiefer, Tobias Kiefer",,MU29,00:56:16
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,9,5,"Daniel Gundall, Daniel Gundall, Tobias Kiefer, Tobias Kiefer",,MU29,00:56:16
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,10,5,"Robert James, Robert James, Jonathan Bullough, Jonathan Bullough",,30-34,00:56:42
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,10,5,"Robert James, Robert James, Jonathan Bullough, Jonathan Bullough",,30-34,00:56:42
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,11,6,"Benjamin Desmet, Benjamin Desmet, Maxime Dupont, Maxime Dupont",,MU29,00:57:13
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,11,6,"Benjamin Desmet, Benjamin Desmet, Maxime Dupont, Maxime Dupont",,MU29,00:57:13
2025 Cologne,HYROX PRO DOUBLES - Overall,Men,12,7,"Pascal Hatz, Pascal Hatz, Brun Keller, Brun Keller",,MU29,00:57:15
