Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Johannesburg I,HYROX PRO,Men,1,1,"Schoonbee, Kyle",RSA,25-29,01:04:09
2025 Johannesburg I,HYROX PRO,Men,2,1,"Valjalo, Sheldon",RSA,30-34,01:09:01
2025 Johannesburg I,HYROX PRO,Men,3,2,"Nel, Janno",RSA,25-29,01:10:54
2025 Johannesburg I,HYROX PRO,Men,4,1,"Manders, Leon",RSA,40-44,01:12:10
2025 Johannesburg I,HYROX PRO,Men,5,3,"van Dongen, James",RSA,25-29,01:12:42
2025 Johannesburg I,HYROX PRO,Men,6,4,"O'Connor, Sheldon",RSA,25-29,01:12:58
2025 Johannesburg I,HYROX PRO,Men,7,2,"Smith, Jason",RSA,40-44,01:13:35
2025 Johannesburg I,HYROX PRO,Men,8,2,"Roos, Jc",RSA,30-34,01:14:17
2025 Johannesburg I,HYROX PRO,Men,9,3,"Botes, Damien",RSA,30-34,01:14:59
2025 Johannesburg I,HYROX PRO,Men,10,5,"Joubert, Bradly",RSA,25-29,01:15:53
2025 Johannesburg I,HYROX PRO,Men,11,4,"Baker, Peter",RSA,30-34,01:16:44
2025 Johannesburg I,HYROX PRO,Men,12,1,"Pienaar, Danie",RSA,35-39,01:17:06
2025 Johannesburg I,HYROX PRO,Men,13,5,"Du Preez, Jacques",RSA,30-34,01:17:21
2025 Johannesburg I,HYROX PRO,Men,14,6,"Rens, Jan",RSA,25-29,01:17:33
2025 Johannesburg I,HYROX PRO,Men,15,6,"Christoforos, Justin",RSA,30-34,01:18:20
2025 Johannesburg I,HYROX PRO,Men,16,7,"Mzandolo, Matthewstone S",RSA,30-34,01:18:34
2025 Johannesburg I,HYROX PRO,Men,17,2,"Wentzel, Sean",BOT,35-39,01:18:37
2025 Johannesburg I,HYROX PRO,Men,18,8,"Van der Berg, Arrie",RSA,30-34,01:18:42
2025 Johannesburg I,HYROX PRO,Men,19,3,"Heuer, Robbie",RSA,35-39,01:18:51
2025 Johannesburg I,HYROX PRO,Men,20,7,"Burger, Schalk",RSA,25-29,01:19:41
2025 Johannesburg I,HYROX PRO,Men,21,9,"Venter, Luke",RSA,30-34,01:19:47
2025 Johannesburg I,HYROX PRO,Men,22,3,"Simery, Julien",FRA,40-44,01:21:03
2025 Johannesburg I,HYROX PRO,Men,23,10,"Swart, Lohan",RSA,30-34,01:21:13
2025 Johannesburg I,HYROX PRO,Men,24,11,"Hartzenberg, Martin",RSA,30-34,01:21:39
2025 Johannesburg I,HYROX PRO,Men,25,12,"Winter, Damian",RSA,30-34,01:21:47
2025 Johannesburg I,HYROX PRO,Men,26,4,"Werth, Johann",RSA,35-39,01:21:58
2025 Johannesburg I,HYROX PRO,Men,27,8,"Harvett, Gareth",RSA,25-29,01:22:11
2025 Johannesburg I,HYROX PRO,Men,28,4,"Oussov, Egor",RSA,40-44,01:22:28
2025 Johannesburg I,HYROX PRO,Men,29,1,"McKenzie, Ross",GBR,45-49,01:22:49
2025 Johannesburg I,HYROX PRO,Men,30,13,"Kühn, Damien",RSA,30-34,01:23:42
2025 Johannesburg I,HYROX PRO,Men,31,5,"Kajee, Raees",RSA,35-39,01:23:50
2025 Johannesburg I,HYROX PRO,Men,32,9,"Engelbrecht, Farai",RSA,25-29,01:24:24
2025 Johannesburg I,HYROX PRO,Men,33,14,"Ndlovu, Sibusiso",RSA,30-34,01:24:33
2025 Johannesburg I,HYROX PRO,Men,34,6,"Fredericks, Nolan",RSA,35-39,01:24:46
2025 Johannesburg I,HYROX PRO,Men,35,1,"De Wet, Caelen",RSA,16-24,01:25:08
2025 Johannesburg I,HYROX PRO,Men,36,15,"Wessels, Morne",RSA,30-34,01:25:08
2025 Johannesburg I,HYROX PRO,Men,37,10,"Sanders, Daniel",GBR,25-29,01:25:45
2025 Johannesburg I,HYROX PRO,Men,38,5,"da Silva, Nelson",RSA,40-44,01:26:08
2025 Johannesburg I,HYROX PRO,Men,39,6,"De Lieto, Massimo",ITA,40-44,01:26:45
2025 Johannesburg I,HYROX PRO,Men,40,11,"Lubbe, Pieter",RSA,25-29,01:27:35
2025 Johannesburg I,HYROX PRO,Men,41,1,"Ahnert, Marko",GER,50-54,01:27:38
2025 Johannesburg I,HYROX PRO,Men,42,7,"Nortier, Dane",RSA,35-39,01:27:43
2025 Johannesburg I,HYROX PRO,Men,43,8,"Calitz, Jp",RSA,35-39,01:27:43
2025 Johannesburg I,HYROX PRO,Men,44,2,"Strydom, Tinus",RSA,45-49,01:28:16
2025 Johannesburg I,HYROX PRO,Men,45,16,"Sanza, Bethēl",COD,30-34,01:28:28
2025 Johannesburg I,HYROX PRO,Men,46,17,"Fraser, Richard",RSA,30-34,01:28:28
2025 Johannesburg I,HYROX PRO,Men,47,12,"Molefe, Siya",RSA,25-29,01:28:50
2025 Johannesburg I,HYROX PRO,Men,48,3,"Pienaar, Peter",RSA,45-49,01:29:00
2025 Johannesburg I,HYROX PRO,Men,49,13,"Mpofu, Beverly",RSA,25-29,01:29:38
2025 Johannesburg I,HYROX PRO,Men,50,18,"Jooste, Johan",RSA,30-34,01:29:39
2025 Johannesburg I,HYROX PRO,Men,51,19,"Mkhwanazi, Bongani",RSA,30-34,01:29:42
2025 Johannesburg I,HYROX PRO,Men,52,20,"Banks, Zandre",RSA,30-34,01:29:53
2025 Johannesburg I,HYROX PRO,Men,53,2,"Bunch, Clint",RSA,50-54,01:30:19
2025 Johannesburg I,HYROX PRO,Men,54,21,"Bond, Michael",RSA,30-34,01:30:51
2025 Johannesburg I,HYROX PRO,Men,55,3,"Benatar, Ashley",RSA,50-54,01:30:52
2025 Johannesburg I,HYROX PRO,Men,56,14,"Mbanga, Privy",ZIM,25-29,01:30:55
2025 Johannesburg I,HYROX PRO,Men,57,15,"Latilla-Campbell, Michael",RSA,25-29,01:30:55
2025 Johannesburg I,HYROX PRO,Men,58,16,"von Mansberg, Hilmar",RSA,25-29,01:31:05
2025 Johannesburg I,HYROX PRO,Men,59,22,"Bassingthwaighte, Joshua",RSA,30-34,01:31:43
2025 Johannesburg I,HYROX PRO,Men,60,23,"Sahadew, Ketan",RSA,30-34,01:32:05
2025 Johannesburg I,HYROX PRO,Men,61,17,"Kayembe, John Buana",COD,25-29,01:32:11
2025 Johannesburg I,HYROX PRO,Men,62,18,"Gutsche, Emil",RSA,25-29,01:32:39
2025 Johannesburg I,HYROX PRO,Men,63,7,"Pelser, David",RSA,40-44,01:32:44
2025 Johannesburg I,HYROX PRO,Men,64,19,"Swartz, Elrico",RSA,25-29,01:32:51
2025 Johannesburg I,HYROX PRO,Men,65,24,"Lategan, Ricardo",RSA,30-34,01:33:53
2025 Johannesburg I,HYROX PRO,Men,66,25,"Du Toit, Ruan",RSA,30-34,01:34:57
2025 Johannesburg I,HYROX PRO,Men,67,20,"van Huyssteen, Matthew",RSA,25-29,01:35:12
2025 Johannesburg I,HYROX PRO,Men,68,8,"Kriel, Travis",RSA,40-44,01:35:50
2025 Johannesburg I,HYROX PRO,Men,69,4,"Skinner, Brian",USA,45-49,01:36:37
2025 Johannesburg I,HYROX PRO,Men,70,9,"Smit, Louis",RSA,35-39,01:37:11
2025 Johannesburg I,HYROX PRO,Men,71,10,"Giwa- Osagie, Rehia",GBR,35-39,01:39:55
2025 Johannesburg I,HYROX PRO,Men,72,21,"Buckley, Graeme",RSA,25-29,01:40:32
2025 Johannesburg I,HYROX PRO,Men,73,22,"Walters, Reinhardt",RSA,25-29,01:40:37
2025 Johannesburg I,HYROX PRO,Men,74,9,"Mwawa, Andrew",MAW,40-44,01:41:27
2025 Johannesburg I,HYROX PRO,Men,75,26,"Nkutshweu, Michael",RSA,30-34,01:41:35
2025 Johannesburg I,HYROX PRO,Men,76,2,"Lehobo, Keke",RSA,16-24,01:41:44
2025 Johannesburg I,HYROX PRO,Men,77,10,"Bembe, Lucky",RSA,40-44,01:42:34
2025 Johannesburg I,HYROX PRO,Men,78,27,"Artemides, Anthony",RSA,30-34,01:43:49
2025 Johannesburg I,HYROX PRO,Men,79,28,"Poulton, Jared",RSA,30-34,01:45:47
2025 Johannesburg I,HYROX PRO,Men,80,23,"Valjee, Ameel",RSA,25-29,01:46:46
2025 Johannesburg I,HYROX PRO,Men,81,24,"Tshainca, Phiko",RSA,25-29,01:47:10
2025 Johannesburg I,HYROX PRO,Men,82,11,"Grobbelaar, Danie",RSA,40-44,01:49:07
2025 Johannesburg I,HYROX PRO,Men,83,4,"Fritsch, Thomas",GER,50-54,01:49:47
2025 Johannesburg I,HYROX PRO,Men,84,25,"Rambauli, Sikelelo Junior Rambauli",RSA,25-29,01:51:20
2025 Johannesburg I,HYROX PRO,Men,85,29,"Moipolai, Lebogang",BOT,30-34,01:52:44
2025 Johannesburg I,HYROX PRO,Men,86,12,"Hariparsad, Sanveer",RSA,40-44,01:52:47
2025 Johannesburg I,HYROX PRO,Men,87,5,"Fritz, Jason",RSA,50-54,01:53:08
2025 Johannesburg I,HYROX PRO,Men,88,11,"Moffat, John",RSA,35-39,01:54:31
2025 Johannesburg I,HYROX PRO,Men,89,3,"Joseph, Jordan",RSA,16-24,01:55:19
