Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Karlsruhe,HYROX PRO DOUBLES,Men,1,1,"Lasse Pips, Rene Groinig",,MU29,00:54:07
2025 Karlsruhe,HYROX PRO DOUBLES,Men,2,1,"Philipp Wamser, Georg Leiseder",,30-34,00:54:23
2025 Karlsruhe,HYROX PRO DOUBLES,Men,3,2,"Markus Rhöse, Jaafar Moumen",,30-34,00:55:04
2025 Karlsruhe,HYROX PRO DOUBLES,Men,4,3,"Sascha Ahrens, Christopher von Stelzer",,30-34,00:56:04
2025 Karlsruhe,HYROX PRO DOUBLES,Men,5,4,"Danny Loureiro, Yann Carballa",,30-34,00:56:13
2025 Karlsruhe,HYROX PRO DOUBLES,Men,6,2,"Janik Hoffmann, Luis Schnuer",,MU29,00:56:21
2025 Karlsruhe,HYROX PRO DOUBLES,Men,7,5,"Piers Plowman, Joseph Wells",,30-34,00:56:39
2025 Karlsruhe,HYROX PRO DOUBLES,Men,8,3,"Daniel Szadorf, Ralf Bittig",,MU29,00:57:49
2025 Karlsruhe,HYROX PRO DOUBLES,Men,9,4,"Manuel Jandrijevic, Daniel Leibinger",,MU29,00:58:23
2025 Karlsruhe,HYROX PRO DOUBLES,Men,10,6,"Dominik Karl, Florian Staudt",,30-34,00:58:31
2025 Karlsruhe,HYROX PRO DOUBLES,Men,11,5,"Leon Lücke, Daniel Benz",,MU29,00:58:56
2025 Karlsruhe,HYROX PRO DOUBLES,Men,12,6,"Johannes Klos, Nils Stüber",,MU29,01:00:53
2025 Karlsruhe,HYROX PRO DOUBLES,Men,13,7,"Dom Stroh, Manuel Tüngler",,MU29,01:01:17
2025 Karlsruhe,HYROX PRO DOUBLES,Men,14,7,"Dani Ortiz Ramos, Mathias Moosmann",,30-34,01:01:20
2025 Karlsruhe,HYROX PRO DOUBLES,Men,15,8,"Clement Huber, Ousmane Sene",,30-34,01:01:26
2025 Karlsruhe,HYROX PRO DOUBLES,Men,16,9,"Patrick Nürnberger, Michael Oswald",,30-34,01:01:27
2025 Karlsruhe,HYROX PRO DOUBLES,Men,17,1,"Sylvester Bunt van de, Maarten Nijboer",,40-44,01:01:43
2025 Karlsruhe,HYROX PRO DOUBLES,Men,18,10,"Patrick Daniel, Daniel Endres",,30-34,01:02:09
2025 Karlsruhe,HYROX PRO DOUBLES,Men,19,11,"Daniel Breinig, Marcel Mehren",,30-34,01:02:17
2025 Karlsruhe,HYROX PRO DOUBLES,Men,20,1,"Thilo Schmalkoke, Jochen Binder",,50-54,01:02:24
2025 Karlsruhe,HYROX PRO DOUBLES,Men,21,8,"Robert Merkel, Hermann Aust",,MU29,01:02:29
2025 Karlsruhe,HYROX PRO DOUBLES,Men,22,12,"David Jesse, Fabian Weißenberger",,30-34,01:02:31
2025 Karlsruhe,HYROX PRO DOUBLES,Men,23,13,"Ricky Reinspach, Faris Fattohi",,30-34,01:02:41
2025 Karlsruhe,HYROX PRO DOUBLES,Men,24,14,"Joachim Wolf, Calvin Camehl",,30-34,01:02:47
2025 Karlsruhe,HYROX PRO DOUBLES,Men,25,15,"Denis Holdschick, Max Gebhardt",,30-34,01:02:50
2025 Karlsruhe,HYROX PRO DOUBLES,Men,26,9,"Shannon Pierre Borowsky, Philipp Lehmberg",,MU29,01:03:13
2025 Karlsruhe,HYROX PRO DOUBLES,Men,27,16,"Kilian Jonasch, Patrick Spyra",,30-34,01:03:22
2025 Karlsruhe,HYROX PRO DOUBLES,Men,28,17,"Filip Nikolic, Lars Peckmann",,30-34,01:03:29
2025 Karlsruhe,HYROX PRO DOUBLES,Men,29,2,"Xavier Gautier, Alexandre Carpentier",,40-44,01:03:34
2025 Karlsruhe,HYROX PRO DOUBLES,Men,30,3,"Rafal Różański, Radoslaw Koczwara",,40-44,01:03:44
2025 Karlsruhe,HYROX PRO DOUBLES,Men,31,18,"Philip Nastke, Domenik Pickard",,30-34,01:03:53
2025 Karlsruhe,HYROX PRO DOUBLES,Men,32,19,"Raphaël Zaninetti, Valentin Zaninetti",,30-34,01:03:54
2025 Karlsruhe,HYROX PRO DOUBLES,Men,33,20,"Claudio Sorgente, Alexander Petrovic",,30-34,01:04:29
2025 Karlsruhe,HYROX PRO DOUBLES,Men,34,4,"Mehdi Zaghbani, David Ecoffard",,40-44,01:04:38
2025 Karlsruhe,HYROX PRO DOUBLES,Men,35,21,"Benoit Mesnil, Jean-Charles Desvignes",,30-34,01:05:08
2025 Karlsruhe,HYROX PRO DOUBLES,Men,36,10,"Joe Richard, Cameron Massey",,MU29,01:05:13
2025 Karlsruhe,HYROX PRO DOUBLES,Men,37,11,"Justus Dietrich, Lorenz Handwerk",,MU29,01:05:15
2025 Karlsruhe,HYROX PRO DOUBLES,Men,38,22,"René Dau, Lennart Küster",,30-34,01:05:34
2025 Karlsruhe,HYROX PRO DOUBLES,Men,39,23,"Joffrey Eder, Jerome Kaiser",,30-34,01:05:50
2025 Karlsruhe,HYROX PRO DOUBLES,Men,40,24,"Kevin Schulz, Patrick Neumann",,30-34,01:05:52
2025 Karlsruhe,HYROX PRO DOUBLES,Men,41,25,"Yannick Romeo Fongue Tchamo, Chris Genning",,30-34,01:06:04
2025 Karlsruhe,HYROX PRO DOUBLES,Men,42,26,"Timo Sigloch, Tim Heermann",,30-34,01:06:49
2025 Karlsruhe,HYROX PRO DOUBLES,Men,43,12,"Max Schmitt, Jannis Schmitt",,MU29,01:07:14
2025 Karlsruhe,HYROX PRO DOUBLES,Men,44,13,"Moritz Kugler, Lukas Berger",,MU29,01:07:25
2025 Karlsruhe,HYROX PRO DOUBLES,Men,45,27,"Michael Füth, Julius Bornkamm",,30-34,01:07:27
2025 Karlsruhe,HYROX PRO DOUBLES,Men,46,28,"Andreas Lütkewitte, Brandon D‘Mellow",,30-34,01:07:32
2025 Karlsruhe,HYROX PRO DOUBLES,Men,47,29,"jonas Gübler, Tobias Tingler",,30-34,01:07:45
2025 Karlsruhe,HYROX PRO DOUBLES,Men,48,5,"Fabio Elia, Matthias Fischer",,40-44,01:08:01
2025 Karlsruhe,HYROX PRO DOUBLES,Men,49,30,"Jérémy Zimmermann, Jérémy Despres",,30-34,01:08:11
2025 Karlsruhe,HYROX PRO DOUBLES,Men,50,14,"Sander Roos, Andreas Gräfl",,MU29,01:08:26
2025 Karlsruhe,HYROX PRO DOUBLES,Men,51,6,"Andreas Eberle, Sven Bleh",,40-44,01:08:32
2025 Karlsruhe,HYROX PRO DOUBLES,Men,52,7,"Claudio Bruno, Dario Pelusi",,40-44,01:08:40
2025 Karlsruhe,HYROX PRO DOUBLES,Men,53,31,"Michael Schober, Nicolai Frank",,30-34,01:09:10
2025 Karlsruhe,HYROX PRO DOUBLES,Men,54,8,"Laurent Hoeltgen, Oliver Juric",,40-44,01:09:21
2025 Karlsruhe,HYROX PRO DOUBLES,Men,55,32,"Sébastien Lumia, Anthony Simon",,30-34,01:09:27
2025 Karlsruhe,HYROX PRO DOUBLES,Men,56,15,"Tadeus Franck, Jannis Ziegeltrum",,MU29,01:09:48
2025 Karlsruhe,HYROX PRO DOUBLES,Men,57,16,"Franco Bortoluzzi, Matthias Blöchlinger",,MU29,01:10:00
2025 Karlsruhe,HYROX PRO DOUBLES,Men,58,33,"Florian Thomas, Johannes Frank",,30-34,01:10:00
2025 Karlsruhe,HYROX PRO DOUBLES,Men,59,34,"David Pena, Jeff Kiesch",,30-34,01:10:05
2025 Karlsruhe,HYROX PRO DOUBLES,Men,60,35,"Romain Miot, Arnaud GABRIELE",,30-34,01:10:37
2025 Karlsruhe,HYROX PRO DOUBLES,Men,61,36,"Frederik Knieß, Philip Roßbach",,30-34,01:10:40
2025 Karlsruhe,HYROX PRO DOUBLES,Men,62,37,"Andreas Jäger, Sebastian Wagner",,30-34,01:10:50
2025 Karlsruhe,HYROX PRO DOUBLES,Men,63,38,"German Weiland, Florian Saile",,30-34,01:10:58
2025 Karlsruhe,HYROX PRO DOUBLES,Men,64,39,"Tobias Braun, Phillip Biermann",,30-34,01:11:24
2025 Karlsruhe,HYROX PRO DOUBLES,Men,65,17,"Julian Pecho, Matthias Ruschig",,MU29,01:11:33
2025 Karlsruhe,HYROX PRO DOUBLES,Men,66,9,"Andreas Fehn, Alex Berti",,40-44,01:11:45
2025 Karlsruhe,HYROX PRO DOUBLES,Men,67,40,"Duc Hung Nguyen, Minh Nguyen",,30-34,01:11:54
2025 Karlsruhe,HYROX PRO DOUBLES,Men,68,41,"Philipp Holz, Fabio Troisi",,30-34,01:12:07
2025 Karlsruhe,HYROX PRO DOUBLES,Men,69,42,"Florian Groshaeny, Fabien Funfschilling",,30-34,01:12:12
2025 Karlsruhe,HYROX PRO DOUBLES,Men,70,2,"Robert Schiller, Thomas Mierke",,50-54,01:12:38
2025 Karlsruhe,HYROX PRO DOUBLES,Men,71,43,"Daniel Springer, Branko Arandjelovic",,30-34,01:12:53
2025 Karlsruhe,HYROX PRO DOUBLES,Men,72,44,"Pierre Moeckel, Markus Maier",,30-34,01:13:49
2025 Karlsruhe,HYROX PRO DOUBLES,Men,73,45,"Waldemar Melmann, Christian Höchsmann",,30-34,01:15:08
2025 Karlsruhe,HYROX PRO DOUBLES,Men,74,10,"Rolf Keller, Marius Müller",,40-44,01:15:28
2025 Karlsruhe,HYROX PRO DOUBLES,Men,75,18,"Dennis Gerhard, Alexander Kreher",,MU29,01:15:30
2025 Karlsruhe,HYROX PRO DOUBLES,Men,76,19,"Jonas Pohl, Finn Auerswald",,MU29,01:15:40
