Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Katowice,HYROX PRO,Men,1,1,"Wynn, Jonathon",AUS,35-39,00:56:40
2025 Katowice,HYROX PRO,Men,2,1,"Mccroary, Liam",GBR,25-29,00:57:32
2025 Katowice,HYROX PRO,Men,3,2,"Williamson, Jake",GBR,25-29,00:58:47
2025 Katowice,HYROX PRO,Men,4,1,"Fricker, Oli",GBR,30-34,00:59:47
2025 Katowice,HYROX PRO,Men,5,3,"Russell, Ollie",GBR,25-29,01:00:46
2025 Katowice,HYROX PRO,Men,6,4,"Sutherland, Harry",GBR,25-29,01:00:57
2025 Katowice,HYROX PRO,Men,7,1,"Williams, Harvey",GBR,16-24,01:02:27
2025 Katowice,HYROX PRO,Men,8,5,"Oby obi, Junior",BEL,25-29,01:02:54
2025 Katowice,HYROX PRO,Men,9,2,"Botterill, Charlie",GBR,16-24,01:03:19
2025 Katowice,HYROX PRO,Men,10,2,"Faenza, Jean Claude",MLT,30-34,01:04:12
2025 Katowice,HYROX PRO,Men,11,6,"Matysiak, Marcin",POL,25-29,01:04:56
2025 Katowice,HYROX PRO,Men,12,3,"Woodward, Jeff",GBR,30-34,01:05:27
2025 Katowice,HYROX PRO,Men,13,4,"Caruana, Mark",MLT,30-34,01:05:31
2025 Katowice,HYROX PRO,Men,14,5,"Merlino, Giuseppe",ITA,30-34,01:05:42
2025 Katowice,HYROX PRO,Men,15,6,"Darmanin, Kyle",MLT,30-34,01:06:01
2025 Katowice,HYROX PRO,Men,16,2,"Spiteri, Wayne",MLT,35-39,01:06:23
2025 Katowice,HYROX PRO,Men,17,7,"Allan, Jake",GBR,25-29,01:06:33
2025 Katowice,HYROX PRO,Men,18,3,"O Keffe, Darragh",IRL,16-24,01:06:41
2025 Katowice,HYROX PRO,Men,19,3,"Towler, Anthony",GBR,35-39,01:07:14
2025 Katowice,HYROX PRO,Men,20,7,"Kozioł, Kamil",POL,30-34,01:07:17
2025 Katowice,HYROX PRO,Men,21,8,"Holona, Marcin",POL,30-34,01:07:34
2025 Katowice,HYROX PRO,Men,22,9,"Ellul, Matthew",MLT,30-34,01:07:37
2025 Katowice,HYROX PRO,Men,23,4,"Falzon, Keith",MLT,35-39,01:07:39
2025 Katowice,HYROX PRO,Men,24,8,"Casap, Vladimir",MDA,25-29,01:07:45
2025 Katowice,HYROX PRO,Men,25,10,"Daly, Johnny",IRL,30-34,01:07:50
2025 Katowice,HYROX PRO,Men,26,9,"Gibson, George",GBR,25-29,01:08:07
2025 Katowice,HYROX PRO,Men,27,11,"Berak, Robert",POL,30-34,01:08:13
2025 Katowice,HYROX PRO,Men,28,5,"Płóciennik, Piotr",POL,35-39,01:08:27
2025 Katowice,HYROX PRO,Men,29,6,"Fendt, Christian",GER,35-39,01:08:31
2025 Katowice,HYROX PRO,Men,30,12,"Togo, Jonas",DEN,30-34,01:08:40
2025 Katowice,HYROX PRO,Men,31,7,"Kilkenny, Sean",GBR,35-39,01:08:44
2025 Katowice,HYROX PRO,Men,32,1,"ailam, farid",FRA,40-44,01:08:51
2025 Katowice,HYROX PRO,Men,33,2,"Guerra, Pedro",POR,40-44,01:09:25
2025 Katowice,HYROX PRO,Men,34,4,"Camilleri, Alister",MLT,16-24,01:09:38
2025 Katowice,HYROX PRO,Men,35,8,"Woodward, Bradley",GBR,35-39,01:09:42
2025 Katowice,HYROX PRO,Men,36,10,"Stienenbos, Chris",NED,25-29,01:09:48
2025 Katowice,HYROX PRO,Men,37,5,"Jennings, Mark",GBR,16-24,01:09:52
2025 Katowice,HYROX PRO,Men,38,13,"Fitzgerald, John",IRL,30-34,01:09:54
2025 Katowice,HYROX PRO,Men,39,1,"Campbell, Ian",GBR,45-49,01:11:09
2025 Katowice,HYROX PRO,Men,40,11,"Harper, Sam",GBR,25-29,01:11:43
2025 Katowice,HYROX PRO,Men,41,6,"Kühne, Mikkel",DEN,16-24,01:11:43
2025 Katowice,HYROX PRO,Men,42,7,"Weber, Marek",POL,16-24,01:11:49
2025 Katowice,HYROX PRO,Men,43,14,"Godziek, Marek",POL,30-34,01:11:49
2025 Katowice,HYROX PRO,Men,44,9,"Hübner, Daniel",GER,35-39,01:11:57
2025 Katowice,HYROX PRO,Men,45,15,"Jeziorski, Kaj",GER,30-34,01:12:19
2025 Katowice,HYROX PRO,Men,46,12,"Nangle, Mark",IRL,25-29,01:12:34
2025 Katowice,HYROX PRO,Men,47,13,"Kuczera, Artur",POL,25-29,01:13:09
2025 Katowice,HYROX PRO,Men,48,3,"Koczwara, Radoslaw",POL,40-44,01:13:13
2025 Katowice,HYROX PRO,Men,49,16,"Wunderlich, Tobias",GER,30-34,01:13:19
2025 Katowice,HYROX PRO,Men,50,2,"Budzisz, Krzysztof",POL,45-49,01:13:24
2025 Katowice,HYROX PRO,Men,51,10,"Broja, Rafał",POL,35-39,01:13:38
2025 Katowice,HYROX PRO,Men,52,14,"Alberg, Mathias Jul",DEN,25-29,01:13:45
2025 Katowice,HYROX PRO,Men,53,3,"Heron, Christopher",GBR,45-49,01:13:50
2025 Katowice,HYROX PRO,Men,54,17,"Jagodziński, Karol",POL,30-34,01:14:03
2025 Katowice,HYROX PRO,Men,55,15,"Hammond Briton, Kai",GBR,25-29,01:14:11
2025 Katowice,HYROX PRO,Men,56,18,"Hocine, Sakou",ALG,30-34,01:14:11
2025 Katowice,HYROX PRO,Men,57,19,"Malski, Paweł",POL,30-34,01:14:27
2025 Katowice,HYROX PRO,Men,58,20,"Kułak, Piotr",POL,30-34,01:14:28
2025 Katowice,HYROX PRO,Men,59,4,"Michalski, Mariusz",POL,40-44,01:14:42
2025 Katowice,HYROX PRO,Men,60,21,"Mlitzko, Philip",GER,30-34,01:15:20
2025 Katowice,HYROX PRO,Men,61,22,"Kwieciński, Alek",POL,30-34,01:15:26
2025 Katowice,HYROX PRO,Men,62,16,"Ekberg, William",NOR,25-29,01:15:48
2025 Katowice,HYROX PRO,Men,63,23,"Kosek, Mariusz",POL,30-34,01:15:57
2025 Katowice,HYROX PRO,Men,64,1,"Adamski, Janusz",POL,55-59,01:16:04
2025 Katowice,HYROX PRO,Men,65,24,"Wesoły, Patryk",POL,30-34,01:16:11
2025 Katowice,HYROX PRO,Men,66,11,"Pokryszka, Bartosz",POL,35-39,01:16:43
2025 Katowice,HYROX PRO,Men,67,17,"Střeleček, Marek",CZE,25-29,01:17:27
2025 Katowice,HYROX PRO,Men,68,18,"Torró, Oriol",ESP,25-29,01:17:36
2025 Katowice,HYROX PRO,Men,69,19,"Mataj, Phil",POL,25-29,01:17:52
2025 Katowice,HYROX PRO,Men,70,4,"Sebeikat, Kay-Uwe",GER,45-49,01:17:54
2025 Katowice,HYROX PRO,Men,71,25,"Wiśniewski, Arkadiusz",POL,30-34,01:18:05
2025 Katowice,HYROX PRO,Men,72,5,"Schlegel, Petr",CZE,40-44,01:18:05
2025 Katowice,HYROX PRO,Men,73,6,"Ullsperger, Andre",GER,40-44,01:18:11
2025 Katowice,HYROX PRO,Men,74,26,"Gajewski, Jarosław",POL,30-34,01:18:16
2025 Katowice,HYROX PRO,Men,75,20,"Hubert, Stanisław",POL,25-29,01:18:19
2025 Katowice,HYROX PRO,Men,76,5,"Marshall, Richard",GBR,45-49,01:18:27
2025 Katowice,HYROX PRO,Men,77,27,"Jaloveckas, Julius",LTU,30-34,01:18:46
2025 Katowice,HYROX PRO,Men,78,7,"Eberhardt, Hannes",GER,40-44,01:19:05
2025 Katowice,HYROX PRO,Men,79,8,"Kővári, Domonkos",HUN,16-24,01:19:13
2025 Katowice,HYROX PRO,Men,80,12,"Chalimoniuk, Piotr",POL,35-39,01:19:27
2025 Katowice,HYROX PRO,Men,81,9,"Andrzejczak, Bartosz",POL,16-24,01:19:36
2025 Katowice,HYROX PRO,Men,82,8,"Třešňák, Radim",CZE,40-44,01:19:39
2025 Katowice,HYROX PRO,Men,83,10,"Warner, Matthew",GBR,16-24,01:19:40
2025 Katowice,HYROX PRO,Men,84,28,"Winters, Jesmar",MLT,30-34,01:19:45
2025 Katowice,HYROX PRO,Men,85,9,"Mirek, Mariusz",POL,40-44,01:20:03
2025 Katowice,HYROX PRO,Men,86,11,"Bučar, Luka",SLO,16-24,01:20:29
2025 Katowice,HYROX PRO,Men,87,29,"Kempny, Paweł",POL,30-34,01:20:30
2025 Katowice,HYROX PRO,Men,88,30,"Machej, Tomasz",POL,30-34,01:21:01
2025 Katowice,HYROX PRO,Men,89,31,"Tarnowski, Mikołaj",POL,30-34,01:21:02
2025 Katowice,HYROX PRO,Men,90,32,"Klopan, Peter",SVK,30-34,01:21:21
2025 Katowice,HYROX PRO,Men,91,33,"Milligan, David",IRL,30-34,01:21:36
2025 Katowice,HYROX PRO,Men,92,10,"Broja, Adrian",POL,40-44,01:21:40
2025 Katowice,HYROX PRO,Men,93,1,"Wiechert, Michael",GER,50-54,01:21:51
2025 Katowice,HYROX PRO,Men,94,34,"Lipa, Mateusz",POL,30-34,01:21:52
2025 Katowice,HYROX PRO,Men,95,35,"Berzins, Rudolfs",LAT,30-34,01:21:56
2025 Katowice,HYROX PRO,Men,96,13,"Briel, Sebastian",GER,35-39,01:21:58
2025 Katowice,HYROX PRO,Men,97,11,"Mrozowski, Tomasz",POL,40-44,01:22:04
2025 Katowice,HYROX PRO,Men,98,6,"Borggren, Jonatan",SWE,45-49,01:22:18
2025 Katowice,HYROX PRO,Men,99,2,"Rappert, Brian",GBR,50-54,01:22:20
2025 Katowice,HYROX PRO,Men,100,3,"Attermalm, Joakim",SWE,50-54,01:22:42
2025 Katowice,HYROX PRO,Men,101,36,"Sveinungsen, Andreas",NOR,30-34,01:23:56
2025 Katowice,HYROX PRO,Men,102,21,"Surowczyk, Piotr",POL,25-29,01:24:12
2025 Katowice,HYROX PRO,Men,103,4,"Gillespie, Robert",GBR,50-54,01:24:22
2025 Katowice,HYROX PRO,Men,104,37,"Hildebrand, Kacper",POL,30-34,01:24:26
2025 Katowice,HYROX PRO,Men,105,22,"Tatarczyk, Kacper",POL,25-29,01:24:26
2025 Katowice,HYROX PRO,Men,106,12,"Leśniewski, Łukasz",POL,40-44,01:25:07
2025 Katowice,HYROX PRO,Men,107,12,"Klimeš, Jakub",CZE,16-24,01:25:09
2025 Katowice,HYROX PRO,Men,108,5,"NTATSIS, ANASTASIOS",GRE,50-54,01:25:25
2025 Katowice,HYROX PRO,Men,109,13,"Johnstone, Dan",GBR,40-44,01:25:32
2025 Katowice,HYROX PRO,Men,110,13,"Mieloch, Piotr",POL,16-24,01:25:48
2025 Katowice,HYROX PRO,Men,111,7,"Johansson, Håkan",SWE,45-49,01:26:05
2025 Katowice,HYROX PRO,Men,112,8,"Heslop, Damian",GBR,45-49,01:26:09
2025 Katowice,HYROX PRO,Men,113,38,"Walker, Stephen",GBR,30-34,01:26:36
2025 Katowice,HYROX PRO,Men,114,14,"Peters, Toby",GBR,16-24,01:26:44
2025 Katowice,HYROX PRO,Men,115,14,"Matuschzak, Marco",GER,40-44,01:26:51
2025 Katowice,HYROX PRO,Men,116,14,"Jancik, Tomas",CZE,35-39,01:27:06
2025 Katowice,HYROX PRO,Men,117,15,"Kazmierski, Maciej",POL,40-44,01:27:24
2025 Katowice,HYROX PRO,Men,118,16,"Król, Łukasz",POL,40-44,01:27:32
2025 Katowice,HYROX PRO,Men,119,15,"Pietrakowski, Jakub",POL,16-24,01:27:52
2025 Katowice,HYROX PRO,Men,120,15,"Ugland, Thomas Oscar",NOR,35-39,01:27:53
2025 Katowice,HYROX PRO,Men,121,17,"Grela, Gregor",GER,40-44,01:28:01
2025 Katowice,HYROX PRO,Men,122,16,"Sherriff, Will",GBR,16-24,01:28:01
2025 Katowice,HYROX PRO,Men,123,39,"Truby, Oliver",GBR,30-34,01:28:12
2025 Katowice,HYROX PRO,Men,124,18,"Rzepecki, Dariusz",POL,40-44,01:28:18
2025 Katowice,HYROX PRO,Men,125,6,"Blowes, Ben",GBR,50-54,01:28:29
2025 Katowice,HYROX PRO,Men,126,40,"Adamowicz, Szymon",POL,30-34,01:28:39
2025 Katowice,HYROX PRO,Men,127,41,"Holaza, Michal",SVK,30-34,01:28:41
2025 Katowice,HYROX PRO,Men,128,19,"Henze, Tobias",GER,40-44,01:28:56
2025 Katowice,HYROX PRO,Men,129,20,"Matihsen, Jan Eirik",NOR,40-44,01:28:59
2025 Katowice,HYROX PRO,Men,130,21,"Grave, Jorge",POR,40-44,01:29:23
2025 Katowice,HYROX PRO,Men,131,42,"Szopa, Adrian",POL,30-34,01:29:25
2025 Katowice,HYROX PRO,Men,132,17,"Bušek, Tomáš",CZE,16-24,01:29:34
2025 Katowice,HYROX PRO,Men,133,16,"Siodmiak, Mikołaj",POL,35-39,01:29:48
2025 Katowice,HYROX PRO,Men,134,9,"Kollár, Peter",SVK,45-49,01:29:58
2025 Katowice,HYROX PRO,Men,135,23,"Seroczyński, Aleks",POL,25-29,01:30:37
