Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Malaga,HYROX PRO - Overall,Men,1,1,"Heck, Gabe",USA,30-34,00:57:57
2025 Malaga,HYROX PRO - Overall,Men,2,1,"Hugemarq, Hugo",SWE,25-29,00:58:21
2025 Malaga,HYROX PRO - Overall,Men,3,2,"Russell, Ollie",GBR,25-29,00:58:56
2025 Malaga,HYROX PRO - Overall,Men,4,2,"Gast, Florian",GER,30-34,00:59:44
2025 Malaga,HYROX PRO - Overall,Men,5,3,"Steger, Kenny",SWE,25-29,00:59:50
2025 Malaga,HYROX PRO - Overall,Men,6,3,"Wegorzewski, Maciej",POL,30-34,01:01:54
2025 Malaga,HYROX PRO - Overall,Men,7,1,"Benzon, Giovanni",ITA,16-24,01:02:06
2025 Malaga,HYROX PRO - Overall,Men,8,4,"Dyer, George",GBR,25-29,01:02:24
2025 Malaga,HYROX PRO - Overall,Men,9,1,"Woodman, Aaron",GBR,35-39,01:02:51
2025 Malaga,HYROX PRO - Overall,Men,10,4,"Mcgregor, Liam",GBR,30-34,01:04:00
2025 Malaga,HYROX PRO - Overall,Men,11,5,"Philson, Michael",IRL,25-29,01:04:03
2025 Malaga,HYROX PRO - Overall,Men,12,6,"Bird, Harry",GBR,25-29,01:04:11
2025 Malaga,HYROX PRO - Overall,Men,13,5,"Otoole, David",GBR,30-34,01:04:14
2025 Malaga,HYROX PRO - Overall,Men,14,6,"Knudsen Tveit, Markus",NOR,30-34,01:04:43
2025 Malaga,HYROX PRO - Overall,Men,15,7,"Nota, Dan",GBR,25-29,01:05:06
2025 Malaga,HYROX PRO - Overall,Men,16,7,"Arturo Barral, Jorge",ESP,30-34,01:05:15
2025 Malaga,HYROX PRO - Overall,Men,17,8,"Van Overdam, Luc",NED,25-29,01:05:16
2025 Malaga,HYROX PRO - Overall,Men,18,2,"Ramalheira, Diogo",POR,35-39,01:05:25
2025 Malaga,HYROX PRO - Overall,Men,19,9,"Maljaars, Bart",NED,25-29,01:05:55
2025 Malaga,HYROX PRO - Overall,Men,20,8,"Pierce, Kane",GBR,30-34,01:06:03
2025 Malaga,HYROX PRO - Overall,Men,21,2,"Seetsen, Joey",NED,16-24,01:06:15
2025 Malaga,HYROX PRO - Overall,Men,22,10,"Murray, Ryan",GBR,25-29,01:06:15
2025 Malaga,HYROX PRO - Overall,Men,23,9,"Ramsey, Kieran",GBR,30-34,01:06:18
2025 Malaga,HYROX PRO - Overall,Men,24,3,"Middlemiss, Hamish",GBR,35-39,01:06:28
2025 Malaga,HYROX PRO - Overall,Men,25,10,"Murphy, Conor",IRL,30-34,01:06:28
2025 Malaga,HYROX PRO - Overall,Men,26,11,"Cunha, Joshua",POR,25-29,01:06:34
2025 Malaga,HYROX PRO - Overall,Men,27,1,"Knight, Thomas",GBR,40-44,01:06:37
2025 Malaga,HYROX PRO - Overall,Men,28,12,"Lee, Kane",GBR,25-29,01:06:50
2025 Malaga,HYROX PRO - Overall,Men,29,11,"Joud, Hugo",FRA,30-34,01:07:06
2025 Malaga,HYROX PRO - Overall,Men,30,13,"Cristiano Ruggier, Matti",MLT,25-29,01:07:27
2025 Malaga,HYROX PRO - Overall,Men,31,14,"Rutten, Tyler",GBR,25-29,01:07:43
2025 Malaga,HYROX PRO - Overall,Men,32,12,"Lee, Tristan",GBR,30-34,01:08:06
2025 Malaga,HYROX PRO - Overall,Men,33,2,"Marson, Kev",GBR,40-44,01:08:13
2025 Malaga,HYROX PRO - Overall,Men,34,3,"Derby, Simon",IRL,40-44,01:08:15
2025 Malaga,HYROX PRO - Overall,Men,35,3,"Harrison, Paul",GBR,16-24,01:08:41
2025 Malaga,HYROX PRO - Overall,Men,36,15,"Santer, Willy",SUI,25-29,01:08:45
2025 Malaga,HYROX PRO - Overall,Men,37,16,"Casap, Vladimir",MDA,25-29,01:08:52
2025 Malaga,HYROX PRO - Overall,Men,38,17,"Lingard, Greg",AUS,25-29,01:09:04
2025 Malaga,HYROX PRO - Overall,Men,39,18,"Gilboy, James",GBR,25-29,01:09:09
2025 Malaga,HYROX PRO - Overall,Men,40,4,"Guidetti, Giovanni",ITA,35-39,01:09:13
2025 Malaga,HYROX PRO - Overall,Men,41,19,"Hogge, Adam",GBR,25-29,01:09:30
2025 Malaga,HYROX PRO - Overall,Men,42,13,"Tyrrell, Samuel",GBR,30-34,01:09:31
2025 Malaga,HYROX PRO - Overall,Men,43,14,"Bouhana, Antoine",FRA,30-34,01:09:34
2025 Malaga,HYROX PRO - Overall,Men,44,5,"Faulkner, Jamie",IRL,35-39,01:09:36
2025 Malaga,HYROX PRO - Overall,Men,45,6,"Beltran Guerrero, Jose",ESP,35-39,01:09:37
2025 Malaga,HYROX PRO - Overall,Men,46,20,"Engberg, Svante",SWE,25-29,01:09:39
2025 Malaga,HYROX PRO - Overall,Men,47,7,"Zakowany, Emil",POL,35-39,01:10:09
2025 Malaga,HYROX PRO - Overall,Men,48,15,"Flood, Jeffo",IRL,30-34,01:10:32
2025 Malaga,HYROX PRO - Overall,Men,49,21,"Courty, Ben",GBR,25-29,01:10:43
2025 Malaga,HYROX PRO - Overall,Men,50,16,"Rice, Dylan",IRL,30-34,01:10:53
2025 Malaga,HYROX PRO - Overall,Men,51,22,"Pavon Iñurrieta, Javier",ESP,25-29,01:10:57
2025 Malaga,HYROX PRO - Overall,Men,52,4,"De La Rubia Bernabeu, Guillermo",ESP,40-44,01:11:01
2025 Malaga,HYROX PRO - Overall,Men,53,5,"Martín-Romo Parra, Santiago",ESP,40-44,01:12:06
2025 Malaga,HYROX PRO - Overall,Men,54,8,"Oumeddour, Kherry",FRA,35-39,01:12:07
2025 Malaga,HYROX PRO - Overall,Men,55,6,"Ryan, Dominic",IRL,40-44,01:12:41
2025 Malaga,HYROX PRO - Overall,Men,56,1,"Barbosa, Marcos",POR,45-49,01:12:47
2025 Malaga,HYROX PRO - Overall,Men,57,9,"Vasut, Guillaume",FRA,35-39,01:12:58
2025 Malaga,HYROX PRO - Overall,Men,58,17,"Lynam, Andy",IRL,30-34,01:13:09
