Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Manchester,HYROX PRO DOUBLES,Men,1,1,"Charlie BOTTERILL, Travis OWLES",,MU29,00:53:26
2025 Manchester,HYROX PRO DOUBLES,Men,2,2,"Liam McCroary, Danny RAE",,MU29,00:53:49
2025 Manchester,HYROX PRO DOUBLES,Men,3,3,"Michael ODONNELL, Jude REYNOLDS",,MU29,00:54:16
2025 Manchester,HYROX PRO DOUBLES,Men,4,1,"Matt GREEN, Christopher DE SOUZA",,30-34,00:54:56
2025 Manchester,HYROX PRO DOUBLES,Men,5,4,"George WOOTTEN, Ollie RUSSELL",,MU29,00:55:23
2025 Manchester,HYROX PRO DOUBLES,Men,6,2,"Garry Docherty, Scott Highlands",,30-34,00:56:07
2025 Manchester,HYROX PRO DOUBLES,Men,7,3,"Thomas READING, Will TOBIN",,30-34,00:56:31
2025 Manchester,HYROX PRO DOUBLES,Men,8,1,"Andrew LANGLEY, John TOWNSEND",,40-44,00:56:46
2025 Manchester,HYROX PRO DOUBLES,Men,9,5,"Thomas AUGAITIS, Mark JENNINGS",,MU29,00:56:50
2025 Manchester,HYROX PRO DOUBLES,Men,10,4,"Matthew BLOOR, Danny USCROFT-MOULD",,30-34,00:57:00
2025 Manchester,HYROX PRO DOUBLES,Men,11,6,"Daniel KEANE, Matthew WHITWORTH",,MU29,00:57:02
2025 Manchester,HYROX PRO DOUBLES,Men,12,7,"Mark HOLLIMAN, Scott MACAULAY",,MU29,00:57:14
2025 Manchester,HYROX PRO DOUBLES,Men,13,8,"Ben GARNER, Callum BAYNES",,MU29,00:57:25
2025 Manchester,HYROX PRO DOUBLES,Men,14,9,"Joshua GUPTA, Lukos KING",,MU29,00:58:12
2025 Manchester,HYROX PRO DOUBLES,Men,15,5,"Charlie RODMAN, Max RODMAN",,30-34,00:58:13
2025 Manchester,HYROX PRO DOUBLES,Men,16,6,"Isaac LONGDEN, Gary MCNAMARA",,30-34,00:58:24
2025 Manchester,HYROX PRO DOUBLES,Men,17,7,"James DEAG, Shane MORRIS",,30-34,00:58:28
2025 Manchester,HYROX PRO DOUBLES,Men,18,2,"Aaron MCPHEE, Andy DUNKERLEY",,40-44,00:58:38
2025 Manchester,HYROX PRO DOUBLES,Men,19,10,"Callum ROWLANDS, Ryan MERRILL",,MU29,00:58:54
2025 Manchester,HYROX PRO DOUBLES,Men,20,11,"Jake WHITE, Jordan WHITE",,MU29,00:59:11
2025 Manchester,HYROX PRO DOUBLES,Men,20,8,"Jordan M BRAME, Tom STELL",,30-34,00:59:11
2025 Manchester,HYROX PRO DOUBLES,Men,22,9,"James PHILLIPS, Stu BOWERS",,30-34,00:59:21
2025 Manchester,HYROX PRO DOUBLES,Men,23,10,"Lewis SEVILLE, Lincoln NEWBY",,30-34,00:59:34
2025 Manchester,HYROX PRO DOUBLES,Men,24,12,"Cyrus BARGHCHI, Danny BREEZE",,MU29,00:59:35
2025 Manchester,HYROX PRO DOUBLES,Men,25,13,"Ben PICKFORD, Eliott DUCKWORTH",,MU29,00:59:37
2025 Manchester,HYROX PRO DOUBLES,Men,26,3,"Tom HOGAN, Dan AMOS",,40-44,00:59:39
2025 Manchester,HYROX PRO DOUBLES,Men,27,14,"Mason BROOKES, Aaron OBRIEN",,MU29,00:59:44
2025 Manchester,HYROX PRO DOUBLES,Men,28,4,"Brian COMYNS, Thomas MCINTYRE",,40-44,01:00:25
2025 Manchester,HYROX PRO DOUBLES,Men,29,15,"Marc MCLEAN, Carl HILL",,MU29,01:00:26
2025 Manchester,HYROX PRO DOUBLES,Men,30,11,"Dan BRIAULT, Daniel EDWARDS",,30-34,01:00:30
2025 Manchester,HYROX PRO DOUBLES,Men,31,12,"Liam HARDING, Sean HARDING",,30-34,01:00:34
