Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Mumbai,HYROX PRO,Men,1,1,"Logue, Michael",GBR,30-34,00:59:10
2025 Mumbai,HYROX PRO,Men,2,1,"Loughray, James",UAE,25-29,01:03:02
2025 Mumbai,HYROX PRO,Men,3,2,"Shadrin, Semyon",UZB,30-34,01:03:36
2025 Mumbai,HYROX PRO,Men,4,1,"Hegazy, Karim",UAE,35-39,01:06:03
2025 Mumbai,HYROX PRO,Men,5,3,"Crewe, George",GBR,30-34,01:06:35
2025 Mumbai,HYROX PRO,Men,6,1,"Budden, David",GBR,40-44,01:07:14
2025 Mumbai,HYROX PRO,Men,7,2,"Snaith, Mike",GBR,35-39,01:07:36
2025 Mumbai,HYROX PRO,Men,8,2,"Chindhu Tadakhe, Sikandar",IND,25-29,01:08:04
2025 Mumbai,HYROX PRO,Men,9,3,"Mzandolo, Matthewstone. S",RSA,35-39,01:08:11
2025 Mumbai,HYROX PRO,Men,10,3,"Jager, Rolf",IRL,25-29,01:08:16
2025 Mumbai,HYROX PRO,Men,11,2,"Bieling, Gordon",GER,40-44,01:08:46
2025 Mumbai,HYROX PRO,Men,12,4,"Castile, Liam",GBR,25-29,01:09:18
2025 Mumbai,HYROX PRO,Men,13,4,"Slater, Jack",GBR,30-34,01:09:28
2025 Mumbai,HYROX PRO,Men,14,4,"Worth, Oliver",GBR,35-39,01:10:42
2025 Mumbai,HYROX PRO,Men,15,5,"Holleyman, Alun",GBR,30-34,01:13:22
2025 Mumbai,HYROX PRO,Men,16,5,"Sheoran, Samrat",IND,25-29,01:15:15
2025 Mumbai,HYROX PRO,Men,17,3,"Monaghan, Aidan",IRL,40-44,01:18:28
2025 Mumbai,HYROX PRO,Men,18,1,"Boulay, Nico",HKG,45-49,01:21:36
2025 Mumbai,HYROX PRO,Men,19,1,"Patil, Tejas",IND,16-24,01:23:54
2025 Mumbai,HYROX PRO,Men,20,4,"Dr Luong, Tan Trung",SIN,40-44,01:25:39
2025 Mumbai,HYROX PRO,Men,21,5,"Rathnayake, Yohan",SRI,35-39,01:27:17
2025 Mumbai,HYROX PRO,Men,22,6,"Singh, Lakhvinder",IND,30-34,01:27:47
2025 Mumbai,HYROX PRO,Men,23,7,"Singh, Huirongbam Rabikanta",IND,30-34,01:28:32
2025 Mumbai,HYROX PRO,Men,24,5,"Cernohouz, Amos",USA,40-44,01:28:56
2025 Mumbai,HYROX PRO,Men,25,6,"Turner, Hitiri",NZL,40-44,01:28:58
2025 Mumbai,HYROX PRO,Men,26,2,"Gupta, Satvik Krishna",IND,16-24,01:29:04
2025 Mumbai,HYROX PRO,Men,27,6,"Gairola, Yatharth",IND,25-29,01:32:25
2025 Mumbai,HYROX PRO,Men,28,6,"Gupta, Ravi",IND,35-39,01:33:00
2025 Mumbai,HYROX PRO,Men,29,7,"Hurel, Florian",IND,35-39,01:33:13
2025 Mumbai,HYROX PRO,Men,30,3,"Emir, Althaf",IND,16-24,01:33:43
2025 Mumbai,HYROX PRO,Men,31,8,"Bezuidenhout, Nico",UAE,30-34,01:34:32
2025 Mumbai,HYROX PRO,Men,32,9,"Rajput, Kunal",IND,30-34,01:35:12
2025 Mumbai,HYROX PRO,Men,33,10,"Khatri, Chirag",IND,30-34,01:35:15
2025 Mumbai,HYROX PRO,Men,34,7,"Chhabra, Pavneet",IND,25-29,01:35:45
2025 Mumbai,HYROX PRO,Men,35,1,"Lock, Mat",AUS,50-54,01:36:14
2025 Mumbai,HYROX PRO,Men,36,8,"Kumar, Anil",IND,35-39,01:36:54
2025 Mumbai,HYROX PRO,Men,37,8,"Khaja, Mahde",KUW,25-29,01:37:57
2025 Mumbai,HYROX PRO,Men,38,9,"Sengupta, Rudrashish",IND,35-39,01:38:30
2025 Mumbai,HYROX PRO,Men,39,11,"Suresh, Anuvindh",IND,30-34,01:41:16
2025 Mumbai,HYROX PRO,Men,40,10,"Mappala, Dany",IND,35-39,01:42:25
2025 Mumbai,HYROX PRO,Men,41,9,"Altun, Neil",UAE,25-29,01:42:49
2025 Mumbai,HYROX PRO,Men,42,12,"Kathuria, Himanshu",IND,30-34,01:43:43
2025 Mumbai,HYROX PRO,Men,43,2,"Haji, Ismaile",IND,45-49,01:45:21
2025 Mumbai,HYROX PRO,Men,44,10,"Kotian, Pranav",IND,25-29,01:45:45
2025 Mumbai,HYROX PRO,Men,45,13,"S, Akhil",IND,30-34,01:45:45
2025 Mumbai,HYROX PRO,Men,46,3,"Bhimber, Sukhjeevan",IND,45-49,01:46:11
2025 Mumbai,HYROX PRO,Men,47,4,"Gupta, Ashokkumar",IND,16-24,01:46:18
2025 Mumbai,HYROX PRO,Men,48,5,"V, Gautham",IND,16-24,01:46:49
2025 Mumbai,HYROX PRO,Men,49,11,"Grover, Rishabh",IND,25-29,01:49:22
