Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Mumbai,HYROX PRO DOUBLES,Men,1,1,"Johnny Daly, Damien Bourke",,30-34,00:54:08
2025 Mumbai,HYROX PRO DOUBLES,Men,2,1,"Patrick Maye, Dean Jackson",,40-44,01:02:13
2025 Mumbai,HYROX PRO DOUBLES,Men,3,2,"Michael Melly, Clement Zhao",,40-44,01:02:18
2025 Mumbai,HYROX PRO DOUBLES,Men,4,2,"Mayur H, Ankit Kataria",,30-34,01:15:19
2025 Mumbai,HYROX PRO DOUBLES,Men,5,3,"Kaustav Baruah, Nawang Lobsang",,30-34,01:17:25
2025 Mumbai,HYROX PRO DOUBLES,Men,6,4,"Vijay Gokhale, Gursimran Singh",,30-34,01:22:52
2025 Mumbai,HYROX PRO DOUBLES,Men,7,5,"Joel Eric Pinto, Ishan Lall",,30-34,01:23:09
2025 Mumbai,HYROX PRO DOUBLES,Men,8,6,"Ajinkya Sahu, Ganesh Konde",,30-34,01:23:09
2025 Mumbai,HYROX PRO DOUBLES,Men,9,7,"Ankur Agnihotri, Abhishek Niranjan",,30-34,01:24:07
2025 Mumbai,HYROX PRO DOUBLES,Men,10,8,"Mustafa Ahmed, Shreyan Pai",,30-34,01:24:49
2025 Mumbai,HYROX PRO DOUBLES,Men,11,3,"Kuruvilla Cherian, Ifthikhar Javed",,40-44,01:27:12
2025 Mumbai,HYROX PRO DOUBLES,Men,12,9,"Sujith E J, Raghuram J",,30-34,01:27:35
2025 Mumbai,HYROX PRO DOUBLES,Men,13,4,"Ajinkya Patil, Sameer Mhatre",,40-44,01:28:52
2025 Mumbai,HYROX PRO DOUBLES,Men,14,1,"Vivek Tanwani, Tanay Puri",,MU29,01:28:54
2025 Mumbai,HYROX PRO DOUBLES,Men,15,5,"Anjan Roy Choudhury, Siddharth Malka",,40-44,01:31:31
2025 Mumbai,HYROX PRO DOUBLES,Men,16,10,"Jobin Sam Jacob, Tinu Payyappilly",,30-34,01:34:57
2025 Mumbai,HYROX PRO DOUBLES,Men,17,11,"Naveen Khatri, Sagar Mahant",,30-34,01:35:25
2025 Mumbai,HYROX PRO DOUBLES,Men,18,2,"Ashmit Shrivastava, Pratyush Upadhyay",,MU29,01:38:31
2025 Mumbai,HYROX PRO DOUBLES,Men,19,12,"Ishtiyaq Aboobacker, Renny George",,30-34,01:38:35
2025 Mumbai,HYROX PRO DOUBLES,Men,20,1,"Aded Batubara, Ibnu Rizal",,50-54,01:42:31
2025 Mumbai,HYROX PRO DOUBLES,Women,1,1,"Hannah Davies, Jessica Brady",,30-34,01:03:27
2025 Mumbai,HYROX PRO DOUBLES,Women,2,2,"Carla Dilley, Sarah Miller",,30-34,01:10:08
2025 Mumbai,HYROX PRO DOUBLES,Women,3,3,"Rachael Sutcliffe, Hannah Rutledge",,30-34,01:10:51
2025 Mumbai,HYROX PRO DOUBLES,Women,4,1,"Ira Rasyid Reid, Dwi Hari Misriyanti",,40-44,01:27:36
2025 Mumbai,HYROX PRO DOUBLES,Women,5,2,"Cindy Djojonegoro, Reni Rasyid Umar",,40-44,01:48:19
