Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 New York,HYROX PRO DOUBLES - Overall,Men,1,1,"Jake Williamson, Jake Dearden",,MU29,00:50:06
2025 New York,HYROX PRO DOUBLES - Overall,Men,2,1,"Quentin Nantois, Alan Cao",,30-34,00:52:57
2025 New York,HYROX PRO DOUBLES - Overall,Men,3,2,"Jason Loebig, Bret Gornik",,30-34,00:54:11
2025 New York,HYROX PRO DOUBLES - Overall,Men,4,1,"Peter Edgar, Beau Meredith",,40-44,00:55:12
2025 New York,HYROX PRO DOUBLES - Overall,Men,5,3,"Kenneth Stapon, Maximilian Robinson",,30-34,00:55:35
2025 New York,HYROX PRO DOUBLES - Overall,Men,6,4,"Gus Manke, Jimmy DeCicco",,30-34,00:55:41
2025 New York,HYROX PRO DOUBLES - Overall,Men,7,5,"Jack Draper, Sam Booth",,30-34,00:55:43
2025 New York,HYROX PRO DOUBLES - Overall,Men,8,6,"William Allen, Jared Mclafferty",,30-34,00:55:50
2025 New York,HYROX PRO DOUBLES - Overall,Men,9,2,"Steve Hoather, Adam DivFulvio",,40-44,00:56:14
2025 New York,HYROX PRO DOUBLES - Overall,Men,10,7,"Andrew Kelley, Keith Hardwick",,30-34,00:56:17
2025 New York,HYROX PRO DOUBLES - Overall,Men,11,8,"Samuel Hebert, Christopher Mercier-Bonneau",,30-34,00:57:12
2025 New York,HYROX PRO DOUBLES - Overall,Men,12,2,"Arthur Gioulekas, David Andrew",,MU29,00:57:28
2025 New York,HYROX PRO DOUBLES - Overall,Men,13,9,"Chase Stewart, Sean Conerty",,30-34,00:57:38
2025 New York,HYROX PRO DOUBLES - Overall,Men,14,10,"JC Clough, Akio Ohtake-Gordon",,30-34,00:58:37
2025 New York,HYROX PRO DOUBLES - Overall,Men,15,3,"Billy Bernitt, Brandon Caldwell",,MU29,00:58:38
2025 New York,HYROX PRO DOUBLES - Overall,Men,16,4,"Fran Kilinski, Matthew Procopio",,MU29,00:59:21
2025 New York,HYROX PRO DOUBLES - Overall,Men,17,5,"Samuel Hammers, Chad Dawgiello",,MU29,00:59:25
2025 New York,HYROX PRO DOUBLES - Overall,Men,18,6,"Jake Kastroll, Garrett Head",,MU29,01:00:26
2025 New York,HYROX PRO DOUBLES - Overall,Men,19,11,"Jared Silverman, Danny Johnson",,30-34,01:00:31
2025 New York,HYROX PRO DOUBLES - Overall,Men,20,12,"Anthony Pelkey, Jordan Becker",,30-34,01:00:32
2025 New York,HYROX PRO DOUBLES - Overall,Men,21,7,"Alex Sroka, Chase Finley",,MU29,01:00:51
2025 New York,HYROX PRO DOUBLES - Overall,Men,22,13,"Kyle Vis, Matt Tralli",,30-34,01:01:05
2025 New York,HYROX PRO DOUBLES - Overall,Men,23,14,"Henrik Decker, Ross Duhon",,30-34,01:01:16
2025 New York,HYROX PRO DOUBLES - Overall,Men,24,8,"Nyme Manns, Jalen Racine",,MU29,01:01:20
2025 New York,HYROX PRO DOUBLES - Overall,Men,25,9,"James Elway, Robert O’Gorman",,MU29,01:01:41
2025 New York,HYROX PRO DOUBLES - Overall,Men,26,15,"Brandon DelBianco, Trey Etseyatse",,30-34,01:01:44
2025 New York,HYROX PRO DOUBLES - Overall,Men,27,16,"Fernando Gomez Diaz, Mario Enrique Martinez Ornelas",,30-34,01:01:46
2025 New York,HYROX PRO DOUBLES - Overall,Men,28,10,"Joseph Block, Jack Hartigan",,MU29,01:01:51
2025 New York,HYROX PRO DOUBLES - Overall,Men,29,17,"Talon Smith, Zachary Cain",,30-34,01:02:00
2025 New York,HYROX PRO DOUBLES - Overall,Men,30,18,"Scotty Forrester, Paul Marshall",,30-34,01:02:06
2025 New York,HYROX PRO DOUBLES - Overall,Men,31,19,"William Leroy, Sébastien Boilard",,30-34,01:02:09
2025 New York,HYROX PRO DOUBLES - Overall,Men,32,11,"Bradley Seeber, Nick Walker",,MU29,01:02:21
2025 New York,HYROX PRO DOUBLES - Overall,Men,33,12,"Cooper George, Richard Koenke",,MU29,01:02:30
2025 New York,HYROX PRO DOUBLES - Overall,Men,34,20,"Tom Elford, Stewart Cherry",,30-34,01:02:48
2025 New York,HYROX PRO DOUBLES - Overall,Men,35,21,"Thomas Jaeger, Tyler McDonough",,30-34,01:03:22
2025 New York,HYROX PRO DOUBLES - Overall,Men,36,22,"Austin Spencer, Josh Vales",,30-34,01:03:30
2025 New York,HYROX PRO DOUBLES - Overall,Men,37,23,"Kyle Bouhana, Trevor Emig",,30-34,01:03:39
2025 New York,HYROX PRO DOUBLES - Overall,Men,38,24,"Paul Sakowski, Brandon Whittington",,30-34,01:03:41
2025 New York,HYROX PRO DOUBLES - Overall,Men,39,25,"Daniel Guzman, Shane Foley",,30-34,01:03:44
2025 New York,HYROX PRO DOUBLES - Overall,Men,40,26,"Marc Bowron, Rokas Navickas",,30-34,01:03:46
2025 New York,HYROX PRO DOUBLES - Overall,Men,41,27,"Dan Kain, Remillino Ella",,30-34,01:03:57
2025 New York,HYROX PRO DOUBLES - Overall,Men,42,28,"Cody Mooney, Alec Smith",,30-34,01:04:04
2025 New York,HYROX PRO DOUBLES - Overall,Men,43,29,"Jonathan Holman, Trenton Kennedy",,30-34,01:04:24
2025 New York,HYROX PRO DOUBLES - Overall,Men,44,13,"Fabian Acuna, Jorge Olivares",,MU29,01:04:25
2025 New York,HYROX PRO DOUBLES - Overall,Men,45,30,"James Arcieri, Bill Murphy",,30-34,01:04:28
2025 New York,HYROX PRO DOUBLES - Overall,Men,46,14,"Chad Friedberg, Jared Friedberg",,MU29,01:04:36
2025 New York,HYROX PRO DOUBLES - Overall,Men,47,15,"Kristijan Gjorgjevik, Trey Fowler",,MU29,01:04:43
2025 New York,HYROX PRO DOUBLES - Overall,Men,48,31,"Flavio Rogantini, Francis Robidoux",,30-34,01:04:43
2025 New York,HYROX PRO DOUBLES - Overall,Men,49,16,"Daniel Wolf, Thomas Sargeant",,MU29,01:05:25
2025 New York,HYROX PRO DOUBLES - Overall,Men,50,32,"Alexander Frost, Malik Grove",,30-34,01:05:31
2025 New York,HYROX PRO DOUBLES - Overall,Men,51,33,"Kevin Barby, Michael Marchese",,30-34,01:05:38
2025 New York,HYROX PRO DOUBLES - Overall,Men,52,34,"Angel Navarro, Kevin Johnk",,30-34,01:05:58
2025 New York,HYROX PRO DOUBLES - Overall,Men,53,3,"Joe Miele, Collin Martin",,40-44,01:06:10
2025 New York,HYROX PRO DOUBLES - Overall,Men,54,35,"David Anderson, Kyle Windebank",,30-34,01:06:16
2025 New York,HYROX PRO DOUBLES - Overall,Men,55,4,"Marco Talamantez, Christopher Enfinger",,40-44,01:06:35
2025 New York,HYROX PRO DOUBLES - Overall,Men,56,36,"Steven LePorin, David Chan",,30-34,01:06:37
2025 New York,HYROX PRO DOUBLES - Overall,Men,57,37,"Doug Litvack, Razonte Dunn",,30-34,01:06:41
2025 New York,HYROX PRO DOUBLES - Overall,Men,58,38,"CJ Finley, Peter Sportello",,30-34,01:06:42
2025 New York,HYROX PRO DOUBLES - Overall,Men,59,39,"Pete Kinsella, Dave Martinsky",,30-34,01:06:43
2025 New York,HYROX PRO DOUBLES - Overall,Men,60,40,"Kyryl Reptushenko, David Fano",,30-34,01:07:00
2025 New York,HYROX PRO DOUBLES - Overall,Men,61,17,"Matthew Malmrose, Zachary Jarvis",,MU29,01:07:00
2025 New York,HYROX PRO DOUBLES - Overall,Men,62,18,"Jordan Bandera, Gage Clark",,MU29,01:07:08
2025 New York,HYROX PRO DOUBLES - Overall,Men,63,19,"Alex Grignon, Jurgen Bach",,MU29,01:07:18
2025 New York,HYROX PRO DOUBLES - Overall,Men,64,41,"James-Tyler Dodge, Angelo Accattato",,30-34,01:07:31
2025 New York,HYROX PRO DOUBLES - Overall,Men,65,42,"Andrew J Fenton IV, Joe Szalay",,30-34,01:07:32
2025 New York,HYROX PRO DOUBLES - Overall,Men,66,20,"Nick Lucignano, Pablo Arraut",,MU29,01:07:54
2025 New York,HYROX PRO DOUBLES - Overall,Men,67,5,"John Rubsam, Robert Olson",,40-44,01:07:55
2025 New York,HYROX PRO DOUBLES - Overall,Men,68,21,"Darren Battista, Charles Clay",,MU29,01:08:01
2025 New York,HYROX PRO DOUBLES - Overall,Men,69,43,"Paul Herskovitz, Benedict Dohmen",,30-34,01:08:10
2025 New York,HYROX PRO DOUBLES - Overall,Men,70,22,"Neel Doshi, Connor McQueeney",,MU29,01:08:14
2025 New York,HYROX PRO DOUBLES - Overall,Men,71,23,"Matthew Garcia, Fernando Aguilar",,MU29,01:08:26
2025 New York,HYROX PRO DOUBLES - Overall,Men,72,24,"David Benson, Pete Marchineck",,MU29,01:08:36
2025 New York,HYROX PRO DOUBLES - Overall,Men,73,44,"Michael Fuertes, Corey Berger",,30-34,01:08:46
