Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Rimini,HYROX PRO - Friday,Men,1,1,"Hynek, Richard",CZE,25-29,00:57:39
2025 Rimini,HYROX PRO - Friday,Men,2,1,"Bianchi, Eugenio",ITA,35-39,01:01:39
2025 Rimini,HYROX PRO - Friday,Men,3,2,"Hugemarq, Hugo",SWE,25-29,01:02:37
2025 Rimini,HYROX PRO - Friday,Men,4,2,"Lauria, Mauro Adriel",ARG,35-39,01:04:51
2025 Rimini,HYROX PRO - Friday,Men,5,1,"Kolarič, Rok",SLO,40-44,01:07:09
2025 Rimini,HYROX PRO - Friday,Men,6,3,"Rodríguez Quintana, Juan Manuel",ESP,35-39,01:08:10
2025 Rimini,HYROX PRO - Friday,Men,7,4,"Casquero, Unay",ESP,35-39,01:08:18
2025 Rimini,HYROX PRO - Friday,Men,8,5,"Cavicchiolo, Luca",ITA,35-39,01:08:43
2025 Rimini,HYROX PRO - Friday,Men,9,6,"Depedri, Raffaele",ITA,35-39,01:08:45
2025 Rimini,HYROX PRO - Friday,Men,11,7,"Cesti, Emanuele",ITA,35-39,01:09:45
2025 Rimini,HYROX PRO - Friday,Men,12,8,"Kilkenny, Sean",GBR,35-39,01:09:48
2025 Rimini,HYROX PRO - Friday,Men,13,1,"Vartiainen, Larri",FIN,30-34,01:09:57
2025 Rimini,HYROX PRO - Friday,Men,14,4,"Bolletta, Matteo",ITA,25-29,01:10:19
2025 Rimini,HYROX PRO - Friday,Men,15,2,"Chiarini, Fabio",ITA,30-34,01:10:27
2025 Rimini,HYROX PRO - Friday,Men,16,1,"Palla, Luca",ITA,45-49,01:10:35
2025 Rimini,HYROX PRO - Friday,Men,17,2,"Caligiuri, Salvatore",ITA,40-44,01:10:49
2025 Rimini,HYROX PRO - Friday,Men,18,3,"Podolinsky, Marek",SVK,40-44,01:11:32
2025 Rimini,HYROX PRO - Friday,Men,19,9,"Pelis, Marco",ITA,35-39,01:11:51
2025 Rimini,HYROX PRO - Friday,Men,20,10,"Bignell, Sam",GBR,35-39,01:12:09
2025 Rimini,HYROX PRO - Friday,Men,21,4,"Pianoforte, Luca",ITA,40-44,01:12:10
2025 Rimini,HYROX PRO - Friday,Men,22,5,"Marchi, Massimo",ITA,40-44,01:12:19
2025 Rimini,HYROX PRO - Friday,Men,23,11,"Sartori, Daniele",ITA,35-39,01:12:27
2025 Rimini,HYROX PRO - Friday,Men,24,5,"Saez, Hector",ESP,25-29,01:12:30
2025 Rimini,HYROX PRO - Friday,Men,25,3,"Ritterbusch, Gregory",GER,30-34,01:12:51
2025 Rimini,HYROX PRO - Friday,Men,26,4,"Bussone, Alessandro Matteo",ITA,30-34,01:12:57
2025 Rimini,HYROX PRO - Friday,Men,27,5,"Planer, Pirmin",GER,30-34,01:13:20
2025 Rimini,HYROX PRO - Friday,Men,28,6,"Pellegrini, Alessandro",ITA,30-34,01:14:02
2025 Rimini,HYROX PRO - Friday,Men,29,12,"Capriotti, Enrico",ITA,35-39,01:14:10
2025 Rimini,HYROX PRO - Friday,Men,30,13,"Marques, Daniel",POR,35-39,01:14:53
2025 Rimini,HYROX PRO - Friday,Men,31,14,"Masciarelli, Francesco",ITA,35-39,01:14:58
2025 Rimini,HYROX PRO - Friday,Men,32,1,"Trinx, Edoardo",ITA,16-24,01:15:27
2025 Rimini,HYROX PRO - Friday,Men,33,15,"Murrer, Diego",AUT,35-39,01:15:45
2025 Rimini,HYROX PRO - Friday,Men,34,7,"Falleroni, Mattia",ITA,30-34,01:15:46
2025 Rimini,HYROX PRO - Friday,Men,35,6,"Hamon, Loic",FRA,25-29,01:16:02
2025 Rimini,HYROX PRO - Friday,Men,36,2,"Bonora, Marco",ITA,45-49,01:16:26
2025 Rimini,HYROX PRO - Friday,Men,37,6,"West, Matt",GBR,40-44,01:16:27
2025 Rimini,HYROX PRO - Friday,Men,38,7,"Gasser, Joel",SUI,25-29,01:16:32
2025 Rimini,HYROX PRO - Friday,Men,39,8,"Russo, Edoardo",ITA,30-34,01:16:33
2025 Rimini,HYROX PRO - Friday,Men,40,3,"Bellotti, Manuel",ITA,45-49,01:16:34
2025 Rimini,HYROX PRO - Friday,Men,41,2,"Truppi, Clemente",ITA,16-24,01:17:13
2025 Rimini,HYROX PRO - Friday,Men,42,9,"Spagnolo, Mattia",ITA,30-34,01:17:21
2025 Rimini,HYROX PRO - Friday,Men,43,8,"Giordano Buono, Riccardo",ITA,25-29,01:17:30
2025 Rimini,HYROX PRO - Friday,Men,44,16,"Zanni, Samuele",ITA,35-39,01:17:44
