Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Rotterdam,HYROX PRO - Friday,Men,1,1,"Botterill, Charlie",GBR,16-24,00:57:47
2025 Rotterdam,HYROX PRO - Friday,Men,2,1,"Plantinga, Jannick",NED,30-34,01:02:12
2025 Rotterdam,HYROX PRO - Friday,Men,3,2,"Aardenburg, Kees",NED,30-34,01:02:47
2025 Rotterdam,HYROX PRO - Friday,Men,4,3,"Avenel, Maxime",FRA,30-34,01:03:29
2025 Rotterdam,HYROX PRO - Friday,Men,5,1,"M Brame, Jordan",GBR,25-29,01:03:39
2025 Rotterdam,HYROX PRO - Friday,Men,6,2,"Docherty, Aaron",GBR,25-29,01:03:59
2025 Rotterdam,HYROX PRO - Friday,Men,7,1,"Washington, Joe",GBR,40-44,01:04:56
2025 Rotterdam,HYROX PRO - Friday,Men,8,4,"Nieuwenhuis, Mark",NED,30-34,01:05:17
2025 Rotterdam,HYROX PRO - Friday,Men,9,5,"Mccarthy, Luke",GBR,30-34,01:06:46
2025 Rotterdam,HYROX PRO - Friday,Men,10,6,"Van Ommen, Nick",NED,30-34,01:06:56
2025 Rotterdam,HYROX PRO - Friday,Men,11,2,"Lodder, Donny",NED,40-44,01:07:07
2025 Rotterdam,HYROX PRO - Friday,Men,12,3,"Verhoef, Diederik",NED,40-44,01:08:27
2025 Rotterdam,HYROX PRO - Friday,Men,13,2,"Seetsen, Joey",NED,16-24,01:08:47
2025 Rotterdam,HYROX PRO - Friday,Men,14,1,"Veenstra, Bert",NED,35-39,01:08:56
2025 Rotterdam,HYROX PRO - Friday,Men,15,3,"Grundy, Dylan",GBR,16-24,01:10:47
2025 Rotterdam,HYROX PRO - Friday,Men,16,4,"De Jong, Asaf",NED,16-24,01:11:31
2025 Rotterdam,HYROX PRO - Friday,Men,17,3,"Boomgaard, Axel",NED,25-29,01:11:43
2025 Rotterdam,HYROX PRO - Friday,Men,18,7,"Van Bruggen, Niels",NED,30-34,01:12:19
2025 Rotterdam,HYROX PRO - Friday,Men,19,8,"De Graaf, Ivo",NED,30-34,01:12:45
