Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Rotterdam,HYROX PRO - Thursday,Men,1,1,"Hogan, Ryan",GBR,35-39,00:58:54
2025 Rotterdam,HYROX PRO - Thursday,Men,2,1,"Carlisle, John",GBR,25-29,00:59:40
2025 Rotterdam,HYROX PRO - Thursday,Men,3,1,"Mcmeeken, Niall",GBR,30-34,01:00:07
2025 Rotterdam,HYROX PRO - Thursday,Men,4,2,"Wright, Ben",GBR,25-29,01:01:21
2025 Rotterdam,HYROX PRO - Thursday,Men,5,2,"O'Brien, Paul",IRL,35-39,01:01:21
2025 Rotterdam,HYROX PRO - Thursday,Men,6,2,"Vercouter, Félix",BEL,30-34,01:03:57
2025 Rotterdam,HYROX PRO - Thursday,Men,7,3,"Redaoui, Mohamed",MAR,25-29,01:04:47
2025 Rotterdam,HYROX PRO - Thursday,Men,8,3,"Middlemiss, Hamish",GBR,35-39,01:05:18
2025 Rotterdam,HYROX PRO - Thursday,Men,9,3,"Hudson, Grant",GBR,30-34,01:05:40
2025 Rotterdam,HYROX PRO - Thursday,Men,10,4,"Hughes, Mike Moa",GBR,35-39,01:05:41
2025 Rotterdam,HYROX PRO - Thursday,Men,11,1,"Jin, Geonho",KOR,16-24,01:05:51
2025 Rotterdam,HYROX PRO - Thursday,Men,12,5,"Eyre, Alexander",GBR,35-39,01:05:57
2025 Rotterdam,HYROX PRO - Thursday,Men,13,6,"Connes, Raphaël",FRA,35-39,01:06:37
2025 Rotterdam,HYROX PRO - Thursday,Men,14,4,"Johnstone, Jack",GBR,25-29,01:06:47
2025 Rotterdam,HYROX PRO - Thursday,Men,15,5,"Beckwith, David",GBR,25-29,01:09:01
2025 Rotterdam,HYROX PRO - Thursday,Men,16,6,"Maljaars, Bart",NED,25-29,01:09:25
2025 Rotterdam,HYROX PRO - Thursday,Men,17,7,"Miedema, Paul",NED,25-29,01:09:44
2025 Rotterdam,HYROX PRO - Thursday,Men,18,4,"O’Connor, Kevin",GBR,30-34,01:09:46
2025 Rotterdam,HYROX PRO - Thursday,Men,19,5,"Fletcher, Francois",FRA,30-34,01:11:45
2025 Rotterdam,HYROX PRO - Thursday,Men,20,8,"Fuhler, Jordi",NED,25-29,01:11:55
2025 Rotterdam,HYROX PRO - Thursday,Men,21,2,"Van Rijsewijk, Robin",NED,16-24,01:12:08
2025 Rotterdam,HYROX PRO - Thursday,Men,22,6,"Sherlock, Adam",GBR,30-34,01:12:41
2025 Rotterdam,HYROX PRO - Thursday,Men,23,7,"Logvinenko, Andrei",NED,30-34,01:13:08
2025 Rotterdam,HYROX PRO - Thursday,Men,24,3,"Buijs, Thomas",NED,16-24,01:13:34
2025 Rotterdam,HYROX PRO - Thursday,Men,25,8,"Pejcl, Jaro",CZE,30-34,01:13:38
2025 Rotterdam,HYROX PRO - Thursday,Men,26,7,"Heinis, T.C.",NED,35-39,01:13:39
2025 Rotterdam,HYROX PRO - Thursday,Men,27,9,"Meertens, Michiel",BEL,30-34,01:13:57
2025 Rotterdam,HYROX PRO - Thursday,Men,28,–,"Tayalati, Samir",BEL,–,01:14:05
2025 Rotterdam,HYROX PRO - Thursday,Men,29,1,"Abdalla, Faisal",GBR,40-44,01:14:05
2025 Rotterdam,HYROX PRO - Thursday,Men,30,10,"Buining, Tim",NED,30-34,01:15:04
2025 Rotterdam,HYROX PRO - Thursday,Men,31,9,"Meurer, Dustin",GER,25-29,01:15:33
2025 Rotterdam,HYROX PRO - Thursday,Men,32,10,"Baukrowitz, Nils",GER,25-29,01:15:47
2025 Rotterdam,HYROX PRO - Thursday,Men,33,8,"Kastanidis, Theodore",NED,35-39,01:16:01
2025 Rotterdam,HYROX PRO - Thursday,Men,34,9,"Liu, Tony",GBR,35-39,01:16:09
