Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Sharjah,HYROX PRO,Men,1,1,"Logue, Michael",GBR,30-34,00:58:23
2025 Sharjah,HYROX PRO,Men,2,2,"Cartwright, Lawrence",GBR,30-34,00:59:31
2025 Sharjah,HYROX PRO,Men,3,1,"Mrabet, Mohamed Ali",QAT,35-39,01:00:20
2025 Sharjah,HYROX PRO,Men,4,3,"Bourke, Damien",IRL,30-34,01:03:10
2025 Sharjah,HYROX PRO,Men,5,2,"Larhrib, Mohamed Yassine",MAR,35-39,01:03:19
2025 Sharjah,HYROX PRO,Men,6,1,"Davies, Ben",GBR,40-44,01:03:26
2025 Sharjah,HYROX PRO,Men,7,1,"Loughray, James",JEY,25-29,01:03:42
2025 Sharjah,HYROX PRO,Men,8,4,"Wade, Zachary",USA,30-34,01:04:05
2025 Sharjah,HYROX PRO,Men,9,1,"Moger, Levi",AUS,16-24,01:04:06
2025 Sharjah,HYROX PRO,Men,10,5,"Crewe, George",GBR,30-34,01:04:13
2025 Sharjah,HYROX PRO,Men,11,3,"Choisy, Emeric",FRA,35-39,01:04:21
2025 Sharjah,HYROX PRO,Men,12,2,"Shilling, Louie",UAE,25-29,01:05:22
2025 Sharjah,HYROX PRO,Men,13,4,"Kilkenny, Sean",GBR,35-39,01:06:02
2025 Sharjah,HYROX PRO,Men,14,6,"Berrouigat, Nabil",FRA,30-34,01:06:27
2025 Sharjah,HYROX PRO,Men,15,7,"Manz, Mansour",PLE,30-34,01:06:31
2025 Sharjah,HYROX PRO,Men,16,3,"Jager, Rolf",IRL,25-29,01:06:42
2025 Sharjah,HYROX PRO,Men,17,5,"Cook, Andrew",GBR,35-39,01:07:25
2025 Sharjah,HYROX PRO,Men,18,6,"Corne, Jonathan",USA,35-39,01:07:49
2025 Sharjah,HYROX PRO,Men,19,8,"Hoey, Conall",IRL,30-34,01:08:07
2025 Sharjah,HYROX PRO,Men,20,2,"Singer, Ben",GBR,16-24,01:08:07
2025 Sharjah,HYROX PRO,Men,21,9,"Armstrong, Connor",GBR,30-34,01:08:18
2025 Sharjah,HYROX PRO,Men,22,10,"Threadgold, Matt",UAE,30-34,01:08:38
2025 Sharjah,HYROX PRO,Men,23,11,"Daly, Johnathan",IRL,30-34,01:08:52
2025 Sharjah,HYROX PRO,Men,24,4,"Castile, Liam",GBR,25-29,01:09:06
2025 Sharjah,HYROX PRO,Men,25,12,"Cross, Michael",GBR,30-34,01:09:12
2025 Sharjah,HYROX PRO,Men,26,5,"Caldas, Joao",UAE,25-29,01:09:33
