Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 St. Gallen,HYROX PRO DOUBLES,Men,1,1,"Jaafar Moumen, Nik Kojc",,30-34,00:54:29
2025 St. Gallen,HYROX PRO DOUBLES,Men,2,2,"Kris Mcsherry, Gerry Kennedy PK",,30-34,00:56:19
2025 St. Gallen,HYROX PRO DOUBLES,Men,3,3,"Christian Kraus, Sven Lusti",,30-34,00:57:01
2025 St. Gallen,HYROX PRO DOUBLES,Men,4,1,"Mark Jennings, Thomas Augaitis",,MU29,00:57:44
2025 St. Gallen,HYROX PRO DOUBLES,Men,5,1,"Michael Molloy, James Taylor",,40-44,00:58:18
2025 St. Gallen,HYROX PRO DOUBLES,Men,6,4,"Benjamin Burkhardt, Marcel Winkler",,30-34,00:59:34
2025 St. Gallen,HYROX PRO DOUBLES,Men,7,2,"Petter Saltvik, Jesper Kurås",,MU29,00:59:51
2025 St. Gallen,HYROX PRO DOUBLES,Men,8,3,"Christian Szalay, Fabian Netahlo",,MU29,01:00:44
2025 St. Gallen,HYROX PRO DOUBLES,Men,9,5,"William Boirat, Diogo Castro",,30-34,01:01:07
2025 St. Gallen,HYROX PRO DOUBLES,Men,10,4,"Louison Poirier, Philippe Pérot",,MU29,01:01:26
2025 St. Gallen,HYROX PRO DOUBLES,Men,11,2,"Lee Forrester, Todd Fierro",,40-44,01:01:32
2025 St. Gallen,HYROX PRO DOUBLES,Men,11,2,"David Williams, Gary Hateley",,40-44,01:01:32
2025 St. Gallen,HYROX PRO DOUBLES,Men,13,5,"Maxime Gobet, Mathieu Gschwandtner",,MU29,01:01:48
2025 St. Gallen,HYROX PRO DOUBLES,Men,14,4,"Michael Gomeringer, Andreas Klauser",,40-44,01:02:04
2025 St. Gallen,HYROX PRO DOUBLES,Men,15,6,"Valou Zaninetti, Vincent Buclin",,30-34,01:02:09
2025 St. Gallen,HYROX PRO DOUBLES,Men,16,5,"Alan Strachan, Jonathan Faber",,40-44,01:02:21
2025 St. Gallen,HYROX PRO DOUBLES,Men,17,7,"Benjamin Rupied, Olivier Refus",,30-34,01:02:35
2025 St. Gallen,HYROX PRO DOUBLES,Men,18,8,"Maksym Vrublevskyi, Pascal Goetz",,30-34,01:02:47
2025 St. Gallen,HYROX PRO DOUBLES,Men,19,6,"PAOLO DENTI, CLAUDIO BRUNO",,40-44,01:03:54
2025 St. Gallen,HYROX PRO DOUBLES,Men,20,7,"Christian Fendt, Markus Rosinger",,40-44,01:04:09
2025 St. Gallen,HYROX PRO DOUBLES,Men,21,9,"Ahmed Ajil, Michael Senti",,30-34,01:04:24
2025 St. Gallen,HYROX PRO DOUBLES,Men,22,8,"Ian Campbell, Mark Whittle",,40-44,01:04:34
2025 St. Gallen,HYROX PRO DOUBLES,Men,23,10,"Manuel Brogle, Kris Kellas",,30-34,01:04:48
2025 St. Gallen,HYROX PRO DOUBLES,Men,24,6,"Jay Johnson, Oli Leighton",,MU29,01:04:57
2025 St. Gallen,HYROX PRO DOUBLES,Men,25,11,"Matteo Conte, Marco Carvalho",,30-34,01:05:10
2025 St. Gallen,HYROX PRO DOUBLES,Men,26,7,"Ryan Crease, Luke Flanagan",,MU29,01:05:26
2025 St. Gallen,HYROX PRO DOUBLES,Men,27,8,"Kevin Brülhart, Xavier Gutknecht",,MU29,01:05:33
2025 St. Gallen,HYROX PRO DOUBLES,Men,28,12,"Jeremy Meuwly, Michael Rossier",,30-34,01:05:42
2025 St. Gallen,HYROX PRO DOUBLES,Men,29,9,"Ben Hopkins, Ethan Huxley",,MU29,01:05:44
2025 St. Gallen,HYROX PRO DOUBLES,Men,30,9,"Alex Bleach, Douglas Little",,40-44,01:05:54
