Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Taipei,HYROX PRO,Men,1,1,"Heck, Gabe",USA,30-34,00:58:12
2025 Taipei,HYROX PRO,Men,2,1,"Hong, Beomseok",KOR,35-39,01:03:43
2025 Taipei,HYROX PRO,Men,3,2,"Clancy, Lachlan",AUS,30-34,01:04:40
2025 Taipei,HYROX PRO,Men,4,2,"Geyindiren, Dogan Karako",TUR,35-39,01:06:30
2025 Taipei,HYROX PRO,Men,5,1,"Maher, James",IRL,25-29,01:08:53
2025 Taipei,HYROX PRO,Men,6,2,"Wongma, Kajohnsin",THA,25-29,01:09:02
2025 Taipei,HYROX PRO,Men,7,3,"Tieu, Johnny",USA,35-39,01:09:20
2025 Taipei,HYROX PRO,Men,8,3,"Wong, Ting Chun",HKG,25-29,01:09:52
2025 Taipei,HYROX PRO,Men,9,3,"NAKAMURA, WATARU",JPN,30-34,01:10:01
2025 Taipei,HYROX PRO,Men,10,4,"Pan, Hsin Hao",HYROX,35-39,01:10:07
2025 Taipei,HYROX PRO,Men,11,5,"홍, 경석",KOR,35-39,01:10:10
2025 Taipei,HYROX PRO,Men,12,1,"Snowden, Phil",GBR,40-44,01:10:26
2025 Taipei,HYROX PRO,Men,13,4,"Tisinger, Nick",USA,30-34,01:10:38
2025 Taipei,HYROX PRO,Men,14,4,"Yamaguchi, Shota",JPN,25-29,01:10:40
2025 Taipei,HYROX PRO,Men,15,2,"Kwan, Laurence",HKG,40-44,01:10:41
2025 Taipei,HYROX PRO,Men,16,6,"Lam, Enoch",HKG,35-39,01:11:14
2025 Taipei,HYROX PRO,Men,17,1,"Martin, Bill",GBR,45-49,01:11:17
2025 Taipei,HYROX PRO,Men,18,3,"増川, 俊太郎",JPN,40-44,01:11:33
2025 Taipei,HYROX PRO,Men,19,4,"Wahedi, Elyas",AUS,40-44,01:11:37
2025 Taipei,HYROX PRO,Men,20,5,"Lee, Francis",GBR,30-34,01:12:46
2025 Taipei,HYROX PRO,Men,21,5,"Liao, Chia Le",HYROX,25-29,01:13:55
2025 Taipei,HYROX PRO,Men,22,5,"Ng, Roy",HKG,40-44,01:15:09
2025 Taipei,HYROX PRO,Men,23,7,"Stoeppler, Philipp",GER,35-39,01:15:51
2025 Taipei,HYROX PRO,Men,24,6,"Lee, Ho Kiat",MAS,30-34,01:16:21
2025 Taipei,HYROX PRO,Men,25,7,"任, 龍欣",HYROX,30-34,01:16:22
2025 Taipei,HYROX PRO,Men,26,8,"rosario, gabb",PHI,35-39,01:16:52
2025 Taipei,HYROX PRO,Men,27,8,"Baroche, Vincent",FRA,30-34,01:16:57
2025 Taipei,HYROX PRO,Men,28,9,"Markham, David",HKG,30-34,01:18:33
2025 Taipei,HYROX PRO,Men,29,6,"Tan, Jaw Tzuu",MAS,25-29,01:18:44
2025 Taipei,HYROX PRO,Men,30,9,"Farrier, daniel",USA,35-39,01:18:49
2025 Taipei,HYROX PRO,Men,31,10,"Lim, Darren",SIN,30-34,01:19:17
2025 Taipei,HYROX PRO,Men,32,11,"Wong, Kin Ho",HKG,30-34,01:19:42
2025 Taipei,HYROX PRO,Men,33,2,"Kent, Tristan",GBR,45-49,01:20:55
2025 Taipei,HYROX PRO,Men,34,12,"Premont, Thomas",FRA,30-34,01:20:59
2025 Taipei,HYROX PRO,Men,35,7,"Smorczewski, Oskar",POL,25-29,01:21:42
2025 Taipei,HYROX PRO,Men,36,10,"Shum, Hang On(comma) The miner",HKG,35-39,01:22:07
2025 Taipei,HYROX PRO,Men,37,13,"許, 皓翔",HYROX,30-34,01:22:31
2025 Taipei,HYROX PRO,Men,38,14,"Gaytan, Rafa",GUA,30-34,01:22:40
2025 Taipei,HYROX PRO,Men,39,15,"SORIANO, Xavier",FRA,30-34,01:22:44
2025 Taipei,HYROX PRO,Men,40,11,"Ansermet, Nicolas",SUI,35-39,01:22:46
2025 Taipei,HYROX PRO,Men,41,6,"Rivera, Mauricio",COL,40-44,01:22:50
2025 Taipei,HYROX PRO,Men,42,3,"istel, stephane",FRA,45-49,01:23:48
2025 Taipei,HYROX PRO,Men,43,1,"Matsushima, Izuru",JPN,16-24,01:23:59
2025 Taipei,HYROX PRO,Men,44,12,"Huang, Shang Hao",GER,35-39,01:24:12
2025 Taipei,HYROX PRO,Men,45,13,"Choy, Davin",SIN,35-39,01:24:15
2025 Taipei,HYROX PRO,Men,46,14,"Fung, Michael King Ting",HKG,35-39,01:24:17
2025 Taipei,HYROX PRO,Men,47,4,"Sargeant, Rodney",AUS,45-49,01:25:15
2025 Taipei,HYROX PRO,Men,48,16,"He, Chongzhan",SIN,30-34,01:25:33
2025 Taipei,HYROX PRO,Men,49,7,"Dr Luong, Tan Trung",GER,40-44,01:25:55
2025 Taipei,HYROX PRO,Men,50,8,"Cheong, Kam Lee",MAS,25-29,01:25:56
2025 Taipei,HYROX PRO,Men,51,17,"KAWAHARADA, YASUHIRO",JPN,30-34,01:26:30
2025 Taipei,HYROX PRO,Men,52,5,"Janisiw, Roland",AUT,45-49,01:26:50
2025 Taipei,HYROX PRO,Men,53,1,"Brauch, Thomas",USA,55-59,01:27:14
2025 Taipei,HYROX PRO,Men,54,15,"Um, Myunyong",KOR,35-39,01:27:49
2025 Taipei,HYROX PRO,Men,55,9,"吳, 松駿",HYROX,25-29,01:28:12
2025 Taipei,HYROX PRO,Men,56,16,"Ho, Nicholas",SIN,35-39,01:28:25
2025 Taipei,HYROX PRO,Men,57,10,"Lim, Jin Thong",SIN,25-29,01:28:34
2025 Taipei,HYROX PRO,Men,58,17,"Dado, Iyun",HYROX,35-39,01:28:45
2025 Taipei,HYROX PRO,Men,59,18,"Schreiber, Daniel",USA,30-34,01:29:44
2025 Taipei,HYROX PRO,Men,60,19,"Short, Sebastian",GBR,30-34,01:29:50
2025 Taipei,HYROX PRO,Men,61,20,"Rasmussen, Sam",USA,30-34,01:29:50
2025 Taipei,HYROX PRO,Men,62,21,"James, Tom",GBR,30-34,01:31:19
2025 Taipei,HYROX PRO,Men,63,22,"涂, 桓瑋",HYROX,30-34,01:31:41
2025 Taipei,HYROX PRO,Men,64,6,"Whitman, James",HKG,45-49,01:31:42
2025 Taipei,HYROX PRO,Men,65,8,"lattarini, luca",ITA,40-44,01:31:52
