Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Toulouse,HYROX PRO,Men,1,1,"Dubost, Thomas",FRA,16-24,01:02:00
2025 Toulouse,HYROX PRO,Men,2,1,"Valentin, Tommy",FRA,30-34,01:03:10
2025 Toulouse,HYROX PRO,Men,3,1,"Russell, Ollie",GBR,25-29,01:03:11
2025 Toulouse,HYROX PRO,Men,4,2,"D’ALEO, Ugo",FRA,25-29,01:03:51
2025 Toulouse,HYROX PRO,Men,5,3,"Fry, Thomas",FRA,25-29,01:05:01
2025 Toulouse,HYROX PRO,Men,6,1,"PARISY, Aurélien",FRA,35-39,01:05:07
2025 Toulouse,HYROX PRO,Men,7,2,"ESCRIVANT, Gaëtan",FRA,16-24,01:06:02
2025 Toulouse,HYROX PRO,Men,8,3,"Walker, Ross",GBR,16-24,01:06:27
2025 Toulouse,HYROX PRO,Men,9,2,"Pewtner, Johnathan",GBR,35-39,01:06:28
2025 Toulouse,HYROX PRO,Men,10,3,"BELAIDI, Hecham",FRA,35-39,01:07:38
2025 Toulouse,HYROX PRO,Men,11,4,"Dubut, Enrique",FRA,35-39,01:07:43
2025 Toulouse,HYROX PRO,Men,12,5,"Gigord, Yohann",FRA,35-39,01:07:48
2025 Toulouse,HYROX PRO,Men,13,6,"Jankovits, Yannick",FRA,35-39,01:08:12
2025 Toulouse,HYROX PRO,Men,14,4,"Darthout, Valentin",FRA,25-29,01:08:20
2025 Toulouse,HYROX PRO,Men,15,5,"Bloudeau, Damien",FRA,25-29,01:08:23
2025 Toulouse,HYROX PRO,Men,16,6,"Garel, Quentin",FRA,25-29,01:08:24
2025 Toulouse,HYROX PRO,Men,17,7,"Coelho, Andre",POR,35-39,01:08:34
2025 Toulouse,HYROX PRO,Men,18,8,"Salaun, Mathieu",FRA,35-39,01:08:48
2025 Toulouse,HYROX PRO,Men,19,2,"Joud, Hugo",FRA,30-34,01:08:57
2025 Toulouse,HYROX PRO,Men,20,9,"MAIZZOU, ACHRAF",FRA,35-39,01:09:12
2025 Toulouse,HYROX PRO,Men,21,1,"MACHEREY, Nicolas",FRA,40-44,01:09:15
2025 Toulouse,HYROX PRO,Men,22,7,"Dillies, Robin",FRA,25-29,01:09:16
2025 Toulouse,HYROX PRO,Men,23,2,"CHILLARON, TONI",ESP,40-44,01:09:24
2025 Toulouse,HYROX PRO,Men,24,3,"Ailam, Farid",FRA,40-44,01:09:32
2025 Toulouse,HYROX PRO,Men,25,10,"DERGAOUI, Mehdi",FRA,35-39,01:10:29
2025 Toulouse,HYROX PRO,Men,26,8,"Jorge Sineiro, Baptiste",FRA,25-29,01:10:52
2025 Toulouse,HYROX PRO,Men,27,3,"Henry, Kealan",RSA,30-34,01:11:06
2025 Toulouse,HYROX PRO,Men,28,9,"Bocci, Vincent",FRA,25-29,01:11:13
2025 Toulouse,HYROX PRO,Men,29,4,"Rabanal, Jeoffrey",FRA,30-34,01:11:58
2025 Toulouse,HYROX PRO,Men,30,4,"Clot, Romain",FRA,40-44,01:12:05
2025 Toulouse,HYROX PRO,Men,31,4,"Benguezzou, Reiann",FRA,16-24,01:12:09
2025 Toulouse,HYROX PRO,Men,32,11,"Benchia, Chrif",FRA,35-39,01:12:20
2025 Toulouse,HYROX PRO,Men,33,10,"Masson, Gael",FRA,25-29,01:12:34
2025 Toulouse,HYROX PRO,Men,34,1,"GIORDANI, mirko",ITA,50-54,01:12:55
2025 Toulouse,HYROX PRO,Men,35,11,"Lamothe, Emmanuel",FRA,25-29,01:12:57
2025 Toulouse,HYROX PRO,Men,36,5,"Sauvan, Sébastien",FRA,30-34,01:13:40
2025 Toulouse,HYROX PRO,Men,37,12,"Lauret, Valentin",FRA,25-29,01:14:00
2025 Toulouse,HYROX PRO,Men,38,12,"Rueff, Loic",FRA,35-39,01:14:30
