Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Valencia,HYROX PRO - Overall,Men,1,1,"Aguayo, Emilio",ESP,30-34,00:58:38
2025 Valencia,HYROX PRO - Overall,Men,2,2,"Lizarazu, Aitor",ESP,30-34,00:58:56
2025 Valencia,HYROX PRO - Overall,Men,3,3,"Cao, Alan",FRA,30-34,01:00:43
2025 Valencia,HYROX PRO - Overall,Men,4,4,"Patiño Vieites, Ruben",ESP,30-34,01:00:54
2025 Valencia,HYROX PRO - Overall,Men,5,5,"Arruti, Igor",ESP,30-34,01:01:02
2025 Valencia,HYROX PRO - Overall,Men,6,6,"Valverde Reyes, Pablo",ESP,30-34,01:01:34
2025 Valencia,HYROX PRO - Overall,Men,7,1,"Viciedo Gimeno, Roberto",ESP,25-29,01:02:23
2025 Valencia,HYROX PRO - Overall,Men,8,7,"Bryant, Jordan",GBR,30-34,01:02:24
2025 Valencia,HYROX PRO - Overall,Men,9,2,"Cano Benito, Erlaitz",ESP,25-29,01:03:01
2025 Valencia,HYROX PRO - Overall,Men,10,3,"González Álvarez, Jorge",ESP,25-29,01:03:02
2025 Valencia,HYROX PRO - Overall,Men,11,1,"Olivares Plaza, Sergio",ESP,35-39,01:03:56
2025 Valencia,HYROX PRO - Overall,Men,12,4,"Suárez Medina, Fernando",ESP,25-29,01:04:14
2025 Valencia,HYROX PRO - Overall,Men,13,2,"Toquero, Yeray",ESP,35-39,01:04:16
2025 Valencia,HYROX PRO - Overall,Men,14,8,"Gamba Dondich, Valentín",ARG,30-34,01:04:24
2025 Valencia,HYROX PRO - Overall,Men,15,1,"García Rubio, Luis",ESP,16-24,01:04:25
2025 Valencia,HYROX PRO - Overall,Men,16,3,"Prates, Filipe",POR,35-39,01:05:03
2025 Valencia,HYROX PRO - Overall,Men,17,4,"Amat Diez, Ángel",ESP,35-39,01:05:32
2025 Valencia,HYROX PRO - Overall,Men,18,9,"Costa, Tiago",POR,30-34,01:05:53
2025 Valencia,HYROX PRO - Overall,Men,19,10,"Medina, Fran",ESP,30-34,01:06:09
2025 Valencia,HYROX PRO - Overall,Men,20,5,"Bloor, Matthew",GBR,35-39,01:06:39
2025 Valencia,HYROX PRO - Overall,Men,21,2,"Wisdom, Brady",USA,16-24,01:06:43
2025 Valencia,HYROX PRO - Overall,Men,22,5,"Uscroft-Mould, Danny",GBR,25-29,01:07:16
