Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,1,1,"Ben Murphy, Jordan M Brame",,30-34,00:53:29
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,2,1,"George Wootten, Travis Owles",,MU29,00:54:37
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,3,2,"Szymon Kolasa, Paweł Leśnikowski",,30-34,00:55:28
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,4,2,"Arkadiusz Grabowiec, Damian Łuniewski",,MU29,00:55:32
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,5,3,"Daniel Bejer, Mathias Lynge",,MU29,00:55:45
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,6,3,"Jack Johnson, Jordan Parker",,30-34,00:56:51
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,7,1,"Joze Kojc, Gašper Valant",,50-54,00:58:08
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,8,4,"Jonas Krogh, Emil Albrechtsen",,30-34,00:58:09
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,9,5,"Mateusz Stępnikowski, Konrad Wróbel",,30-34,00:58:26
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,10,6,"Paweł Murawski, Damian Gawlak",,30-34,00:58:52
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,11,7,"Filip Nikolic, Dominik Poreba",,30-34,00:59:15
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,12,1,"Jan Peršín, Pavel Kolebač",,40-44,00:59:33
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,13,8,"Matt Bateson, Michael Saunders",,30-34,00:59:34
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,14,9,"Bartłomiej Gradowski, Radosław Humiński",,30-34,00:59:46
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,15,10,"Piotr Kułak, Dariusz Rzepecki",,30-34,01:00:41
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,16,11,"Stephen Walker, Khalil Griffin",,30-34,01:00:46
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,17,2,"Łukasz Żolik, Mariusz Mirek",,40-44,01:00:50
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,18,3,"Ross O'Loughlin, Brian Comyns",,40-44,01:01:04
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,19,12,"Bartek Karczewski, Łukasz Zalewski",,30-34,01:01:11
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,20,13,"Marek Podolinsky, Martin Zastko",,30-34,01:01:18
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,21,4,"Oliver Bruns, David Fischer",,40-44,01:01:20
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,22,14,"Aaron Caruana, Nicholas Borg",,30-34,01:01:21
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,23,15,"Dennis Weikamp, Sascha Fuchs",,30-34,01:01:28
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,24,16,"Massimo De Lieto, Filippo Angelino",,30-34,01:01:32
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,25,5,"Marcin Kossak, Jacek Podsiadło",,40-44,01:01:35
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,26,17,"Ethan Strevett, Lewis Vine",,30-34,01:01:43
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,27,4,"Paweł Pawełko, Aleh Mitskevich",,MU29,01:01:50
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,28,18,"Ross Montgomery, Scott Montgomery",,30-34,01:01:51
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,29,6,"Michal Pokorný, Daniel Kedršt",,40-44,01:02:00
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,30,5,"Lukas Kirilovas, Lukas Bitinaitis",,MU29,01:02:15
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,31,19,"Clément Saguee, Salim Herbet",,30-34,01:02:27
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,32,2,"Nigel Levett, Darren Shearer",,50-54,01:02:34
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,33,20,"Radosław Koczwara, Konrad Lasak",,30-34,01:02:34
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,34,21,"Marcin Sałata, Marek Boliński",,30-34,01:02:37
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,35,22,"Krzysztof Stanclik, Mariusz Koniec",,30-34,01:02:37
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,36,23,"Rafał Zabłocki, Piotr Kułak",,30-34,01:02:51
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,37,24,"David Rice, Matthew Prunty",,30-34,01:02:58
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,38,25,"Damian Truchel, Jakub Frelich",,30-34,01:03:23
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,39,26,"Magnus Forssten, Christoffer Gustafsson",,30-34,01:03:30
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,40,27,"Killian Costello, Cathal Lynch",,30-34,01:03:38
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,41,7,"Mariusz Dąbrowski, Adam Kowalski",,40-44,01:03:50
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,42,28,"Dawid Potoczny, Hubert Depta",,30-34,01:04:11
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,43,29,"Daniel Mularczyk, Jarosław Drzewiecki",,30-34,01:04:25
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,44,30,"Mateusz Florczak, Patryk Król",,30-34,01:04:27
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,45,8,"Daniel Jenkins, Adrian Harris",,40-44,01:04:33
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,46,31,"Wieland Faßmann, Christoph Hopp",,30-34,01:04:42
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,47,32,"Gediminas Simanavičius, Rytis Kalinauskas",,30-34,01:05:05
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,48,33,"Michał Sadowski, Tomasz Szkurłat",,30-34,01:05:23
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,49,6,"Maciej Pyrtko, Mateusz Gorzko",,MU29,01:05:53
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,50,34,"Piotr Patyk, Tomasz Machej",,30-34,01:06:01
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,51,35,"Samuel O'Sullivan, Marc Gunter",,30-34,01:06:22
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,52,7,"Patryk Ruczyński, Michał Naumczyk",,MU29,01:06:27
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,53,36,"Michał Pabich, Marcin Pabich",,30-34,01:06:34
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,54,37,"Piotr Riabych, Robertas Stankus",,30-34,01:06:46
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,55,9,"Malcolm Allister, Andy Robb",,40-44,01:07:00
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,56,10,"Thomas Williams, Gareth Morgan",,40-44,01:07:01
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,57,38,"Piotr Aleksiejuk, Patryk Ziółek",,30-34,01:07:04
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,58,11,"Rafał Jodaniewski, Mariusz Bujalski",,40-44,01:07:10
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,59,12,"Krzysztof Jezierski, Sebastian Nowak",,40-44,01:07:11
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,60,39,"Artem Natalich, Łukasz Olbracht",,30-34,01:07:23
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,61,13,"Ståle Aspestrand, Arne Larsen",,40-44,01:07:47
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,62,40,"Andrzej Zieliński, Waldemar Zieliński",,30-34,01:08:24
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,63,8,"Albert Tumulik, Jakub Śreniawski",,MU29,01:08:38
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,64,41,"Igor Obrovski, Alexander Weinert",,30-34,01:08:44
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,65,42,"Paweł Ratuś, Jakub Szmytkowski",,30-34,01:08:48
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,66,43,"Karol Twarowski, Michał Sławiński",,30-34,01:08:51
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,67,9,"Titouan Crave, Loïc Levasseur",,MU29,01:09:18
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,68,10,"Henry Johnson, Jack Cresswell",,MU29,01:09:20
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,69,44,"Grzegorz Kręcigłowa, Tomasz Nietubyc",,30-34,01:09:38
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,70,45,"Ciaran Ashe, Barry Monaghan",,30-34,01:09:39
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,71,46,"Krzysztof Maciążek, Tomasz Tamioła",,30-34,01:09:40
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,72,47,"Karolis Veckys, Bartlomiej Markovsky",,30-34,01:09:42
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,73,48,"Grzegorz Cerazy, Bartosz Cichy",,30-34,01:09:46
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,74,49,"Cole Barry, Gareth Chapman",,30-34,01:09:51
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,75,3,"Lars Seiffert, Torsten Engel",,50-54,01:10:06
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,76,14,"Gerard Greń, Paweł Borek",,40-44,01:10:43
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,77,11,"Cezary Markowski, Jakub Malinowski",,MU29,01:10:44
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,78,50,"Werner Hartmann, Libor Hrbáček",,30-34,01:10:54
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,79,15,"Przemek Rajewski, Włodzimierz Skosogorienko",,40-44,01:10:56
2025 Warsaw,HYROX PRO DOUBLES - Overall,Men,80,16,"Johannes Zimmerman, Dominic Thimm",,40-44,01:11:02
