Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Anaheim,HYROX PRO,Men,1,1,"Driscoll, Jack",USA,25-29,00:57:31
2025 Anaheim,HYROX PRO,Men,2,1,"Kent, Ryan",USA,40-44,00:58:53
2025 Anaheim,HYROX PRO,Men,3,1,"Smith, Chase",USA,30-34,00:59:23
2025 Anaheim,HYROX PRO,Men,4,2,"Callahan, Ryan",USA,30-34,00:59:51
2025 Anaheim,HYROX PRO,Men,5,1,"Jackson, Grady",USA,35-39,01:00:24
2025 Anaheim,HYROX PRO,Men,6,2,"Stacy, Joe",USA,35-39,01:00:39
2025 Anaheim,HYROX PRO,Men,7,2,"Gibbs, Jake",USA,25-29,01:01:10
2025 Anaheim,HYROX PRO,Men,8,3,"Azar, Austin",CAN,30-34,01:02:25
2025 Anaheim,HYROX PRO,Men,9,3,"Hayes Jr, Anthony",USA,25-29,01:03:29
2025 Anaheim,HYROX PRO,Men,10,4,"Rorrer, Tyler",USA,30-34,01:03:29
2025 Anaheim,HYROX PRO,Men,11,3,"Mahan, Jerimiah",USA,35-39,01:03:53
2025 Anaheim,HYROX PRO,Men,12,2,"Horton, Elijah",USA,40-44,01:04:06
2025 Anaheim,HYROX PRO,Men,13,4,"Mueller, Cole",USA,25-29,01:04:28
2025 Anaheim,HYROX PRO,Men,14,5,"Acuna, Fabian",USA,30-34,01:04:44
2025 Anaheim,HYROX PRO,Men,15,4,"Critides, Wade",USA,35-39,01:05:49
2025 Anaheim,HYROX PRO,Men,16,6,"Voss, Hayden",USA,30-34,01:06:10
2025 Anaheim,HYROX PRO,Men,17,7,"Maguire, Ryan",USA,30-34,01:06:12
2025 Anaheim,HYROX PRO,Men,18,1,"France, Jaosn",USA,45-49,01:06:13
2025 Anaheim,HYROX PRO,Men,19,8,"Eberle, Oscar",USA,30-34,01:07:31
2025 Anaheim,HYROX PRO,Men,20,9,"Yundov, Nikita",BLR,30-34,01:07:42
2025 Anaheim,HYROX PRO,Men,21,1,"Fitzgerald, Jeff",USA,16-24,01:07:55
2025 Anaheim,HYROX PRO,Men,22,10,"Clark, Evan",USA,30-34,01:08:07
2025 Anaheim,HYROX PRO,Men,23,5,"Crichlow, Justin",USA,25-29,01:08:24
2025 Anaheim,HYROX PRO,Men,24,5,"Sorenson, Daniel",USA,35-39,01:08:39
2025 Anaheim,HYROX PRO,Men,25,11,"Wegner, Jacob",CAN,30-34,01:08:50
2025 Anaheim,HYROX PRO,Men,26,6,"Zelaya, Matthew",USA,25-29,01:09:04
2025 Anaheim,HYROX PRO,Men,27,7,"Johnson, Alex",USA,25-29,01:09:06
2025 Anaheim,HYROX PRO,Men,28,6,"Gorney, Alexander",USA,35-39,01:09:08
2025 Anaheim,HYROX PRO,Men,29,12,"Littell, Jordan",USA,30-34,01:09:40
2025 Anaheim,HYROX PRO,Men,30,13,"Atanasov, Borce",USA,30-34,01:09:42
2025 Anaheim,HYROX PRO,Men,31,7,"Neville, Mike",USA,35-39,01:09:43
2025 Anaheim,HYROX PRO,Men,32,2,"Laverty, Conor",USA,45-49,01:10:00
2025 Anaheim,HYROX PRO,Men,33,8,"Oneill, Ryon",USA,35-39,01:10:22
2025 Anaheim,HYROX PRO,Men,34,14,"Peevler, Mike",USA,30-34,01:10:22
2025 Anaheim,HYROX PRO,Men,35,15,"Dawgiello, Chad",USA,30-34,01:10:23
2025 Anaheim,HYROX PRO,Men,36,16,"Witek, Mitch",USA,30-34,01:10:28
2025 Anaheim,HYROX PRO,Men,37,9,"Rojas, David",USA,35-39,01:10:28
2025 Anaheim,HYROX PRO,Men,38,10,"Carmody, Eric",USA,35-39,01:10:44
2025 Anaheim,HYROX PRO,Men,39,8,"Piccinini, Joey",CAN,25-29,01:10:54
2025 Anaheim,HYROX PRO,Men,40,17,"Troy, Dylan",USA,30-34,01:11:05
2025 Anaheim,HYROX PRO,Men,41,3,"Amistoso, Jonathan",PHI,40-44,01:11:50
2025 Anaheim,HYROX PRO,Men,42,3,"Ondris, Robert",USA,45-49,01:11:51
2025 Anaheim,HYROX PRO,Men,43,9,"Cetti, Devon",USA,25-29,01:12:04
2025 Anaheim,HYROX PRO,Men,44,18,"Cowley, Tate",USA,30-34,01:12:13
2025 Anaheim,HYROX PRO,Men,45,2,"Fasulkey, Zander",USA,16-24,01:12:15
2025 Anaheim,HYROX PRO,Men,46,19,"Koerper, Benjamin",USA,30-34,01:12:15
2025 Anaheim,HYROX PRO,Men,47,20,"Bass, Archie",USA,30-34,01:12:30
2025 Anaheim,HYROX PRO,Men,48,21,"Cody, Adam",USA,30-34,01:12:32
2025 Anaheim,HYROX PRO,Men,49,11,"Osman, Zachary",USA,35-39,01:12:48
2025 Anaheim,HYROX PRO,Men,50,12,"Hood, Chance",USA,35-39,01:12:52
