Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,1,1,"Tony Revell, Ciaran Parkinson",,35-39,00:51:53
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,2,1,"Evan Marion, Steve Pinau",,25-29,00:52:29
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,3,2,"Quentin Pingliez, Hugo Beck",,25-29,00:52:51
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,4,3,"Lucas Descombes, Leo Bordessoule",,25-29,00:53:44
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,5,1,"Dimitrys Martins, Olivier Jouve",,30-34,00:54:21
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,6,2,"Guillaume Briant, Quentin Garel",,30-34,00:54:27
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,7,4,"Valentin Darthout, TIMOTHE GAREL",,25-29,00:54:50
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,8,3,"Jeoffrey Rabanal, Baptiste Lance",,30-34,00:55:19
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,9,4,"Thomas Delattre, Thomas Boivin",,30-34,00:55:30
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,10,5,"Elouan Millau, Damien Arlot",,25-29,00:55:44
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,11,5,"Nicolas Paquay, Nicolas Reynet",,30-34,00:55:50
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,12,1,"Adrien Leroux, Manis Lounis",,16-24,00:55:56
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,13,6,"Silver Cusset, Enzo Napoli",,25-29,00:56:43
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,14,7,"David Gosse, Clément Gau",,25-29,00:56:51
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,15,2,"Bruno Maunoir, Loïc Gamblin",,16-24,00:56:55
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,16,2,"Thibaut Morgado Da Costa, Eliott Goi",,35-39,00:57:07
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,17,8,"Corentin Folliot, Jessie Pellerin",,25-29,00:57:24
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,18,9,"Wadir Djadane, Malik Bengorine",,25-29,00:57:28
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,19,6,"adrien RAFFAULT, Charles RAFFAULT",,30-34,00:57:31
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,20,7,"Max Villa, Grégoire Monguillon",,30-34,00:57:51
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,21,10,"Axel Aujoulat, Florin Pandeli",,25-29,00:57:59
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,22,11,"Paul Ligier, Benjamin Borello",,25-29,00:58:06
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,23,12,"Alexis Bejean, Timothé Garel",,25-29,00:58:09
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,24,13,"Nicolas Naudy, Gaëtan Escrivant",,25-29,00:58:38
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,25,8,"Alexis Panetier, Vincent Cambon",,30-34,00:58:38
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,26,3,"Cedric Saint-Martin, Kevin Bianchi",,35-39,00:59:15
2025 Bordeaux,HYROX PRO DOUBLES - Overall,Men,27,14,"Alberto Caraballo, Aaron Gil Corrales",,25-29,00:59:15
