Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Johannesburg,HYROX PRO DOUBLES,Men,1,1,"Dean Battersby, Wesley Henning",,30-34,00:58:20
2025 Johannesburg,HYROX PRO DOUBLES,Men,2,2,"Simon Goldsbrough, Luke Jacobs",,30-34,00:58:43
2025 Johannesburg,HYROX PRO DOUBLES,Men,3,3,"Charles Nel, Heinrich Kamffer",,30-34,00:58:47
2025 Johannesburg,HYROX PRO DOUBLES,Men,4,1,"Neale Lucas-Bull, Waldo Du Plessis",,35-39,00:59:41
2025 Johannesburg,HYROX PRO DOUBLES,Men,5,4,"Matthewstone S Mzandolo, Justin Christoforos",,30-34,01:04:13
2025 Johannesburg,HYROX PRO DOUBLES,Men,6,1,"Siya Nkonyane, Sbusiso Dlamini",,25-29,01:05:27
2025 Johannesburg,HYROX PRO DOUBLES,Men,7,2,"Christiaan Greeff, Herman Smit",,35-39,01:05:49
2025 Johannesburg,HYROX PRO DOUBLES,Men,8,5,"Keegan Ritchie, Keaton Edwards",,30-34,01:06:14
2025 Johannesburg,HYROX PRO DOUBLES,Men,9,1,"Justin de Oliveira, Raees Kajee",,40-44,01:07:35
2025 Johannesburg,HYROX PRO DOUBLES,Men,10,2,"Ebrahim Hartley, Achmat Moerat",,25-29,01:08:19
2025 Johannesburg,HYROX PRO DOUBLES,Men,11,1,"ROBERT HEUER, Johan Bekker",,45-49,01:08:31
2025 Johannesburg,HYROX PRO DOUBLES,Men,12,3,"Dewald Meyer, Phil-Mar Van Rensburg",,35-39,01:08:52
2025 Johannesburg,HYROX PRO DOUBLES,Men,13,4,"Garreth McLellan, James Pilkington",,35-39,01:08:53
2025 Johannesburg,HYROX PRO DOUBLES,Men,14,1,"Luca Kolatsis, Ralph Shepherd",,16-24,01:08:54
2025 Johannesburg,HYROX PRO DOUBLES,Men,15,3,"Sebastian Freeman, Sean MacTavish",,25-29,01:09:32
2025 Johannesburg,HYROX PRO DOUBLES,Men,16,4,"Gareth Rowson, James Rowson",,25-29,01:09:36
2025 Johannesburg,HYROX PRO DOUBLES,Men,17,5,"Dominic Blignaut, Calvin Blignaut",,25-29,01:09:51
2025 Johannesburg,HYROX PRO DOUBLES,Men,18,6,"Wesley Lewis, Josh Kernot",,30-34,01:09:55
