Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Poznan,HYROX PRO,Men,1,1,"Dornik, Domen",SLO,30-34,00:58:07
2025 Poznan,HYROX PRO,Men,2,2,"Alici, Turker",TUR,30-34,00:58:17
2025 Poznan,HYROX PRO,Men,3,1,"Garel, Quentin",FRA,25-29,00:58:22
2025 Poznan,HYROX PRO,Men,4,2,"Czapla, Jannik",GER,25-29,00:58:46
2025 Poznan,HYROX PRO,Men,5,1,"Marion, Evan",FRA,16-24,00:59:34
2025 Poznan,HYROX PRO,Men,6,3,"Azam, Hanzalah",GBR,25-29,00:59:34
2025 Poznan,HYROX PRO,Men,7,1,"Olsson, Oscar",SWE,40-44,01:00:07
2025 Poznan,HYROX PRO,Men,8,3,"Harrison, Neil",IRL,30-34,01:00:18
2025 Poznan,HYROX PRO,Men,9,4,"Węgorzewski, Maciej",POL,30-34,01:00:34
2025 Poznan,HYROX PRO,Men,10,4,"Copley, Reuben",GBR,25-29,01:00:45
2025 Poznan,HYROX PRO,Men,11,1,"Overend, Lewis",GBR,35-39,01:00:46
2025 Poznan,HYROX PRO,Men,12,2,"Buckland, Luke",GBR,16-24,01:00:47
2025 Poznan,HYROX PRO,Men,13,5,"Sinclair, Adam",GBR,30-34,01:00:53
2025 Poznan,HYROX PRO,Men,14,6,"Caruana, Mark",MLT,30-34,01:00:54
2025 Poznan,HYROX PRO,Men,15,3,"Martin, Aiden",GBR,16-24,01:00:56
2025 Poznan,HYROX PRO,Men,16,2,"Mrázek, Petr",CZE,35-39,01:01:15
2025 Poznan,HYROX PRO,Men,17,7,"Brown, Travis",GBR,30-34,01:01:18
2025 Poznan,HYROX PRO,Men,18,5,"Philson, Michael",IRL,25-29,01:01:27
2025 Poznan,HYROX PRO,Men,19,4,"Burns, Danny",GBR,16-24,01:01:33
2025 Poznan,HYROX PRO,Men,20,8,"Murphy, Craig",GBR,30-34,01:01:34
2025 Poznan,HYROX PRO,Men,21,9,"Hunt, Tyler",MLT,30-34,01:01:35
2025 Poznan,HYROX PRO,Men,22,2,"Gramacki, Paweł",POL,40-44,01:01:56
2025 Poznan,HYROX PRO,Men,23,10,"Henry, Joshua",GBR,30-34,01:02:03
2025 Poznan,HYROX PRO,Men,24,3,"Serveaux, Romain",FRA,40-44,01:02:17
2025 Poznan,HYROX PRO,Men,25,3,"Rybak, Dawid",POL,35-39,01:02:44
2025 Poznan,HYROX PRO,Men,26,11,"Esparza Monreal, Victor",ESP,30-34,01:02:59
2025 Poznan,HYROX PRO,Men,27,12,"Mccarthy, Luke",GBR,30-34,01:03:01
2025 Poznan,HYROX PRO,Men,28,13,"Strand, Vegard",NOR,30-34,01:03:05
2025 Poznan,HYROX PRO,Men,29,14,"Arvidsson, John",SWE,30-34,01:03:12
2025 Poznan,HYROX PRO,Men,30,6,"Matysiak, Marcin",POL,25-29,01:03:16
2025 Poznan,HYROX PRO,Men,31,5,"Gardner, Nathan",GBR,16-24,01:03:46
2025 Poznan,HYROX PRO,Men,32,4,"Oldach, Maik",GER,35-39,01:04:13
2025 Poznan,HYROX PRO,Men,33,6,"Konopásek, Milan",CZE,16-24,01:04:21
2025 Poznan,HYROX PRO,Men,34,7,"Jakobsen, Berthel",DEN,16-24,01:04:23
2025 Poznan,HYROX PRO,Men,35,7,"Blain, Aaron",GBR,25-29,01:04:24
2025 Poznan,HYROX PRO,Men,36,15,"Kozioł, Kamil",POL,30-34,01:04:33
2025 Poznan,HYROX PRO,Men,37,5,"Tanti Cuschieri, Glenn",MLT,35-39,01:04:39
2025 Poznan,HYROX PRO,Men,38,16,"De Chirco, Pasquale",ITA,30-34,01:04:40
2025 Poznan,HYROX PRO,Men,39,8,"Fuhler, Jordi",NED,25-29,01:04:41
2025 Poznan,HYROX PRO,Men,40,6,"Kathidjiotis, Charalampos",CYP,35-39,01:04:52
2025 Poznan,HYROX PRO,Men,41,7,"Staworzyński, Milosz",POL,35-39,01:04:54
2025 Poznan,HYROX PRO,Men,42,8,"Moran, Daniel",SCO,16-24,01:04:59
2025 Poznan,HYROX PRO,Men,43,9,"Hoffmann, Janik",GER,16-24,01:05:03
2025 Poznan,HYROX PRO,Men,44,8,"Corvetto, Enrico",ITA,35-39,01:05:04
2025 Poznan,HYROX PRO,Men,45,17,"Traczyk, Oskar",POL,30-34,01:05:07
2025 Poznan,HYROX PRO,Men,46,9,"Hubert, Stanisław",POL,25-29,01:05:17
2025 Poznan,HYROX PRO,Men,47,18,"Poirot, Maxime",FRA,30-34,01:05:30
2025 Poznan,HYROX PRO,Men,48,9,"Płóciennik, Piotr",POL,35-39,01:05:30
2025 Poznan,HYROX PRO,Men,49,10,"Ponichtera, Dawid",POL,16-24,01:05:34
2025 Poznan,HYROX PRO,Men,50,4,"Oliver, Anthony",FRA,40-44,01:05:40
