Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Vancouver,HYROX PRO,Men,1,1,"Driscoll, Jack",USA,25-29,00:55:23
2025 Vancouver,HYROX PRO,Men,2,2,"Douglas, Ryan",CAN,25-29,00:56:17
2025 Vancouver,HYROX PRO,Men,3,1,"Miller, Dawson",USA,30-34,00:56:27
2025 Vancouver,HYROX PRO,Men,4,3,"Sanderson, Isaac",CAN,25-29,00:58:20
2025 Vancouver,HYROX PRO,Men,5,1,"Reynolds, Jude",GBR,16-24,00:58:21
2025 Vancouver,HYROX PRO,Men,6,2,"Callahan, Ryan",USA,30-34,00:58:52
2025 Vancouver,HYROX PRO,Men,7,3,"Azar, Austin",CAN,30-34,00:59:08
2025 Vancouver,HYROX PRO,Men,8,1,"De Jong, Adam",CAN,35-39,01:00:06
2025 Vancouver,HYROX PRO,Men,9,1,"Horton, Elijah",USA,40-44,01:01:39
2025 Vancouver,HYROX PRO,Men,10,4,"Voss, Hayden",USA,30-34,01:02:07
2025 Vancouver,HYROX PRO,Men,11,5,"Graboys, Noah",USA,30-34,01:02:56
2025 Vancouver,HYROX PRO,Men,12,4,"Thomas, Haydn",CAN,25-29,01:03:39
2025 Vancouver,HYROX PRO,Men,13,6,"Mckenzie, Shane",JAM,30-34,01:04:09
2025 Vancouver,HYROX PRO,Men,14,5,"Simmonds, Tristan",CAN,25-29,01:04:19
2025 Vancouver,HYROX PRO,Men,15,6,"Collineau, Marc",CAN,25-29,01:04:23
2025 Vancouver,HYROX PRO,Men,16,2,"Wilson, Matt",CAN,35-39,01:04:42
2025 Vancouver,HYROX PRO,Men,17,3,"Evans, David",CAN,35-39,01:06:23
2025 Vancouver,HYROX PRO,Men,18,2,"Bechtold, Matt",USA,40-44,01:06:32
2025 Vancouver,HYROX PRO,Men,19,7,"D'Entremont, Eric",CAN,30-34,01:06:46
2025 Vancouver,HYROX PRO,Men,20,8,"Miller, Alex",USA,30-34,01:08:01
2025 Vancouver,HYROX PRO,Men,21,2,"Bussiere, Isaac",CAN,16-24,01:08:10
2025 Vancouver,HYROX PRO,Men,22,9,"Wilson, Klarc",CAN,30-34,01:08:15
2025 Vancouver,HYROX PRO,Men,23,10,"Robinson, Jaden",CAN,30-34,01:08:17
2025 Vancouver,HYROX PRO,Men,24,3,"Gregoire, Tristan",CAN,16-24,01:08:52
2025 Vancouver,HYROX PRO,Men,25,4,"Takasaki, Tyson",CAN,35-39,01:09:04
2025 Vancouver,HYROX PRO,Men,26,7,"Plier, Yohan",FRA,25-29,01:09:30
2025 Vancouver,HYROX PRO,Men,27,11,"Miele, Austin",USA,30-34,01:09:45
2025 Vancouver,HYROX PRO,Men,28,3,"Weber, James",CAN,40-44,01:09:46
2025 Vancouver,HYROX PRO,Men,29,5,"Girard, Guillaume",CAN,35-39,01:09:51
2025 Vancouver,HYROX PRO,Men,30,12,"Moline, Kyle",USA,30-34,01:09:54
