Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2025 Vancouver,HYROX PRO DOUBLES,Men,1,1,"Brandon Hughes, Charlie Farra",,35-39,00:56:39
2025 Vancouver,HYROX PRO DOUBLES,Men,2,2,"Eric O'Neil, Jay Muscart",,35-39,00:58:19
2025 Vancouver,HYROX PRO DOUBLES,Men,3,1,"Joe Scali, Jacob Fletcher",,30-34,00:58:56
2025 Vancouver,HYROX PRO DOUBLES,Men,4,1,"Rich Frazier, Andrew Prentice",,40-44,00:59:39
2025 Vancouver,HYROX PRO DOUBLES,Men,5,2,"Sean Conerty, Chase Stewart",,30-34,00:59:59
2025 Vancouver,HYROX PRO DOUBLES,Men,6,2,"Rikus Pretorius, Dave Poettcker",,40-44,01:00:01
2025 Vancouver,HYROX PRO DOUBLES,Men,7,3,"Borce Atanasov, Peter Downs",,30-34,01:00:27
2025 Vancouver,HYROX PRO DOUBLES,Men,8,4,"Peter Battaglia, Brady Miller",,30-34,01:02:45
2025 Vancouver,HYROX PRO DOUBLES,Men,9,5,"Lester Maxwell, Robin Fahy",,30-34,01:02:47
2025 Vancouver,HYROX PRO DOUBLES,Men,10,3,"Tim Gannon, Conor Hegarty",,40-44,01:05:19
2025 Vancouver,HYROX PRO DOUBLES,Men,11,6,"Dominic Stadnyk, Ryan Lasaleta",,30-34,01:05:47
2025 Vancouver,HYROX PRO DOUBLES,Men,12,7,"Kenton Jarvie, Zuki Majuqwana",,30-34,01:06:30
2025 Vancouver,HYROX PRO DOUBLES,Men,13,8,"Graeme Minty, Joel Forsyth",,30-34,01:06:41
2025 Vancouver,HYROX PRO DOUBLES,Men,14,1,"Connor Emeny, Innes Simpson",,25-29,01:06:49
2025 Vancouver,HYROX PRO DOUBLES,Men,15,2,"Kyong So, Richard Leach",,25-29,01:06:53
2025 Vancouver,HYROX PRO DOUBLES,Men,16,9,"Nick Tunzi, Mike Connolly",,30-34,01:07:04
2025 Vancouver,HYROX PRO DOUBLES,Men,17,3,"Ethan Paupst, Zach Konopaki",,25-29,01:07:11
2025 Vancouver,HYROX PRO DOUBLES,Men,18,10,"Joe Ward, Alison Busnardo",,30-34,01:07:11
2025 Vancouver,HYROX PRO DOUBLES,Men,19,4,"Sam Noster, Kyle Vis",,40-44,01:07:37
2025 Vancouver,HYROX PRO DOUBLES,Men,20,4,"Eamonn Barber, Steven Mcgee",,25-29,01:07:50
2025 Vancouver,HYROX PRO DOUBLES,Men,21,3,"Corry Whitworth, Adam Russell",,35-39,01:07:54
2025 Vancouver,HYROX PRO DOUBLES,Men,22,11,"Matias Narvaja, Jack Garland",,30-34,01:09:47
2025 Vancouver,HYROX PRO DOUBLES,Men,23,5,"Peyton Williams, Rob Goodfellow",,25-29,01:09:54
2025 Vancouver,HYROX PRO DOUBLES,Men,24,12,"Cameron Clark, Ryan Lynch",,30-34,01:09:55
2025 Vancouver,HYROX PRO DOUBLES,Men,25,13,"Ricky Jackson-Lewis, Stefan Koch",,30-34,01:09:58
2025 Vancouver,HYROX PRO DOUBLES,Men,26,14,"Justin Ralph, Jim Nickorouk",,30-34,01:10:00
2025 Vancouver,HYROX PRO DOUBLES,Men,27,15,"Ryan Heaven, Cory Nitchie",,30-34,01:11:28
2025 Vancouver,HYROX PRO DOUBLES,Men,28,6,"Markus Nielsen, Jeff Hudson",,25-29,01:11:34
2025 Vancouver,HYROX PRO DOUBLES,Men,29,1,"Tommaso Zanin, Gabriele Tortorella",,16-24,01:11:34
2025 Vancouver,HYROX PRO DOUBLES,Men,30,2,"Oscar Nils Mitchell Wiking, Jules Orriere",,16-24,01:11:43
2025 Vancouver,HYROX PRO DOUBLES,Men,31,7,"Caleb Fredrickson, Haydn Smith",,25-29,01:12:59
2025 Vancouver,HYROX PRO DOUBLES,Men,32,16,"Cam Russ, Jay Rudwall",,30-34,01:13:18
2025 Vancouver,HYROX PRO DOUBLES,Men,33,17,"Kodie Laughlin, Jaime Jarvis",,30-34,01:14:05
2025 Vancouver,HYROX PRO DOUBLES,Men,34,18,"Gilberto Castelo Branco, Michael Valic",,30-34,01:14:11
2025 Vancouver,HYROX PRO DOUBLES,Men,35,4,"Sam Medhurst, Timothy Kelly",,35-39,01:14:48
2025 Vancouver,HYROX PRO DOUBLES,Men,36,5,"Andrew Thomas, Ryan Silveira",,40-44,01:14:49
2025 Vancouver,HYROX PRO DOUBLES,Men,37,3,"Connor Ingram, Evan Mitchell",,16-24,01:15:04
2025 Vancouver,HYROX PRO DOUBLES,Men,38,5,"Ethan Townsend, Alex Aistrope",,35-39,01:15:52
2025 Vancouver,HYROX PRO DOUBLES,Men,39,6,"Ej Dockery, Mike Goods",,35-39,01:16:06
2025 Vancouver,HYROX PRO DOUBLES,Men,40,8,"Colin Runk, Andrew Grondin",,25-29,01:16:08
2025 Vancouver,HYROX PRO DOUBLES,Men,41,4,"Eric Thibault, Juan Carcamo",,16-24,01:16:20
2025 Vancouver,HYROX PRO DOUBLES,Men,42,9,"Sean O’Bryan, Bayley Stefanek",,25-29,01:16:26
2025 Vancouver,HYROX PRO DOUBLES,Men,43,1,"Max Gaspranov, Aaron Harburn",,45-49,01:16:28
2025 Vancouver,HYROX PRO DOUBLES,Men,44,19,"Thomas Wan, Marco Wan",,30-34,01:16:46
2025 Vancouver,HYROX PRO DOUBLES,Men,45,5,"Kieran Chanteloup, Ryan Nightingale",,16-24,01:17:26
2025 Vancouver,HYROX PRO DOUBLES,Men,46,20,"Brendan Mcculloch, Bryson Bleker",,30-34,01:17:33
2025 Vancouver,HYROX PRO DOUBLES,Men,47,21,"Jeremy Maillet, Erik Burton",,30-34,01:17:53
2025 Vancouver,HYROX PRO DOUBLES,Men,48,22,"Stephen Foster, Travis Schade",,30-34,01:18:58
2025 Vancouver,HYROX PRO DOUBLES,Men,49,10,"David Ens, James Ledson",,25-29,01:19:11
2025 Vancouver,HYROX PRO DOUBLES,Men,50,6,"Matthew Epp, Nicholas Granley",,16-24,01:20:18
2025 Vancouver,HYROX PRO DOUBLES,Men,51,7,"Youngjin Jo, Ivan Wahyudi",,35-39,01:20:55
2025 Vancouver,HYROX PRO DOUBLES,Men,52,23,"Jishan Sharples, Tafadzwa Mushandu",,30-34,01:20:58
