Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,1,1,"Louis Osselaer, Maarten Enthoven",,30-34,00:49:45
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,2,1,"Pedro Antonio Toral Leiva, Roberto Viciedo Gimeno",,25-29,00:50:30
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,3,1,"Cem Ter Burg, Ross Walker",,16-24,00:51:01
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,4,2,"Pieter Maes, Tom Franssens",,30-34,00:51:04
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,5,3,"Sam Schoeman, Nicky Verhoeven",,30-34,00:51:13
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,6,4,"Quentin Garel, Tommy Valentin",,30-34,00:51:40
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,7,2,"Dennis Gödde, Jan-Niklas Friedrich",,25-29,00:52:29
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,8,5,"Florian Gast, Peter Schiller",,30-34,00:52:39
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,9,1,"Mark Newton, Tony Revell",,35-39,00:53:40
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,10,6,"Jannick Plantinga, Mark Nieuwenhuis",,30-34,00:53:49
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,11,7,"Samir Schön, Timo Tekolf",,30-34,00:54:01
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,12,2,"Ben Mcmullen, Jay Hudson",,16-24,00:54:17
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,13,3,"Joep De Beer, Umesh Ten Kate",,25-29,00:54:19
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,14,4,"Jordi Fuhler, Bobby Bos",,25-29,00:54:29
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,15,5,"Gabriel Baijings, Jasper Baijings",,25-29,00:54:31
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,16,8,"Nick Van Ommen, Vincent Veth",,30-34,00:54:32
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,17,9,"Antoine Bouhana, Anthony Casano",,30-34,00:54:43
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,18,6,"Jordi Fuhler, Jop Janssen",,25-29,00:54:49
2026 Amsterdam,HYROX PRO DOUBLES - Overall,Men,19,7,"Matthew McDowell, Jack Waugh",,25-29,00:54:59
