Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2026 Guadalajara,HYROX PRO,Men,1,1,"Menéndez Fernández, Pelayo",ESP,35-39,01:00:30
2026 Guadalajara,HYROX PRO,Men,2,1,"Callahan, Ryan",USA,30-34,01:01:29
2026 Guadalajara,HYROX PRO,Men,3,2,"Carrillo Avila, Alan",MEX,30-34,01:01:40
2026 Guadalajara,HYROX PRO,Men,4,3,"Fierro Elias, Mario Habib",MEX,30-34,01:04:06
2026 Guadalajara,HYROX PRO,Men,5,4,"Barsse, Emilio",MEX,30-34,01:05:14
2026 Guadalajara,HYROX PRO,Men,6,5,"Hernandez, Miguel",MEX,30-34,01:05:19
2026 Guadalajara,HYROX PRO,Men,7,6,"Trujillo Ortega, Alexis",MEX,30-34,01:05:50
2026 Guadalajara,HYROX PRO,Men,8,2,"Morin, Johan",FRA,35-39,01:06:39
2026 Guadalajara,HYROX PRO,Men,9,7,"Farias, Dionicio",MEX,30-34,01:08:14
2026 Guadalajara,HYROX PRO,Men,10,8,"Huerta Saint John, Aric",MEX,30-34,01:08:16
2026 Guadalajara,HYROX PRO,Men,11,1,"López Aguilar, Axel",MEX,25-29,01:09:16
2026 Guadalajara,HYROX PRO,Men,12,9,"Espino, Reyes",USA,30-34,01:10:21
2026 Guadalajara,HYROX PRO,Men,13,10,"Ramos Aguilar, Ismael",MEX,30-34,01:10:26
2026 Guadalajara,HYROX PRO,Men,14,2,"Roldan Campos, Fernando Michel",MEX,25-29,01:11:02
2026 Guadalajara,HYROX PRO,Men,15,3,"Flores, German",MEX,25-29,01:11:13
2026 Guadalajara,HYROX PRO,Men,16,4,"Gomez, German",MEX,25-29,01:11:13
2026 Guadalajara,HYROX PRO,Men,17,5,"Zamora, Otoniel",MEX,25-29,01:11:58
2026 Guadalajara,HYROX PRO,Men,18,3,"García Martínez, Daniel",MEX,35-39,01:12:29
2026 Guadalajara,HYROX PRO,Men,19,6,"Gálvez, José Luis",MEX,25-29,01:13:07
2026 Guadalajara,HYROX PRO,Men,20,11,"López Arellano, José Osvaldo",MEX,30-34,01:13:09
2026 Guadalajara,HYROX PRO,Men,21,4,"Gameros Olivas, Omar René",MEX,35-39,01:13:16
2026 Guadalajara,HYROX PRO,Men,22,1,"Otero, Mike",MEX,45-49,01:13:18
2026 Guadalajara,HYROX PRO,Men,23,5,"Cuevas, Carlos",MEX,35-39,01:13:50
2026 Guadalajara,HYROX PRO,Men,24,12,"Mille, Florian",FRA,30-34,01:13:51
2026 Guadalajara,HYROX PRO,Men,25,6,"Sanchez Lemos, Diego Sebastian",URU,35-39,01:13:52
2026 Guadalajara,HYROX PRO,Men,26,7,"Valle Alaniz, Victor Manuel",MEX,35-39,01:13:58
2026 Guadalajara,HYROX PRO,Men,27,13,"Revuelto González, Jorge",MEX,30-34,01:14:10
2026 Guadalajara,HYROX PRO,Men,28,7,"Pereznegron Parrilla, Emiliano",MEX,25-29,01:14:36
2026 Guadalajara,HYROX PRO,Men,29,8,"Cortes, Juan Carlos",MEX,35-39,01:14:57
2026 Guadalajara,HYROX PRO,Men,30,1,"Schindler, Adam",USA,40-44,01:15:36
2026 Guadalajara,HYROX PRO,Men,31,8,"Lara, Roberto",MEX,25-29,01:15:50
2026 Guadalajara,HYROX PRO,Men,32,9,"Cardenas Padilla, Jacob",MEX,25-29,01:16:40
2026 Guadalajara,HYROX PRO,Men,33,14,"Sanchez Lisboa, Marco",USA,30-34,01:16:44
2026 Guadalajara,HYROX PRO,Men,34,1,"Bilson, Amir",MEX,16-24,01:16:47
2026 Guadalajara,HYROX PRO,Men,35,15,"Peña Lerma, Juan José",MEX,30-34,01:17:28
2026 Guadalajara,HYROX PRO,Men,36,2,"Prieto Santana, Juan Manuel",ESP,40-44,01:17:54
2026 Guadalajara,HYROX PRO,Men,37,16,"Cuevas, Jorge",MEX,30-34,01:18:05
2026 Guadalajara,HYROX PRO,Men,38,17,"Delgado, Yunuen",MEX,30-34,01:18:18
2026 Guadalajara,HYROX PRO,Men,39,2,"Esquivel Murillo, Abraham",MEX,16-24,01:18:26
2026 Guadalajara,HYROX PRO,Men,40,9,"Domínguez Galarza, César",MEX,35-39,01:18:33
2026 Guadalajara,HYROX PRO,Men,41,2,"Krzeski, Sebastian",POL,45-49,01:19:07
2026 Guadalajara,HYROX PRO,Men,42,10,"Espinosa, Carlos",MEX,25-29,01:19:23
2026 Guadalajara,HYROX PRO,Men,43,18,"Gallegos Cereceres, Manuel Roberto",MEX,30-34,01:20:02
2026 Guadalajara,HYROX PRO,Men,44,11,"Sanocki, Bartlomiej",POL,25-29,01:20:04
