Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,1,1,"Cole Learn, Hunter McIntyre",,35-39,00:48:51
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,2,2,"Brandon Hughes, Chase Smith",,35-39,00:54:12
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,3,1,"Benjamin Amsallem, Clement Puaud Canard",,30-34,00:54:31
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,4,1,"Joseph Rucco, Alexander Golik",,25-29,00:55:57
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,5,2,"Jonah Garcia, Alex Miller",,30-34,00:56:07
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,6,1,"Matt Russell, AJ Baucco",,40-44,00:56:28
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,7,3,"Andrew Kelley, Keith Hardwick",,35-39,00:56:44
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,8,3,"Chris Monpere, Anthony Hayes Jr",,30-34,00:57:14
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,9,2,"Amado Acosta, Cody Sahlstrom",,25-29,00:57:29
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,10,3,"Clay Chapman, Christian Daly",,25-29,00:57:34
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,11,4,"Armando Vazquez, Elijah Horton",,35-39,00:57:57
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,12,5,"Michael Hartman, Anthony Peressini",,35-39,00:58:13
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,13,1,"Tiarnan O’Neill, Feidhlim Quinn",,16-24,00:58:32
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,14,4,"Serhad Ketsamanian, Giovanni Sabatasso",,25-29,00:58:43
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,15,2,"Gunnar Keeling, Cole Mueller",,16-24,00:58:49
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,16,5,"Gus Manke, Jack Dobell",,25-29,00:58:55
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,17,4,"Blake Mistretta, Justin Soffa",,30-34,00:58:55
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,18,2,"Jeremiah Santini, Mitchell Doler",,40-44,00:59:00
2026 Las Vegas,HYROX PRO DOUBLES - Friday,Male,19,5,"Ben Woolford, Josh Mildren",,30-34,00:59:04
