Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2026 St. Gallen,HYROX PRO,Men,1,1,"Wills, Beau",NZL,30-34,00:58:43
2026 St. Gallen,HYROX PRO,Men,2,1,"Pedrocchi, Tiziano",SUI,25-29,00:59:57
2026 St. Gallen,HYROX PRO,Men,3,1,"Ennis, Luke",GBR,16-24,01:01:08
2026 St. Gallen,HYROX PRO,Men,4,2,"Zajons, Lukas",GER,30-34,01:02:39
2026 St. Gallen,HYROX PRO,Men,5,3,"Oswald, Michael",GER,30-34,01:03:09
2026 St. Gallen,HYROX PRO,Men,6,4,"Sallin, Lucas",SUI,30-34,01:03:51
2026 St. Gallen,HYROX PRO,Men,7,5,"Bierwirth, Felix",GER,30-34,01:03:52
2026 St. Gallen,HYROX PRO,Men,8,2,"Fuhler, Jordi",NED,25-29,01:05:06
2026 St. Gallen,HYROX PRO,Men,9,1,"Ziegelmüller, Patrick",GER,35-39,01:05:21
2026 St. Gallen,HYROX PRO,Men,10,2,"Fulianty, Leon",POL,16-24,01:06:01
2026 St. Gallen,HYROX PRO,Men,11,1,"Schifferle, Mike",SUI,50-54,01:06:08
2026 St. Gallen,HYROX PRO,Men,12,6,"Braznell, Joshua",GBR,30-34,01:06:32
2026 St. Gallen,HYROX PRO,Men,13,3,"Wacker, Tim",GER,16-24,01:06:45
2026 St. Gallen,HYROX PRO,Men,14,1,"Gayer, Patrick",GER,40-44,01:06:57
2026 St. Gallen,HYROX PRO,Men,15,2,"Forootan, Kevin",FRA,35-39,01:07:41
2026 St. Gallen,HYROX PRO,Men,16,2,"Fechner, Dominik",GER,40-44,01:07:59
2026 St. Gallen,HYROX PRO,Men,17,4,"Schollmayer, Nuno",GER,16-24,01:08:00
2026 St. Gallen,HYROX PRO,Men,18,7,"Merkt, Raphael",GER,30-34,01:08:04
2026 St. Gallen,HYROX PRO,Men,19,3,"Messing, Danny",GER,35-39,01:08:29
2026 St. Gallen,HYROX PRO,Men,20,3,"Masson, Gaël",FRA,25-29,01:08:30
2026 St. Gallen,HYROX PRO,Men,21,4,"Sindermann, Thorben",GER,35-39,01:09:06
2026 St. Gallen,HYROX PRO,Men,22,4,"Solari, Matteo",SUI,25-29,01:09:27
2026 St. Gallen,HYROX PRO,Men,23,5,"Cologna, Dario",SUI,35-39,01:09:38
