Race,Division,Gender,Rank Overall,Rank Age Group,Name,Nation,Age Group,Total Time
2026 Vienna,HYROX PRO,Men,1,1,"Tvrdik, Tomas",CZE,40-44,00:55:43
2026 Vienna,HYROX PRO,Men,2,1,"Lindsay, Ronan",IRL,30-34,00:56:19
2026 Vienna,HYROX PRO,Men,3,1,"Hynek, Richard",CZE,25-29,00:57:35
2026 Vienna,HYROX PRO,Men,4,2,"Poremba, Krystian Patryk",POL,30-34,00:57:41
2026 Vienna,HYROX PRO,Men,5,2,"Weindl, Paul",GER,25-29,00:57:42
2026 Vienna,HYROX PRO,Men,6,3,"Groinig, Rene",AUT,30-34,00:58:01
2026 Vienna,HYROX PRO,Men,7,3,"Kreutzer, Julian",AUT,25-29,00:58:36
2026 Vienna,HYROX PRO,Men,8,4,"alici, turker",TUR,30-34,00:58:39
2026 Vienna,HYROX PRO,Men,9,4,"Mccroary, Liam",SCO,25-29,00:58:41
2026 Vienna,HYROX PRO,Men,10,1,"Storath, Lukas",GER,45-49,00:59:18
2026 Vienna,HYROX PRO,Men,11,5,"Zajons, Lukas",GER,30-34,01:00:16
2026 Vienna,HYROX PRO,Men,12,5,"Sutton, MJ",IRL,25-29,01:00:34
2026 Vienna,HYROX PRO,Men,13,6,"Lawrence, Jack",GBR,25-29,01:00:49
2026 Vienna,HYROX PRO,Men,14,6,"Karsch, Marvin",GER,30-34,01:01:24
2026 Vienna,HYROX PRO,Men,15,7,"Caruana, Mark",MLT,30-34,01:01:29
2026 Vienna,HYROX PRO,Men,16,8,"Asci, Piran",GER,30-34,01:02:01
2026 Vienna,HYROX PRO,Men,17,1,"Baumgartner, Markus",ITA,16-24,01:02:16
2026 Vienna,HYROX PRO,Men,18,7,"Walsh, Sean",IRL,25-29,01:02:18
2026 Vienna,HYROX PRO,Men,19,1,"Lauria, Mauro Adriel",ARG,35-39,01:02:29
2026 Vienna,HYROX PRO,Men,20,9,"Höcht, Stefan",GER,30-34,01:02:52
2026 Vienna,HYROX PRO,Men,21,2,"Müllner, Peter",AUT,35-39,01:03:12
2026 Vienna,HYROX PRO,Men,22,10,"Hahnsch, Felix",GER,30-34,01:03:44
2026 Vienna,HYROX PRO,Men,23,3,"Pranjic, Ivan",CRO,35-39,01:04:21
2026 Vienna,HYROX PRO,Men,24,8,"Martin, Jan-Ole",GER,25-29,01:04:24
2026 Vienna,HYROX PRO,Men,25,11,"Alič, Klemen",SLO,30-34,01:04:31
2026 Vienna,HYROX PRO,Men,26,9,"Riapos, Adam",SVK,25-29,01:04:37
2026 Vienna,HYROX PRO,Men,27,4,"Duckham, Andy",GBR,35-39,01:04:38
2026 Vienna,HYROX PRO,Men,28,10,"Amon, Kristjan",SLO,25-29,01:04:43
2026 Vienna,HYROX PRO,Men,29,5,"Brennecke, Florian",GER,35-39,01:05:09
2026 Vienna,HYROX PRO,Men,30,12,"Kienle, Tobias",GER,30-34,01:05:09
2026 Vienna,HYROX PRO,Men,31,13,"Schuster, Fabian",AUT,30-34,01:05:17
2026 Vienna,HYROX PRO,Men,32,14,"Mazur, Andrii",UKR,30-34,01:05:23
2026 Vienna,HYROX PRO,Men,33,15,"Hunt, Tyler",MLT,30-34,01:05:28
2026 Vienna,HYROX PRO,Men,34,11,"Rákoci, Nikolas",SVK,25-29,01:05:33
2026 Vienna,HYROX PRO,Men,35,2,"Dorninger, Tilen",AUT,16-24,01:05:34
2026 Vienna,HYROX PRO,Men,36,3,"Zeilinger, Timo",AUT,16-24,01:06:13
2026 Vienna,HYROX PRO,Men,37,16,"Pinter, Luca",ITA,30-34,01:06:21
2026 Vienna,HYROX PRO,Men,38,4,"Tiemann, Émile",GER,16-24,01:06:46
2026 Vienna,HYROX PRO,Men,39,12,"Pips, Lasse",AUT,25-29,01:06:54
2026 Vienna,HYROX PRO,Men,40,17,"Vancsodi, Norbert",HUN,30-34,01:07:05
2026 Vienna,HYROX PRO,Men,41,2,"Podolinsky, Marek",SVK,40-44,01:07:34
2026 Vienna,HYROX PRO,Men,42,6,"Park-Said, Malek",GER,35-39,01:07:53
2026 Vienna,HYROX PRO,Men,43,18,"Iby, Elischa",AUT,30-34,01:08:10
2026 Vienna,HYROX PRO,Men,44,19,"Zola, Bilal",GER,30-34,01:08:13
2026 Vienna,HYROX PRO,Men,45,2,"Benyőcs, Gergely",HUN,45-49,01:08:24
2026 Vienna,HYROX PRO,Men,46,20,"Schmidradler, Benjamin",AUT,30-34,01:08:28
2026 Vienna,HYROX PRO,Men,47,13,"Schröder, Victor",AUT,25-29,01:08:34
2026 Vienna,HYROX PRO,Men,48,7,"Lissy, Stefan",AUT,35-39,01:08:38
2026 Vienna,HYROX PRO,Men,49,8,"O'Leary, John",IRL,35-39,01:08:45
2026 Vienna,HYROX PRO,Men,50,21,"Clark, Adam",GBR,30-34,01:08:46
2026 Vienna,HYROX PRO,Men,51,5,"Möller, Felix",AUT,16-24,01:08:48
2026 Vienna,HYROX PRO,Men,52,9,"Loibingdorfer, Patrick",AUT,35-39,01:08:57
2026 Vienna,HYROX PRO,Men,53,22,"Egger, Joost",GER,30-34,01:09:13
2026 Vienna,HYROX PRO,Men,54,6,"Schöggl, Fabio",AUT,16-24,01:10:22
2026 Vienna,HYROX PRO,Men,55,1,"Kojc, Joze",SLO,55-59,01:10:22
2026 Vienna,HYROX PRO,Men,56,3,"Mlaker, Boštjan",SLO,40-44,01:10:26
2026 Vienna,HYROX PRO,Men,57,14,"Verron, Florian",FRA,25-29,01:10:26
2026 Vienna,HYROX PRO,Men,58,23,"Bijeljic, Davor",CRO,30-34,01:10:57
2026 Vienna,HYROX PRO,Men,59,4,"Hosp, Julian",AUT,40-44,01:10:59
2026 Vienna,HYROX PRO,Men,60,10,"Baumann, Benjamin",GER,35-39,01:11:07
2026 Vienna,HYROX PRO,Men,61,3,"Fruhmann, Andreas",GER,45-49,01:11:09
2026 Vienna,HYROX PRO,Men,62,24,"Winter, Florian",AUT,30-34,01:11:24
2026 Vienna,HYROX PRO,Men,63,15,"Davidovic, Pavle",SRB,25-29,01:11:32
2026 Vienna,HYROX PRO,Men,64,25,"Sator, Jan-Niklas",GER,30-34,01:11:36
2026 Vienna,HYROX PRO,Men,65,16,"Sauer, Leo",GER,25-29,01:11:46
2026 Vienna,HYROX PRO,Men,66,17,"Baumgartner, Kevin",AUT,25-29,01:11:53
2026 Vienna,HYROX PRO,Men,67,26,"Šebesta, Martin",CZE,30-34,01:11:55
2026 Vienna,HYROX PRO,Men,68,11,"Mautner, Peter",AUT,35-39,01:11:59
2026 Vienna,HYROX PRO,Men,69,18,"Elghandour, Abdel",AUT,25-29,01:12:03
2026 Vienna,HYROX PRO,Men,70,27,"Nguyen, Hoang Viet",GER,30-34,01:12:21
2026 Vienna,HYROX PRO,Men,71,28,"Loncarski, Mario",AUT,30-34,01:12:38
2026 Vienna,HYROX PRO,Men,72,7,"Kapicak, Martin",GER,16-24,01:12:50
2026 Vienna,HYROX PRO,Men,73,12,"Baustädter, Michael",AUT,35-39,01:12:52
2026 Vienna,HYROX PRO,Men,74,4,"Court, Ben",GBR,45-49,01:12:57
2026 Vienna,HYROX PRO,Men,75,19,"Al Shaafi, Mohammed",GER,25-29,01:13:08
2026 Vienna,HYROX PRO,Men,76,20,"Saputelli, Raphael",SUI,25-29,01:13:12
2026 Vienna,HYROX PRO,Men,77,29,"Obermüller, Markus",AUT,30-34,01:13:16
2026 Vienna,HYROX PRO,Men,78,21,"Selleby, Johan",SWE,25-29,01:13:18
2026 Vienna,HYROX PRO,Men,79,13,"Menyhart, Benjamin",AUT,35-39,01:13:19
2026 Vienna,HYROX PRO,Men,80,30,"Heinzle, Tim",AUT,30-34,01:13:28
2026 Vienna,HYROX PRO,Men,81,1,"Gaugler, Alexander",GER,50-54,01:13:40
2026 Vienna,HYROX PRO,Men,82,22,"Radeck, Mika",GER,25-29,01:13:41
2026 Vienna,HYROX PRO,Men,83,14,"Wunderlich, Tobias",GER,35-39,01:13:55
2026 Vienna,HYROX PRO,Men,84,31,"van Drunen, Floris",NED,30-34,01:13:55
2026 Vienna,HYROX PRO,Men,85,15,"Kremayr, Thomas",AUT,35-39,01:14:11
2026 Vienna,HYROX PRO,Men,86,5,"Ladich, Alexander",AUT,40-44,01:14:18
2026 Vienna,HYROX PRO,Men,87,32,"Ciupe, Cloud",AUT,30-34,01:14:24
2026 Vienna,HYROX PRO,Men,88,23,"Nekoranec, Matej",CZE,25-29,01:14:26
2026 Vienna,HYROX PRO,Men,89,24,"Lewinsky, Karl",GER,25-29,01:14:42
2026 Vienna,HYROX PRO,Men,90,16,"Skaza, Anze",SLO,35-39,01:14:51
2026 Vienna,HYROX PRO,Men,91,8,"Jaqubi, Farshad",GER,16-24,01:14:54
2026 Vienna,HYROX PRO,Men,92,6,"Pavlík, Martin",CZE,40-44,01:14:56
2026 Vienna,HYROX PRO,Men,93,25,"Baumann, Nicolas",GER,25-29,01:15:00
2026 Vienna,HYROX PRO,Men,94,9,"Happerger, Florian",AUT,16-24,01:15:13
2026 Vienna,HYROX PRO,Men,95,17,"Auer, Marcel Dominik",AUT,35-39,01:16:20
2026 Vienna,HYROX PRO,Men,96,33,"Fischer, Matthias",GER,30-34,01:16:25
2026 Vienna,HYROX PRO,Men,97,7,"Prügger, Markus",AUT,40-44,01:16:32
2026 Vienna,HYROX PRO,Men,98,18,"Fischer, Björn",GER,35-39,01:16:41
2026 Vienna,HYROX PRO,Men,99,5,"Schloesser, Daniel",GER,45-49,01:16:47
2026 Vienna,HYROX PRO,Men,100,26,"Nicolussi Moretto, Maximilian",AUT,25-29,01:16:49
2026 Vienna,HYROX PRO,Men,101,10,"Lavery, Philip",IRL,16-24,01:17:03
2026 Vienna,HYROX PRO,Men,102,34,"Czigányi, Richard",HUN,30-34,01:17:25
2026 Vienna,HYROX PRO,Men,103,19,"Richert, Pascal",GER,35-39,01:17:40
2026 Vienna,HYROX PRO,Men,104,35,"Miglinci, Philip",AUT,30-34,01:18:28
2026 Vienna,HYROX PRO,Men,105,20,"Haberle, Fabian",AUT,35-39,01:19:17
2026 Vienna,HYROX PRO,Men,106,36,"Urun, Vadim",AUT,30-34,01:19:21
2026 Vienna,HYROX PRO,Men,107,27,"GUERRERA, FRANCESCO",ITA,25-29,01:19:26
2026 Vienna,HYROX PRO,Men,108,8,"Adam, Manuel",GER,40-44,01:19:34
2026 Vienna,HYROX PRO,Men,109,21,"Weinmann, Tim",GER,35-39,01:19:40
2026 Vienna,HYROX PRO,Men,110,11,"Hofmann, Nico",AUT,16-24,01:19:56
2026 Vienna,HYROX PRO,Men,111,22,"Kastner, Viktor",GER,35-39,01:20:08
2026 Vienna,HYROX PRO,Men,112,28,"Patocskai, Matyas",HUN,25-29,01:21:06
2026 Vienna,HYROX PRO,Men,113,37,"Stempel, Nicolai",GER,30-34,01:21:20
2026 Vienna,HYROX PRO,Men,114,23,"Ahmed, Elyas",SIN,35-39,01:21:28
2026 Vienna,HYROX PRO,Men,115,24,"Fäulhammer, Thomas",AUT,35-39,01:21:30
2026 Vienna,HYROX PRO,Men,116,38,"Pavlů, Jiří",CZE,30-34,01:21:32
2026 Vienna,HYROX PRO,Men,117,29,"Heite, Bo",GER,25-29,01:21:45
2026 Vienna,HYROX PRO,Men,118,9,"Prodanov, Kaloyan",BUL,40-44,01:21:55
2026 Vienna,HYROX PRO,Men,119,39,"Jochmann, Jakob",AUT,30-34,01:22:05
2026 Vienna,HYROX PRO,Men,120,40,"Brinis, Karim",AUT,30-34,01:22:11
2026 Vienna,HYROX PRO,Men,121,30,"Weiß, Simon",GER,25-29,01:22:35
2026 Vienna,HYROX PRO,Men,122,41,"Hrebicik, Marek",SVK,30-34,01:22:42
2026 Vienna,HYROX PRO,Men,123,10,"Langer, Eduard",AUT,40-44,01:22:48
2026 Vienna,HYROX PRO,Men,124,25,"Jenning, Robert",GER,35-39,01:22:54
2026 Vienna,HYROX PRO,Men,125,2,"Brasil, Sidney",BRA,50-54,01:22:55
2026 Vienna,HYROX PRO,Men,126,26,"De Innocentiis, Pablo",ARG,35-39,01:23:00
2026 Vienna,HYROX PRO,Men,127,12,"Brada, Jan",CZE,16-24,01:23:06
2026 Vienna,HYROX PRO,Men,128,11,"Ludwig, David",GER,40-44,01:23:12
2026 Vienna,HYROX PRO,Men,129,42,"Stiller, Philipp",GER,30-34,01:23:18
2026 Vienna,HYROX PRO,Men,130,31,"Ebner, Alexander",AUT,25-29,01:24:26
2026 Vienna,HYROX PRO,Men,131,13,"Kreiner, Jonas",AUT,16-24,01:25:42
2026 Vienna,HYROX PRO,Men,132,27,"Stangl, Daniel",GER,35-39,01:25:47
2026 Vienna,HYROX PRO,Men,133,32,"Koestler, Klemens",AUT,25-29,01:25:58
2026 Vienna,HYROX PRO,Men,134,14,"Reiter, Pablo Julian",AUT,16-24,01:26:25
2026 Vienna,HYROX PRO,Men,135,43,"Jurczek, Marcus",AUT,30-34,01:26:30
2026 Vienna,HYROX PRO,Men,136,12,"Pangalila, Robert",NED,40-44,01:26:42
2026 Vienna,HYROX PRO,Men,137,13,"Pollazek, Robert",AUT,40-44,01:27:01
2026 Vienna,HYROX PRO,Men,138,1,"Lilge, Wilhelm",AUT,60-64,01:27:08
2026 Vienna,HYROX PRO,Men,139,15,"Körner, Nico",GER,16-24,01:27:23
2026 Vienna,HYROX PRO,Men,140,16,"Zeilinger, Timo",AUT,16-24,01:27:35
2026 Vienna,HYROX PRO,Men,141,44,"Hager, Tobias",GER,30-34,01:27:36
2026 Vienna,HYROX PRO,Men,142,14,"Testa, Adrien",FRA,40-44,01:27:43
